Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,SEA,91,71,0.5617283950617284,33215.67283950617,3,2
2001,SEA,116,46,0.7160493827160493,37564.37654320987,1,1
2002,SEA,93,69,0.5740740740740741,35636.27160493827,2,3
2003,SEA,93,69,0.5740740740740741,33946.1552795031,4,2
2004,SEA,63,99,0.3888888888888889,32308.4099378882,3,4
2005,SEA,69,93,0.42592592592592593,30622.35802469136,1,4
2006,SEA,78,84,0.48148148148148145,29635.765432098764,2,4
2007,SEA,88,74,0.5432098765432098,32965.9375,1,2
2008,SEA,61,101,0.3765432098765432,29292.234567901236,1,4
2009,SEA,85,77,0.5246913580246914,27532.225,1,3
2010,SEA,61,101,0.3765432098765432,26775.9012345679,1,4
2011,SEA,67,95,0.41358024691358025,25642.327160493827,1,4
2012,SEA,75,87,0.46296296296296297,24760.462962962964,1,4
2013,SEA,71,91,0.4382716049382716,25096.30864197531,1,4
2014,SEA,87,75,0.5370370370370371,26813.900621118013,1,3
2015,SEA,76,86,0.4691358024691358,28066.654320987655,1,4
2016,SEA,86,76,0.5308641975308642,28154.104938271605,3,2
2017,SEA,78,84,0.48148148148148145,26579.347826086956,3,3
2018,SEA,89,73,0.5493827160493827,27785.6149068323,1,3
2019,SEA,68,94,0.41975308641975306,24330.697530864196,1,5
