Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,KCA,77,85,0.47530864197530864,24699.74074074074,3,4
2001,KCA,65,97,0.4012345679012346,23409.819875776397,4,5
2002,KCA,62,100,0.38271604938271603,22105.01265822785,5,4
2003,KCA,83,79,0.5123456790123457,24518.025157232703,1,3
2004,KCA,58,104,0.35802469135802467,23362.962264150945,1,5
2005,KCA,56,106,0.345679012345679,21754.81875,3,5
2006,KCA,62,100,0.38271604938271603,24294.7950310559,4,5
2007,KCA,69,93,0.42592592592592593,24509.364197530864,1,5
2008,KCA,75,87,0.46296296296296297,25016.78125,1,4
2009,KCA,65,97,0.4012345679012346,25164.229813664595,3,4
2010,KCA,67,95,0.41358024691358025,23787.236024844722,3,5
2011,KCA,71,91,0.4382716049382716,25273.685185185186,4,4
2012,KCA,72,90,0.4444444444444444,24615.670807453414,2,3
2013,KCA,86,76,0.5308641975308642,24523.654320987655,4,3
2014,KCA,89,73,0.5493827160493827,25513.543209876545,4,2
2015,KCA,95,67,0.5864197530864198,30560.327160493827,1,1
2016,KCA,81,81,0.5,29778.234567901236,1,3
2017,KCA,80,82,0.49382716049382713,28106.3125,5,3
2018,KCA,58,104,0.35802469135802467,22398.093167701863,3,5
2019,KCA,59,103,0.36419753086419754,21773.91304347826,1,4
