Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2005,WAS,81,81,0.5,32887.07453416149,4,5
2006,WAS,71,91,0.4382716049382716,28129.833333333332,3,5
2007,WAS,73,89,0.4506172839506173,27817.203703703704,4,4
2008,WAS,59,102,0.36645962732919257,30915.24375,1,5
2009,WAS,59,103,0.36419753086419754,27057.186335403727,4,5
2010,WAS,69,93,0.42592592592592593,26116.765432098764,4,5
2011,WAS,80,81,0.4968944099378882,27224.761006289307,5,3
2012,WAS,98,64,0.6049382716049383,31582.88125,1,1
2013,WAS,86,76,0.5308641975308642,31671.64197530864,1,2
2014,WAS,96,66,0.5925925925925926,30854.382716049382,1,1
2015,WAS,83,79,0.5123456790123457,31293.869565217392,3,2
2016,WAS,95,67,0.5864197530864198,30152.62962962963,1,1
2017,WAS,97,65,0.5987654320987654,30570.179012345678,1,1
2018,WAS,82,80,0.5061728395061729,29861.21875,1,2
2019,WAS,93,69,0.5740740740740741,28476.59259259259,3,2
