Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,BOS,82,79,0.5093167701863354,33045.54037267081,5,2
2002,BOS,93,69,0.5740740740740741,31831.701863354036,4,2
2003,BOS,95,67,0.5864197530864198,32097.85714285714,4,2
2004,BOS,98,64,0.6049382716049383,35515.88819875776,5,2
2005,BOS,95,67,0.5864197530864198,36446.5987654321,5,1
2006,BOS,86,76,0.5308641975308642,36140.22222222222,1,3
2007,BOS,96,66,0.5925925925925926,37658.82716049383,3,1
2008,BOS,95,67,0.5864197530864198,37999.99382716049,1,2
2009,BOS,95,67,0.5864197530864198,35840.03086419753,2,2
2010,BOS,89,73,0.5493827160493827,34948.049382716046,1,3
2011,BOS,90,72,0.5555555555555556,34851.62962962963,4,3
2012,BOS,69,93,0.42592592592592593,34303.043209876545,5,5
2013,BOS,97,65,0.5987654320987654,34012.20987654321,1,1
2014,BOS,71,91,0.4382716049382716,34181.10493827161,4,5
2015,BOS,78,84,0.48148148148148145,33913.80864197531,1,5
2016,BOS,93,69,0.5740740740740741,34388.62962962963,1,1
2017,BOS,93,69,0.5740740740740741,33792.19135802469,1,1
2018,BOS,108,54,0.6666666666666666,32870.351851851854,4,1
2019,BOS,84,78,0.5185185185185185,32010.456790123455,2,3
