Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,MIL,73,89,0.4506172839506173,23547.447204968943,2,3
2001,MIL,68,94,0.41975308641975306,32171.69375,3,4
2002,MIL,56,106,0.345679012345679,25350.819875776397,1,6
2003,MIL,68,94,0.41975308641975306,24258.869565217392,5,6
2004,MIL,67,94,0.4161490683229814,27577.375,1,6
2005,MIL,81,81,0.5,28319.48148148148,1,3
2006,MIL,75,87,0.46296296296296297,29528.987577639753,1,4
2007,MIL,83,79,0.5123456790123457,33879.82098765432,1,2
2008,MIL,90,72,0.5555555555555556,35562.24074074074,1,2
2009,MIL,80,82,0.49382716049382713,33956.444444444445,5,3
2010,MIL,77,85,0.47530864197530864,32474.049689440995,3,3
2011,MIL,96,66,0.5925925925925926,34356.11949685535,5,1
2012,MIL,83,79,0.5123456790123457,32767.722222222223,3,3
2013,MIL,74,88,0.4567901234567901,31171.438271604937,1,4
2014,MIL,82,80,0.5061728395061729,33432.0987654321,1,3
2015,MIL,68,94,0.41975308641975306,31511.864197530864,3,4
2016,MIL,73,89,0.4506172839506173,29768.845679012345,4,4
2017,MIL,86,76,0.5308641975308642,31060.01851851852,2,2
2018,MIL,96,67,0.588957055214724,32098.228395061727,1,1
2019,MIL,89,73,0.5493827160493827,32909.03703703704,1,2
