Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,DET,66,96,0.4074074074074074,25788.80625,3,4
2002,DET,55,106,0.3416149068322981,21967.726708074533,4,5
2003,DET,43,119,0.2654320987654321,20669.975155279502,3,5
2004,DET,72,90,0.4444444444444444,25661.34375,1,4
2005,DET,71,91,0.4382716049382716,25828.19496855346,1,4
2006,DET,95,67,0.5864197530864198,30624.95061728395,1,2
2007,DET,88,74,0.5432098765432098,34234.22839506173,4,2
2008,DET,74,88,0.4567901234567901,34455.36645962733,4,5
2009,DET,86,77,0.5276073619631901,30653.78527607362,3,2
2010,DET,81,81,0.5,30027.68125,1,3
2011,DET,95,67,0.5864197530864198,30123.53086419753,4,1
2012,DET,88,74,0.5432098765432098,33961.234567901236,1,1
2013,DET,93,69,0.5740740740740741,33045.67901234568,1,1
2014,DET,90,72,0.5555555555555556,32407.753086419754,1,1
2015,DET,74,87,0.45962732919254656,31711.8125,1,5
2016,DET,86,75,0.5341614906832298,29734.683229813665,2,2
2017,DET,64,98,0.3950617283950617,27699.534161490683,2,5
2018,DET,64,98,0.3950617283950617,24685.025,2,3
2019,DET,47,114,0.2919254658385093,21778.106918238995,1,5
