Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,LAN,86,76,0.5308641975308642,35078.89506172839,1,3
2002,LAN,92,70,0.5679012345679012,34668.95652173913,3,3
2003,LAN,85,77,0.5246913580246914,33715.166666666664,1,2
2004,LAN,93,69,0.5740740740740741,37452.246913580246,5,1
2005,LAN,71,91,0.4382716049382716,38526.87654320987,4,4
2006,LAN,88,74,0.5432098765432098,39408.09937888199,3,1
2007,LAN,82,80,0.5061728395061729,40433.4012345679,4,4
2008,LAN,84,78,0.5185185185185185,40383.06172839506,1,1
2009,LAN,95,67,0.5864197530864198,39988.90740740741,1,1
2010,LAN,80,82,0.49382716049382713,38922.71428571428,4,4
2011,LAN,82,79,0.5093167701863354,34421.50310559006,1,3
2012,LAN,86,76,0.5308641975308642,36866.167701863356,1,2
2013,LAN,92,70,0.5679012345679012,40782.555555555555,1,1
2014,LAN,94,68,0.5802469135802469,40262.93827160494,1,1
2015,LAN,92,70,0.5679012345679012,40502.46913580247,1,1
2016,LAN,91,71,0.5617283950617284,39339.58641975309,1,1
2017,LAN,104,58,0.6419753086419753,40035.66049382716,1,1
2018,LAN,92,71,0.5644171779141104,40111.67484662577,3,1
2019,LAN,106,56,0.654320987654321,41246.47530864197,1,1
