Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,TBA,69,92,0.42857142857142855,23434.155279503106,1,5
2001,TBA,62,100,0.38271604938271603,21708.574074074073,1,5
2002,TBA,55,106,0.3416149068322981,19837.260869565216,1,5
2003,TBA,63,99,0.3888888888888889,20051.40740740741,1,5
2004,TBA,70,91,0.43478260869565216,22246.16352201258,1,4
2005,TBA,67,95,0.41358024691358025,21666.555555555555,4,5
2006,TBA,61,101,0.3765432098765432,22763.277777777777,5,5
2007,TBA,66,96,0.4074074074074074,24370.697530864196,3,5
2008,TBA,97,65,0.5987654320987654,26331.683229813665,1,1
2009,TBA,84,78,0.5185185185185185,25962.123456790123,4,3
2010,TBA,96,66,0.5925925925925926,25106.438271604937,1,1
2011,TBA,91,71,0.5617283950617284,23616.172839506173,4,2
2012,TBA,90,72,0.5555555555555556,24829.5,1,3
2013,TBA,92,71,0.5644171779141104,24435.601226993866,3,2
2014,TBA,77,85,0.47530864197530864,23271.382716049382,1,4
2015,TBA,80,82,0.49382716049382713,21796.154320987655,4,4
2016,TBA,68,94,0.41975308641975306,22984.61111111111,5,5
2017,TBA,80,82,0.49382716049382713,22828.708074534163,1,3
2018,TBA,90,72,0.5555555555555556,20282.360248447207,1,3
2019,TBA,96,66,0.5925925925925926,20365.295597484277,2,2
