Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,NYA,87,74,0.5403726708074534,37914.05590062112,1,1
2001,NYA,95,65,0.59375,37781.1552795031,1,1
2002,NYA,103,58,0.639751552795031,39787.801242236026,4,1
2003,NYA,101,61,0.6234567901234568,38581.956790123455,1,1
2004,NYA,101,61,0.6234567901234568,44274.7375,5,1
2005,NYA,95,67,0.5864197530864198,43752.654320987655,1,1
2006,NYA,97,65,0.5987654320987654,45236.234567901236,1,1
2007,NYA,94,68,0.5802469135802469,45079.105590062114,1,2
2008,NYA,89,73,0.5493827160493827,44131.166666666664,1,3
2009,NYA,103,59,0.6358024691358025,40198.93827160494,5,1
2010,NYA,95,67,0.5864197530864198,40711.265432098764,5,2
2011,NYA,97,65,0.5987654320987654,39167.69135802469,1,1
2012,NYA,95,67,0.5864197530864198,38943.87654320987,4,1
2013,NYA,85,77,0.5246913580246914,37082.00621118012,5,3
2014,NYA,84,78,0.5185185185185185,38994.565217391304,4,2
2015,NYA,87,75,0.5370370370370371,35595.875776397515,4,2
2016,NYA,84,78,0.5185185185185185,34380.253086419754,4,4
2017,NYA,91,71,0.5617283950617284,36079.71428571428,5,2
2018,NYA,100,62,0.6172839506172839,36880.08074534161,1,2
2019,NYA,103,59,0.6358024691358025,36258.698113207545,1,1
