Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,SFN,97,65,0.5987654320987654,36484.765432098764,3,1
2001,SFN,90,72,0.5555555555555556,38075.432098765436,1,2
2002,SFN,95,66,0.5900621118012422,36585.956790123455,2,2
2003,SFN,100,61,0.6211180124223602,36881.26708074534,1,1
2004,SFN,91,71,0.5617283950617284,38210.931677018634,1,2
2005,SFN,75,87,0.46296296296296297,35510.94409937888,1,3
2006,SFN,76,85,0.4720496894409938,35989.60625,3,3
2007,SFN,71,91,0.4382716049382716,37699.16149068323,4,5
2008,SFN,72,90,0.4444444444444444,33822.2049689441,5,4
2009,SFN,88,74,0.5432098765432098,33789.36645962733,1,3
2010,SFN,92,70,0.5679012345679012,34766.166666666664,1,1
2011,SFN,86,76,0.5308641975308642,37287.88271604938,5,2
2012,SFN,94,68,0.5802469135802469,37320.17391304348,4,1
2013,SFN,76,86,0.4691358024691358,38261.35403726708,3,3
2014,SFN,88,74,0.5432098765432098,37262.58024691358,1,2
2015,SFN,84,78,0.5185185185185185,37899.4012345679,1,2
2016,SFN,87,75,0.5370370370370371,36855.2962962963,1,2
2017,SFN,64,98,0.3950617283950617,36081.166666666664,5,5
2018,SFN,73,89,0.4506172839506173,36440.42592592593,1,4
2019,SFN,77,85,0.47530864197530864,32940.9012345679,4,3
