Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,CLE,90,72,0.5555555555555556,36013.944444444445,1,2
2001,CLE,91,71,0.5617283950617284,34457.8447204969,4,1
2002,CLE,74,88,0.4567901234567901,28277.521739130436,1,3
2003,CLE,68,94,0.41975308641975306,22894.6149068323,3,4
2004,CLE,80,82,0.49382716049382713,24889.037037037036,4,3
2005,CLE,93,69,0.5740740740740741,26149.783950617282,3,2
2006,CLE,78,84,0.48148148148148145,27441.79012345679,5,4
2007,CLE,96,66,0.5925925925925926,28954.639751552793,1,1
2008,CLE,81,81,0.5,29074.45,1,3
2009,CLE,65,97,0.4012345679012346,25136.58125,3,4
2010,CLE,69,93,0.42592592592592593,23337.111801242238,3,4
2011,CLE,80,82,0.49382716049382713,26698.734567901236,3,2
2012,CLE,68,94,0.41975308641975306,24041.555555555555,5,4
2013,CLE,92,70,0.5679012345679012,23947.94375,1,2
2014,CLE,85,77,0.5246913580246914,23868.446540880504,1,3
2015,CLE,81,80,0.5031055900621118,23585.327044025158,3,3
2016,CLE,94,67,0.5838509316770186,23249.9375,4,1
2017,CLE,102,60,0.6296296296296297,26499.888198757762,1,1
2018,CLE,91,71,0.5617283950617284,25092.36645962733,3,1
2019,CLE,93,69,0.5740740740740741,23494.46875,4,2
