Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,CIN,85,77,0.5246913580246914,34630.858024691355,2,2
2001,CIN,66,96,0.4074074074074074,28449.64375,3,5
2002,CIN,78,84,0.48148148148148145,25891.428571428572,1,3
2003,CIN,69,93,0.42592592592592593,27928.438271604937,5,5
2004,CIN,76,86,0.4691358024691358,29607.734567901236,4,4
2005,CIN,73,89,0.4506172839506173,28206.05590062112,1,5
2006,CIN,80,82,0.49382716049382713,30134.043209876545,5,3
2007,CIN,72,90,0.4444444444444444,29581.130434782608,1,5
2008,CIN,74,88,0.4567901234567901,29849.59259259259,4,5
2009,CIN,78,84,0.48148148148148145,26536.135802469136,4,4
2010,CIN,91,71,0.5617283950617284,27611.728395061727,3,1
2011,CIN,79,83,0.4876543209876543,30206.490683229815,1,3
2012,CIN,97,65,0.5987654320987654,29881.265432098764,1,1
2013,CIN,90,72,0.5555555555555556,32084.906832298137,3,3
2014,CIN,76,86,0.4691358024691358,31358.456790123455,4,4
2015,CIN,64,98,0.3950617283950617,30965.937888198758,1,5
2016,CIN,68,94,0.41975308641975306,27639.617283950618,1,5
2017,CIN,68,94,0.41975308641975306,27388.61111111111,2,5
2018,CIN,67,95,0.41358024691358025,25017.24074074074,4,5
2019,CIN,75,87,0.46296296296296297,26379.70987654321,1,4
