Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,TEX,73,89,0.4506172839506173,31576.51552795031,4,4
2002,TEX,72,90,0.4444444444444444,28951.96855345912,2,4
2003,TEX,71,91,0.4382716049382716,27397.876543209877,1,4
2004,TEX,89,73,0.5493827160493827,30503.6125,4,3
2005,TEX,79,83,0.4876543209876543,29332.229813664595,3,3
2006,TEX,80,82,0.49382716049382713,29506.734567901236,2,3
2007,TEX,75,87,0.46296296296296297,29288.666666666668,3,4
2008,TEX,79,83,0.4876543209876543,27043.13125,3,2
2009,TEX,87,75,0.5370370370370371,27634.810126582277,1,2
2010,TEX,90,72,0.5555555555555556,28746.716049382718,1,1
2011,TEX,96,66,0.5925925925925926,32552.291925465837,1,1
2012,TEX,93,69,0.5740740740740741,35509.71428571428,1,2
2013,TEX,91,72,0.558282208588957,33473.073619631905,5,2
2014,TEX,67,95,0.41358024691358025,30360.061728395063,3,5
2015,TEX,88,74,0.5432098765432098,29918.45061728395,4,1
2016,TEX,95,67,0.5864197530864198,30511.320987654322,1,1
2017,TEX,78,84,0.48148148148148145,28829.58024691358,3,3
2018,TEX,67,95,0.41358024691358025,26241.864197530864,4,5
2019,TEX,78,84,0.48148148148148145,26466.2049689441,3,3
