Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,SLN,95,67,0.5864197530864198,37409.5987654321,1,1
2001,SLN,93,69,0.5740740740740741,36152.63354037267,3,1
2002,SLN,97,65,0.5987654320987654,33084.26708074534,1,1
2003,SLN,85,77,0.5246913580246914,32525.777777777777,1,3
2004,SLN,105,57,0.6481481481481481,34152.91358024691,4,1
2005,SLN,100,62,0.6172839506172839,37171.68518518518,1,1
2006,SLN,83,78,0.515527950310559,38172.09316770186,1,1
2007,SLN,78,84,0.48148148148148145,38449.81481481482,6,3
2008,SLN,86,76,0.5308641975308642,37348.141975308645,3,4
2009,SLN,91,71,0.5617283950617284,36544.68518518518,4,1
2010,SLN,86,76,0.5308641975308642,35725.333333333336,1,2
2011,SLN,90,72,0.5555555555555556,34318.09259259259,5,2
2012,SLN,88,74,0.5432098765432098,35854.956790123455,1,2
2013,SLN,97,65,0.5987654320987654,37016.72049689441,3,1
2014,SLN,90,72,0.5555555555555556,37867.0987654321,1,1
2015,SLN,100,62,0.6172839506172839,37430.52173913043,1,1
2016,SLN,86,76,0.5308641975308642,36844.03726708075,5,2
2017,SLN,83,79,0.5123456790123457,36948.3024691358,1,3
2018,SLN,88,74,0.5432098765432098,35646.950617283954,5,3
2019,SLN,91,71,0.5617283950617284,36209.83950617284,4,1
