Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,CHN,65,97,0.4012345679012346,34714.51875,1,6
2001,CHN,88,74,0.5432098765432098,35053.9875,3,3
2002,CHN,67,95,0.41358024691358025,33439.38364779874,5,5
2003,CHN,88,74,0.5432098765432098,35219.4875,1,1
2004,CHN,89,73,0.5493827160493827,38138.30817610063,1,3
2005,CHN,79,83,0.4876543209876543,37599.776397515525,1,4
2006,CHN,66,96,0.4074074074074074,36412.472049689444,1,6
2007,CHN,85,77,0.5246913580246914,38103.555555555555,4,1
2008,CHN,97,64,0.6024844720496895,38547.260869565216,4,1
2009,CHN,83,78,0.515527950310559,37256.49689440994,1,2
2010,CHN,75,87,0.46296296296296297,35043.27160493827,3,5
2011,CHN,71,91,0.4382716049382716,35028.09259259259,3,5
2012,CHN,61,101,0.3765432098765432,34037.635802469136,5,5
2013,CHN,66,96,0.4074074074074074,32392.5,1,5
2014,CHN,73,89,0.4506172839506173,32919.253086419754,4,5
2015,CHN,97,65,0.5987654320987654,35488.06211180124,5,3
2016,CHN,103,58,0.639751552795031,37479.37654320987,1,1
2017,CHN,92,70,0.5679012345679012,36980.62345679013,5,1
2018,CHN,95,68,0.5828220858895705,35834.29012345679,1,2
2019,CHN,84,78,0.5185185185185185,35831.32716049383,1,3
