Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,ANA,82,80,0.5061728395061729,26792.925925925927,3,3
2001,ANA,75,87,0.46296296296296297,27714.104938271605,4,3
2002,ANA,99,63,0.6111111111111112,27636.049689440995,4,2
2003,ANA,77,85,0.47530864197530864,32535.285714285714,4,3
2004,ANA,92,70,0.5679012345679012,35599.5987654321,2,1
2005,ANA,95,67,0.5864197530864198,36441.167701863356,1,1
2006,ANA,89,73,0.5493827160493827,34872.37037037037,1,2
2007,ANA,94,68,0.5802469135802469,36379.765432098764,1,1
2008,ANA,100,62,0.6172839506172839,35407.88888888889,3,1
2009,ANA,97,65,0.5987654320987654,33409.90062111801,1,1
2010,ANA,80,82,0.49382716049382713,35195.03086419753,1,3
2011,ANA,86,76,0.5308641975308642,32810.701863354036,1,2
2012,ANA,89,73,0.5493827160493827,34315.48765432099,1,3
2013,ANA,78,84,0.48148148148148145,32432.944444444445,1,3
2014,ANA,98,64,0.6049382716049383,33229.35403726708,3,1
2015,ANA,85,77,0.5246913580246914,33076.444444444445,4,3
2016,ANA,74,88,0.4567901234567901,32956.24074074074,3,4
2017,ANA,80,82,0.49382716049382713,32471.024691358023,3,2
2018,ANA,80,82,0.49382716049382713,32660.753086419754,4,4
2019,ANA,72,90,0.4444444444444444,32137.938271604937,3,4
