Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,ARI,92,70,0.5679012345679012,32990.739130434784,1,1
2002,ARI,98,64,0.6049382716049383,36620.55900621118,1,1
2003,ARI,84,78,0.5185185185185185,32327.155279503106,4,3
2004,ARI,51,111,0.3148148148148148,31027.51552795031,5,5
2005,ARI,77,85,0.47530864197530864,28865.906832298137,4,2
2006,ARI,76,86,0.4691358024691358,28609.17391304348,3,4
2007,ARI,90,72,0.5555555555555556,31493.320987654322,1,1
2008,ARI,82,80,0.5061728395061729,32467.345679012345,1,2
2009,ARI,70,92,0.43209876543209874,28358.987577639753,1,5
2010,ARI,65,97,0.4012345679012346,28618.38888888889,1,5
2011,ARI,94,68,0.5802469135802469,28084.14197530864,2,1
2012,ARI,81,81,0.5,29588.24074074074,2,3
2013,ARI,81,81,0.5,29705.69135802469,1,2
2014,ARI,64,98,0.3950617283950617,28504.90625,5,5
2015,ARI,79,83,0.4876543209876543,29146.14285714286,4,3
2016,ARI,69,93,0.42592592592592593,28920.0987654321,4,4
2017,ARI,93,69,0.5740740740740741,29144.69135802469,1,2
2018,ARI,82,80,0.5061728395061729,29760.104938271605,1,3
2019,ARI,85,77,0.5246913580246914,27678.9012345679,4,2
