Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,BAL,74,88,0.4567901234567901,32991.53416149069,5,4
2001,BAL,63,98,0.391304347826087,33715.49689440994,1,4
2002,BAL,67,95,0.41358024691358025,29043.987654320987,1,4
2003,BAL,71,91,0.4382716049382716,28959.0375,1,4
2004,BAL,78,84,0.48148148148148145,31896.225,1,3
2005,BAL,74,88,0.4567901234567901,31344.95061728395,1,4
2006,BAL,70,92,0.43209876543209874,28952.59259259259,1,4
2007,BAL,69,93,0.42592592592592593,28862.07453416149,3,4
2008,BAL,68,93,0.422360248447205,28369.310126582277,5,5
2009,BAL,64,98,0.3950617283950617,25826.96913580247,1,5
2010,BAL,66,96,0.4074074074074074,24827.621118012423,4,5
2011,BAL,69,93,0.42592592592592593,24899.565217391304,1,5
2012,BAL,93,69,0.5740740740740741,28098.5,1,2
2013,BAL,85,77,0.5246913580246914,28866.395061728395,1,3
2014,BAL,96,66,0.5925925925925926,30235.17391304348,1,1
2015,BAL,81,81,0.5,29223.14465408805,1,3
2016,BAL,89,73,0.5493827160493827,29307.993827160495,2,2
2017,BAL,75,87,0.46296296296296297,27250.0,1,5
2018,BAL,47,115,0.29012345679012347,23696.69811320755,1,5
2019,BAL,54,108,0.3333333333333333,20852.29746835443,2,5
