Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,NYN,82,80,0.5061728395061729,31380.679012345678,2,3
2002,NYN,75,86,0.4658385093167702,31401.36075949367,1,5
2003,NYN,66,95,0.40993788819875776,28247.550632911392,3,5
2004,NYN,71,91,0.4382716049382716,29713.603773584906,1,4
2005,NYN,83,79,0.5123456790123457,35197.68944099379,4,3
2006,NYN,97,65,0.5987654320987654,38345.57232704403,1,1
2007,NYN,88,74,0.5432098765432098,41732.7962962963,1,2
2008,NYN,89,73,0.5493827160493827,43459.5875,2,2
2009,NYN,70,92,0.43209876543209874,35375.92592592593,1,4
2010,NYN,79,83,0.4876543209876543,30924.45625,1,4
2011,NYN,77,85,0.47530864197530864,31639.189873417723,4,4
2012,NYN,74,88,0.4567901234567901,30895.478260869564,1,4
2013,NYN,74,88,0.4567901234567901,28674.242236024846,1,3
2014,NYN,79,83,0.4876543209876543,29555.267080745343,4,2
2015,NYN,90,72,0.5555555555555556,31209.320987654322,1,1
2016,NYN,87,75,0.5370370370370371,32830.93125,5,2
2017,NYN,70,92,0.43209876543209874,30563.82608695652,1,4
2018,NYN,77,85,0.47530864197530864,28985.35220125786,1,4
2019,NYN,86,76,0.5308641975308642,29975.3850931677,1,3
