Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,PIT,69,93,0.42592592592592593,26443.132075471698,4,5
2001,PIT,62,100,0.38271604938271603,29197.062893081762,3,6
2002,PIT,72,89,0.4472049689440994,24742.66037735849,5,4
2003,PIT,75,87,0.46296296296296297,24624.700636942674,1,4
2004,PIT,72,89,0.4472049689440994,25813.7908496732,1,5
2005,PIT,67,95,0.41358024691358025,28070.8625,6,6
2006,PIT,67,95,0.41358024691358025,27586.490683229815,5,5
2007,PIT,68,94,0.41975308641975306,28590.28125,1,6
2008,PIT,67,95,0.41358024691358025,26949.4099378882,1,6
2009,PIT,62,99,0.38509316770186336,24970.92546583851,1,6
2010,PIT,57,105,0.35185185185185186,25259.487654320987,1,6
2011,PIT,72,90,0.4444444444444444,27580.45,1,4
2012,PIT,79,83,0.4876543209876543,28744.39751552795,5,4
2013,PIT,94,68,0.5802469135802469,30865.981366459626,3,2
2014,PIT,88,74,0.5432098765432098,31715.98125,1,2
2015,PIT,98,64,0.6049382716049383,31947.98148148148,3,2
2016,PIT,78,83,0.484472049689441,29067.0,1,3
2017,PIT,75,87,0.46296296296296297,28164.944444444445,2,4
2018,PIT,82,79,0.5093167701863354,25155.056603773584,2,4
2019,PIT,69,93,0.42592592592592593,25241.796296296296,4,5
