Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,ATL,88,74,0.5432098765432098,31855.13664596273,1,1
2002,ATL,101,59,0.63125,29579.35625,1,1
2003,ATL,101,61,0.6234567901234568,29338.3625,3,1
2004,ATL,96,66,0.5925925925925926,29701.704402515723,3,1
2005,ATL,90,72,0.5555555555555556,32146.819875776397,3,1
2006,ATL,79,83,0.4876543209876543,31208.22641509434,1,3
2007,ATL,84,78,0.5185185185185185,33857.21604938272,1,3
2008,ATL,72,90,0.4444444444444444,32669.8625,5,4
2009,ATL,86,76,0.5308641975308642,30458.30864197531,1,3
2010,ATL,91,71,0.5617283950617284,31096.203703703704,1,2
2011,ATL,89,73,0.5493827160493827,30568.251572327044,1,2
2012,ATL,94,68,0.5802469135802469,30907.425925925927,4,2
2013,ATL,96,66,0.5925925925925926,31155.40740740741,1,1
2014,ATL,79,83,0.4876543209876543,29934.802469135804,4,2
2015,ATL,67,95,0.41358024691358025,27373.006211180124,1,4
2016,ATL,68,93,0.422360248447205,26478.540372670806,3,5
2017,ATL,72,90,0.4444444444444444,30090.2,4,3
2018,ATL,90,72,0.5555555555555556,29689.697530864196,1,1
2019,ATL,97,65,0.5987654320987654,30815.534161490683,3,1
