Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,COL,73,89,0.4506172839506173,34977.11111111111,1,5
2002,COL,73,89,0.4506172839506173,31566.987654320987,4,4
2003,COL,74,88,0.4567901234567901,28346.242236024846,4,4
2004,COL,68,94,0.41975308641975306,30791.3875,2,4
2005,COL,67,95,0.41358024691358025,27677.739130434784,1,5
2006,COL,76,86,0.4691358024691358,29200.654320987655,1,4
2007,COL,90,73,0.5521472392638037,31349.981595092024,4,2
2008,COL,74,88,0.4567901234567901,32951.59627329193,3,3
2009,COL,92,70,0.5679012345679012,31926.465838509317,4,2
2010,COL,83,79,0.5123456790123457,33705.85093167702,1,3
2011,COL,73,89,0.4506172839506173,33128.67080745342,4,4
2012,COL,64,98,0.3950617283950617,32388.434782608696,2,5
2013,COL,74,88,0.4567901234567901,33580.81481481482,3,5
2014,COL,66,96,0.4074074074074074,32375.024691358023,4,4
2015,COL,68,94,0.41975308641975306,31147.27950310559,1,5
2016,COL,75,87,0.46296296296296297,31798.074074074073,1,3
2017,COL,87,75,0.5370370370370371,33520.30864197531,1,3
2018,COL,91,72,0.558282208588957,34402.79141104295,3,2
2019,COL,71,91,0.4382716049382716,33741.253086419754,1,4
