Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,HOU,72,90,0.4444444444444444,34178.47826086957,1,4
2001,HOU,93,69,0.5740740740740741,32621.763975155278,1,1
2002,HOU,84,78,0.5185185185185185,29363.012345679013,4,2
2003,HOU,87,75,0.5370370370370371,28943.864197530864,1,2
2004,HOU,92,70,0.5679012345679012,34465.23602484472,4,2
2005,HOU,89,73,0.5493827160493827,32651.813664596273,5,2
2006,HOU,82,80,0.5061728395061729,34358.864197530864,1,2
2007,HOU,73,89,0.4506172839506173,34986.28395061728,4,4
2008,HOU,86,75,0.5341614906832298,33462.44099378882,4,3
2009,HOU,74,88,0.4567901234567901,30894.654320987655,4,5
2010,HOU,76,86,0.4691358024691358,30324.83950617284,3,4
2011,HOU,56,106,0.345679012345679,27054.074074074073,3,6
2012,HOU,55,107,0.3395061728395062,25483.80864197531,3,6
2013,HOU,51,111,0.3148148148148148,23983.987654320987,1,5
2014,HOU,70,92,0.43209876543209874,24409.685185185186,2,4
2015,HOU,86,76,0.5308641975308642,27354.462962962964,1,2
2016,HOU,84,78,0.5185185185185185,28258.993827160495,1,3
2017,HOU,101,61,0.6234567901234568,28766.416149068322,1,1
2018,HOU,103,59,0.6358024691358025,32844.298136645964,1,1
2019,HOU,107,55,0.6604938271604939,30816.85714285714,2,1
