Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2001,TOR,80,82,0.49382716049382713,25577.024844720498,1,3
2002,TOR,78,84,0.48148148148148145,23003.54938271605,1,3
2003,TOR,86,76,0.5308641975308642,24197.024691358023,4,3
2004,TOR,67,94,0.4161490683229814,25328.830188679247,4,5
2005,TOR,80,82,0.49382716049382713,27385.11111111111,1,3
2006,TOR,87,75,0.5370370370370371,28489.179012345678,1,2
2007,TOR,83,79,0.5123456790123457,30186.14814814815,1,3
2008,TOR,86,76,0.5308641975308642,29942.987577639753,4,4
2009,TOR,75,87,0.46296296296296297,25313.018633540374,1,4
2010,TOR,85,77,0.5246913580246914,23920.796296296296,4,4
2011,TOR,81,81,0.5,25051.09259259259,1,4
2012,TOR,73,89,0.4506172839506173,27488.708074534163,1,4
2013,TOR,74,88,0.4567901234567901,29677.623456790123,3,5
2014,TOR,83,79,0.5123456790123457,29518.01851851852,4,3
2015,TOR,93,69,0.5740740740740741,31175.96875,1,1
2016,TOR,89,73,0.5493827160493827,35971.555555555555,1,2
2017,TOR,76,86,0.4691358024691358,34733.3024691358,4,4
2018,TOR,73,89,0.4506172839506173,27109.0625,4,4
2019,TOR,67,95,0.41358024691358025,23755.833333333332,2,4
