Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,SDN,76,86,0.4691358024691358,29863.506172839505,3,5
2001,SDN,79,83,0.4876543209876543,30563.919254658384,5,4
2002,SDN,66,96,0.4074074074074074,28810.583850931678,4,5
2003,SDN,64,98,0.3950617283950617,27228.813664596273,4,5
2004,SDN,87,75,0.5370370370370371,34811.75155279503,1,3
2005,SDN,82,80,0.5061728395061729,33547.782608695656,4,1
2006,SDN,88,74,0.5432098765432098,32730.376543209877,1,1
2007,SDN,89,74,0.5460122699386503,34316.26380368098,1,3
2008,SDN,63,99,0.3888888888888889,32883.92592592593,1,5
2009,SDN,75,87,0.46296296296296297,27632.314814814814,4,4
2010,SDN,90,72,0.5555555555555556,28793.117283950618,4,2
2011,SDN,71,91,0.4382716049382716,29693.45061728395,1,5
2012,SDN,76,86,0.4691358024691358,28820.635802469136,5,4
2013,SDN,76,86,0.4691358024691358,29480.746913580246,3,3
2014,SDN,77,85,0.47530864197530864,29972.652173913044,1,3
2015,SDN,74,88,0.4567901234567901,31044.567901234568,4,4
2016,SDN,68,94,0.41975308641975306,30938.771604938273,4,5
2017,SDN,71,91,0.4382716049382716,29281.54938271605,4,4
2018,SDN,66,96,0.4074074074074074,28751.154320987655,3,5
2019,SDN,70,92,0.43209876543209874,31015.90740740741,1,5
