,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,90,2018-07-11,CHN,SFG,12-GF(13),L(0-1),99,1.2,3,1,1,1,2,0,0,5.4,9,35,20,3,5,2,4,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.3,-0.24600000000000002,3.32,-0.21%,-0.51,3.35,8.0,12b --- 0 out tie,13b end d 1,,SFG,3.333333333333333,L,4,5
1,2,92,2018-07-14,CHN,SDP,7-7,H(1),2,0.1,0,0,0,0,0,0,0,4.5,1,2,2,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0.91,0.023,1.29,0.02%,0.09,0.75,1.0,7b --- 2 out a1,7b 3 out a1,,SDP,0.0,W,11,6
2,3,93,2018-07-15,CHN,SDP,6-6,H(2),0,0.2,0,0,0,1,0,0,0,3.38,3,17,9,2,2,0,2,0,1,0,,3,1,0,0,0,2,0,0,0,0,0,0,2.01,0.061,2.72,0.05%,0.51,0.9,2.0,6b 123 1 out a5,6b 3 out a4,,SDP,5.0,W,7,4
3,4,95,2018-07-20,CHN,STL,4-5,,4,2.0,2,1,1,0,1,0,0,3.86,8,35,20,4,1,3,4,2,0,0,,3,3,0,0,0,7,1,0,0,0,1,0,0.02,-0.01,0.03,-0.01%,-1.16,3.3,6.0,4t 123 0 out d7,5t 3 out d11,,CHC,1.0,L,5,18
4,5,132,2018-08-29,CHN,NYM,9-GF,,39,1.0,3,2,1,0,1,0,0,4.76,7,30,19,5,2,1,5,3,0,0,,0,0,0,0,0,7,0,0,0,0,0,1,0.0,-0.001,0.0,0.00%,-1.5,0.45,3.0,9t --- 0 out d7,9t end d 9,,CHC,3.0,L,3,10
5,6,138,2018-09-04,CHN,MIL,7-GF(8),,5,1.1,3,2,2,2,2,0,0,6.43,9,40,21,6,1,1,3,2,0,1,,2,2,0,0,0,7,2,0,0,0,0,0,0.01,-0.005,0.02,-0.01%,-3.01,0.0,4.0,7b 1-3 2 out d6,8b end d10,,MIL,4.545454545454545,L,1,11
6,7,141,2018-09-08,CHN,WSN,6-6,,3,0.2,1,1,0,0,1,0,0,5.87,4,17,10,3,0,2,1,0,1,0,,3,3,0,0,0,4,0,0,0,0,0,0,0.14,-0.027000000000000003,0.13,-0.02%,-2.41,2.9,5.0,6b 123 1 out d4,6b 3 out d8,1.0,WSN,5.0,L,3,10
7,8,145,2018-09-12,CHN,MIL,9-GF,,3,0.1,0,0,0,0,0,0,0,5.63,1,2,1,0,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0.12,0.003,0.29,0.00%,0.44,0.75,1.0,9t 12- 2 out d4,9t end d 4,,CHC,0.0,L,1,5
8,9,152,2018-09-19,CHN,ARI,7-7,,6,0.2,1,0,0,0,0,0,0,5.19,3,10,8,1,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.0,0.01,0.00%,0.28,0.9,2.0,7b --- 0 out d7,7b 1-- 2 out d7,,ARI,5.0,L,0,9
9,10,153,2018-09-21,CHN,CHW,7-7,,1,0.2,0,0,0,0,0,0,0,4.82,2,12,7,1,0,0,2,0,0,0,,3,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.00%,0.58,1.5,2.0,7b 123 1 out d8,7b 3 out d9,,CHW,0.0,L,4,10
