,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
19,20,150,2010-09-19,LAN,COL,7-8,,3,2.0,1,0,0,1,2,0,0,0.83,8,40,28,5,4,1,4,0,2,0,,0,0,1,0,0,7,0,0,0,0,0,0,0.75,0.079,0.0,0.00%,0.94,7t --- 0 out d2,8t 3 out d1,,LAD,1.0,W,7,6,,
20,21,152,2010-09-22,LAN,SDP,8-8,,2,1.0,0,0,0,0,0,0,1,0.79,4,13,9,3,2,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.37,0.025,0.0,0.00%,0.47,8t --- 0 out d2,8t 3 out d2,,LAD,0.0,L,1,3,,
21,22,154,2010-09-24,LAN,ARI,9-GF,S(2),1,1.0,0,0,0,1,2,0,0,0.76,4,22,13,2,1,0,1,0,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,3.54,0.20199999999999999,0.0,0.00%,1.14,9b -2- 0 out a2,9b end a 2,,ARI,1.0,W,3,1,,
22,23,158,2010-09-28,LAN,COL,8-GF,S(3),3,1.1,1,0,0,2,2,0,0,0.72,7,36,21,6,4,0,3,1,2,0,,2,1,0,0,0,5,0,0,0,0,0,0,3.61,0.1,0.0,0.00%,0.03,8b 12- 2 out a2,9b end a 2,,COL,2.727272727272727,W,9,7,,
23,24,161,2010-10-02,LAN,ARI,9-GF,S(4),3,1.0,1,0,0,0,3,0,0,0.69,4,15,12,4,3,0,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,3.33,0.155,0.0,0.00%,0.47,9t --- 0 out a1,9t end a 1,,LAD,1.0,W,3,2,,
24,25,162,2010-10-03,LAN,ARI,8-8,H(4),0,1.0,0,0,0,0,2,0,0,0.67,3,14,9,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.94,0.07,0.0,0.00%,0.47,8t --- 0 out a2,8t 3 out a2,,LAD,0.0,W,3,1,,
25,26,3,2011-04-02,LAN,SFG,6-6,,99,1.0,4,4,4,2,2,0,0,36.0,9,42,21,5,7,1,4,1,2,0,,0,0,1,0,0,7,1,0,0,0,0,0,0.2,-0.061,0.23,-0.04%,-3.56,6t --- 0 out d4,6t 3 out d8,,LAD,6.0,L,0,10,,
26,27,6,2011-04-06,LAN,COL,5-6,,3,2.0,1,0,0,0,2,0,0,12.0,7,31,21,6,5,3,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.28,0.043,0.31,0.03%,1.09,5b --- 0 out d3,6b 3 out d3,,COL,0.5,L,5,7,,
27,28,7,2011-04-08,LAN,SDP,6-6,,1,1.0,0,0,0,1,2,0,0,9.0,4,19,11,5,2,0,1,0,1,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.22,0.07,1.33,0.05%,0.43,6b --- 0 out tie,6b 3 out tie,,SDP,1.0,W,4,2,,
28,29,9,2011-04-10,LAN,SDP,6-7,,1,1.1,2,1,1,0,2,1,0,8.44,6,25,16,6,5,1,3,1,0,0,,1,0,1,0,0,6,0,0,0,0,0,0,0.23,-0.031,0.27,-0.02%,-0.28,6b -2- 2 out d3,7b 3 out d3,,SDP,1.818181818181818,L,2,7,,
29,30,11,2011-04-12,LAN,SFG,6-6,,1,1.0,0,0,0,1,1,0,0,7.11,4,23,13,4,2,1,1,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,0.7,0.04,0.82,0.03%,0.42,6b --- 0 out d1,6b 3 out d1,,SFG,1.0,L,4,5,,
30,31,14,2011-04-15,LAN,STL,5-5,,2,1.0,3,1,1,0,3,1,0,7.36,6,31,19,5,5,2,1,0,0,0,,1,1,0,0,0,6,0,0,0,0,0,0,0.44,-0.081,0.4,-0.04%,-0.95,5t -2- 0 out d2,5t 3 out d4,,LAD,3.0,L,2,11,,
31,32,15,2011-04-16,LAN,STL,7-7,,0,1.0,0,0,0,0,1,0,0,6.48,3,11,8,4,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.06,0.005,0.05,0.00%,0.44,7t --- 0 out d5,7t 3 out d5,,LAD,0.0,L,2,9,,
32,33,18,2011-04-19,LAN,ATL,9-9,,2,0.1,3,5,5,2,0,1,0,11.42,6,27,14,5,0,0,4,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.35,-0.138,0.32,-0.08%,-3.41,9t --- 0 out d1,9t 12- 1 out d4,,LAD,50.0,L,1,10,,
33,34,21,2011-04-22,LAN,CHC,7-8,,2,1.2,0,0,0,0,4,0,0,9.58,5,24,15,7,3,0,1,1,0,0,,3,0,0,0,0,5,0,0,0,0,0,0,0.22,0.025,0.21,0.02%,1.99,7b 123 1 out a7,8b 3 out a7,,CHC,0.0,W,12,2,,
34,35,25,2011-04-26,LAN,FLA,7-GF(8),,3,2.0,0,0,0,1,3,0,0,8.03,7,38,24,5,6,1,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.21,0.033,0.21,0.02%,0.92,7b --- 0 out d2,8b end d 2,,FLA,0.5,L,2,4,,
35,36,28,2011-04-30,LAN,SDP,9-GF,,3,1.0,0,0,0,1,2,0,0,7.43,4,23,16,1,7,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.13,0.006,0.15,0.00%,0.44,9t --- 0 out d3,9t end d 3,,LAD,1.0,L,2,5,,
36,37,33,2011-05-06,LAN,NYM,8-GF(8),,5,1.0,1,0,0,1,3,0,0,6.91,5,24,14,6,3,0,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.09,0.005,0.08,0.00%,0.44,8b --- 0 out d3,8b end d 3,,NYM,2.0,L,3,6,,
37,38,35,2011-05-08,LAN,NYM,7-7,H(1),1,0.1,0,0,0,1,0,0,0,6.75,2,11,5,2,2,0,1,0,0,0,,2,0,1,0,0,1,0,0,0,0,0,0,2.62,0.05,2.04,0.02%,0.46,7b 1-3 2 out a3,7b 3 out a3,,NYM,10.0,W,4,2,,
38,39,39,2011-05-13,LAN,ARI,9-GF,S(1),4,0.1,0,0,0,0,1,0,0,6.6,1,4,4,0,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,5.39,0.134,5.31,0.08%,0.4,9t 12- 2 out a1,9t end a 1,,LAD,0.0,W,4,3,,
39,40,40,2011-05-14,LAN,ARI,9-GF,,0,1.0,0,0,0,0,2,0,0,6.19,3,15,12,4,2,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.43,0.031,0.46,0.02%,0.44,9t --- 0 out d1,9t end d 1,,LAD,0.0,L,0,1,,
40,41,42,2011-05-16,LAN,MIL,7-7,,1,1.0,1,0,0,0,1,0,0,5.82,4,14,11,2,0,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.71,0.049,0.59,0.02%,0.44,7t --- 0 out d1,7t 3 out d1,,LAD,1.0,L,1,2,,
41,42,43,2011-05-17,LAN,MIL,8-8,H(2),0,0.1,0,0,0,1,0,0,0,5.71,2,10,3,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.14,0.042,1.64,0.02%,0.33,8t --3 2 out a2,8t 3 out a2,,LAD,10.0,W,3,0,,
42,43,46,2011-05-20,LAN,CHW,8-9,W(1-0),2,2.0,1,0,0,0,2,0,0,5.12,7,32,23,5,2,1,4,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.32,0.177,0.85,0.07%,1.06,8b --- 0 out d1,9b 3 out tie,,CHW,0.5,W,6,4,,
43,44,49,2011-05-23,LAN,HOU,9-GF,BL(1-1),2,0.2,3,3,3,1,2,0,1,6.3,7,38,23,7,5,1,2,2,0,0,,0,0,2,0,0,5,1,0,0,0,0,0,2.7,-0.92,1.59,-0.33%,-2.96,9b --- 0 out a2,9b end d 1,,HOU,20.0,L,3,4,,
44,45,53,2011-05-28,LAN,FLA,7-7,,4,1.0,1,1,1,2,2,0,0,6.43,6,30,15,2,3,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.25,-0.019,0.16,-0.01%,-0.56,7t --- 0 out d4,7t 3 out d5,,LAD,3.0,L,1,6,,
45,46,72,2011-06-18,LAN,HOU,6-6,,20,1.0,1,0,0,0,1,0,0,6.14,4,19,14,1,6,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.12,0.006999999999999999,0.04,0.00%,0.44,6t --- 0 out d5,6t 3 out d5,,LAD,1.0,L,0,7,,
46,47,76,2011-06-22,LAN,DET,6-7,,3,1.2,0,0,0,2,4,0,0,5.7,7,30,17,2,8,0,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.92,0.055,0.42,0.02%,0.48,6t --- 0 out d1,7t 12- 2 out d1,,LAD,1.6666666666666667,L,5,7,,
47,48,78,2011-06-25,LAN,LAA,6-7,,2,2.0,0,0,0,0,2,0,0,5.26,6,30,20,6,4,1,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.67,0.098,0.16,0.01%,0.88,6t --- 0 out d1,7t 3 out d1,,LAD,0.0,L,1,6,,
48,49,81,2011-06-28,LAN,MIN,5-6,,2,1.1,0,0,0,1,2,0,0,5.0,5,21,10,5,1,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.44,0.036000000000000004,0.15,0.01%,0.6,5b --- 2 out d2,6b 3 out d2,,MIN,0.9090909090909092,L,4,6,,
49,50,84,2011-07-02,LAN,LAA,7-7,,3,1.0,0,0,0,0,0,0,0,4.82,3,14,9,2,1,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.46,7b --- 0 out d6,7b 3 out d6,,LAA,0.0,L,1,7,,
50,51,87,2011-07-05,LAN,NYM,9-GF,,2,1.0,0,0,0,0,0,0,0,4.66,3,7,5,1,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.44,9t --- 0 out d6,9t end d 6,,LAD,0.0,L,0,6,,
