,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,52,2019-05-26,SFN,ARI,8-8,,99,1.0,0,0,0,0,1,0,0,0.0,3,19,12,4,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.008,0.03,0.00%,0.5,4.25,6.0,8t --- 0 out d4,8t 3 out d4,,SFG,0.0,L,2,6
1,2,53,2019-05-28,SFN,MIA,8-GF(8),,1,1.0,2,1,1,1,0,1,0,4.5,5,22,11,3,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0.0,0.0,0.0,0.00%,-0.5,-1.55,0.0,8b --- 0 out d9,8b end d10,,MIA,3.0,L,3,11
2,3,57,2019-06-01,SFN,BAL,9-GF,,3,1.0,0,0,0,0,0,0,0,3.0,3,11,8,1,0,1,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.05,0.004,0.01,0.00%,0.55,2.25,3.0,9b --- 0 out a6,9b end a 6,,BAL,0.0,W,8,2
3,4,93,2019-07-15,SFN,COL,9-GF,,43,1.0,0,0,0,1,1,0,0,2.25,4,15,8,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.62,3.65,6.0,9b --- 0 out a17,9b end a17,1.0,COL,1.0,W,19,2
4,5,102,2019-07-23,SFN,CHC,13-GF(13),W(1-0),7,1.0,0,0,0,0,2,0,0,1.8,3,12,8,1,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.13699999999999998,1.4,0.06%,0.5,10.25,21.0,13t --- 0 out tie,13t end tie,,SFG,0.0,W,5,4
5,6,103,2019-07-24,SFN,CHC,9-GF,,0,1.0,0,0,0,0,0,0,0,1.5,3,5,5,1,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,1,0.17,0.008,0.15,0.00%,0.5,2.25,3.0,9t --- 0 out d3,9t end d 3,,SFG,0.0,L,1,4
6,7,105,2019-07-27,SFN,SDP,8-GF(8),,2,1.0,0,0,0,1,1,0,0,1.29,4,22,13,4,0,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.03,0.00%,0.5,3.65,6.0,8b --- 0 out d4,8b end d 4,,SDP,1.0,L,1,5
7,8,107,2019-07-30,SFN,PHI,6-6,,2,1.0,1,0,0,1,2,0,0,1.13,5,26,14,5,3,1,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.29,0.011000000000000001,0.27,0.01%,0.54,5.05,9.0,6b --- 0 out d4,6b 3 out d4,,PHI,2.0,L,2,4
8,9,109,2019-08-01,SFN,PHI,8-GF(8),,1,1.0,0,0,0,1,0,0,0,1.0,3,12,7,0,3,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0.0,0.0,0.00%,0.54,1.65,3.0,8b --- 0 out d8,8b end d 8,,PHI,1.0,L,2,10
9,10,111,2019-08-03,SFN,COL,7-7,W(2-0),1,1.0,0,0,0,0,0,0,0,0.9,3,11,9,2,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.67,0.055,0.47,0.02%,0.62,6.25,15.0,7b --- 0 out d1,7b 3 out d1,,COL,0.0,W,6,5
