Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,137,2018-09-02,MIA,TOR,GS-3,L(0-1),99,3.0,4,3,3,4,2,0,1,9.00,17,82,45,8,10,0,10,4,1,0,37,,,0,0,0,9,2,0,0,0,3,0,1.19,-0.185,.00,0.00%,-1.64,-0.65,6.00,1t start tie,3t 3 out d3,,MIA,2.6666666666666665,L,1,6
2,146,2018-09-13,MIA,NYM,GS-5,L(0-2),10,4.1,5,3,3,1,2,1,0,7.36,19,79,57,15,3,3,13,5,3,0,42,,,0,0,0,18,0,0,0,0,0,0,1.13,0.011,.00,0.00%,0.37,4.15,10.00,1b start tie,5b 12- 1 out a1,2,NYM,1.4634146341463417,L,2,5
3,152,2018-09-20,MIA,CIN,GS-5,L(0-3),6,5.0,3,2,2,4,6,0,0,5.84,22,86,49,14,8,3,9,3,0,0,55,,,1,0,0,18,1,0,0,0,0,0,1.15,-0.026,.00,0.00%,0.27,15.05,27.00,1t start tie,5t 3 out d2,,MIA,1.4,L,2,4
4,157,2018-09-25,MIA,WSN,GS-4,L(0-4),4,4.0,4,3,3,4,2,1,1,6.06,19,69,36,8,2,4,8,3,1,0,40,,,1,0,0,14,2,0,0,2,0,0,.85,-0.143,.00,0.00%,-0.95,1.60,9.00,1b start tie,4b 3 out d2,,WSN,2.0,L,4,9
5,55,2019-05-31,MIA,SDP,7-7,,99,0.1,0,0,0,1,1,0,0,0.00,2,8,3,1,2,0,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,.35,0.006,.05,0.00%,0.23,2.15,4.00,7b 1-- 2 out d3,7b 3 out d3,,SDP,10.0,L,2,5
6,57,2019-06-02,MIA,SDP,9-GF,,1,1.0,2,2,2,0,2,1,0,13.50,5,18,13,3,4,0,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.001,.00,0.00%,-1.50,1.05,3.00,9b --- 0 out a8,9b end a 6,,SDP,2.0,W,9,3
7,58,2019-06-04,MIA,MIL,8-8,,1,1.0,2,0,0,0,2,0,0,7.71,5,22,16,5,2,0,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.54,5.05,9.00,8b --- 0 out a16,8b 3 out a16,,MIL,2.0,W,16,0
8,61,2019-06-07,MIA,ATL,6-8,,2,3.0,1,0,0,2,4,0,0,3.38,11,48,30,4,12,1,4,0,1,0,,0,0,0,0,0,9,0,0,0,1,0,0,.05,0.005,.01,0.00%,1.49,12.95,21.00,6t --- 0 out d7,8t 3 out d7,,MIA,1.0,L,1,7
9,65,2019-06-11,MIA,STL,6-7,,3,1.1,1,0,0,2,2,0,0,2.70,7,36,20,4,4,1,2,0,1,0,,2,1,2,0,0,5,0,0,0,0,0,0,1.43,-0.057,.08,0.00%,-0.07,5.20,10.00,6t 12- 2 out d1,7t 3 out d2,,MIA,2.727272727272727,L,1,7
10,67,2019-06-14,MIA,PIT,7-7,,2,1.0,2,3,3,1,0,1,0,5.87,6,28,21,0,2,1,4,3,0,0,,0,0,0,0,0,5,1,0,1,0,0,0,.11,-0.025,.01,0.00%,-2.50,-5.55,-6.00,7t --- 0 out d5,7t 3 out d8,,MIA,3.0,L,0,11
11,82,2019-06-30,MIA,PHI,6-8,,15,3.0,4,4,3,1,5,1,0,6.75,14,54,35,8,9,0,8,4,1,0,,2,2,0,0,0,12,0,0,0,0,1,0,.13,-0.048,.01,0.00%,-3.52,7.75,15.00,6t 12- 0 out d5,8t 3 out d6,,MIA,1.6666666666666667,L,6,13
