,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
18,19,108,2016-08-03,ARI,WSN,GS-6,L(3-2),4,6.0,8,4,4,1,7,2,1,5.68,28,101,66,16,16,10,9,4,1,0,46.0,,,0,0,0,26,1,0,1,0,0,0,1.07,-0.184,0.0,0.00%,-0.82,1t start tie,6t 3 out d3,,ARI,1.5,L,3,8,,
19,20,110,2016-08-06,ARI,MIL,9-GF,,2,0.1,2,1,1,0,0,0,0,5.87,3,11,6,1,1,2,1,1,0,0,,3.0,3.0,0,0,0,3,1,0,0,0,0,0,0.0,-0.001,0.0,0.00%,-3.21,9t 123 2 out d7,9t end d11,,ARI,20.0,L,6,15,,
20,21,114,2016-08-11,ARI,NYM,8-8,,4,1.0,0,0,0,0,0,0,0,5.72,3,15,9,3,1,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.48,8b --- 0 out a9,8b 3 out a9,,NYM,0.0,W,9,0,,
21,22,115,2016-08-12,ARI,BOS,2-7,,0,5.1,2,1,1,0,4,1,1,5.24,18,67,44,13,7,7,6,4,1,0,,1.0,0.0,0,0,0,17,0,0,0,1,0,0,0.09,0.027999999999999997,0.0,0.00%,1.94,2b 1-- 2 out d6,7b 3 out d6,,BOS,0.3921568627450981,L,4,9,,
22,23,120,2016-08-17,ARI,NYM,GS-8,W(4-2),4,7.1,5,2,2,2,4,0,0,4.85,29,91,55,14,8,12,11,5,1,0,62.0,,,0,0,0,26,1,0,0,0,0,0,0.72,0.2,0.0,0.00%,2.3,1t start tie,8t 12- 1 out a8,,ARI,0.9859154929577464,W,13,5,,
23,24,125,2016-08-22,ARI,ATL,GS-5,,4,5.0,9,7,7,3,3,2,0,5.53,26,83,50,13,6,10,10,5,0,0,21.0,,,0,0,0,21,2,1,0,0,1,0,0.87,-0.41600000000000004,0.0,0.00%,-4.35,1t start tie,5t 3 out d3,,ARI,2.4,W,9,8,,
24,25,130,2016-08-27,ARI,CIN,GS-2,L(4-3),4,2.0,9,9,9,0,1,3,1,6.71,16,45,26,8,2,4,10,6,0,0,3.0,,,0,0,0,15,1,0,0,0,0,0,0.65,-0.436,0.0,0.00%,-7.94,1t start tie,2t 3 out d9,,ARI,4.5,L,0,13,,
25,26,134,2016-09-02,ARI,COL,5-6,,5,1.2,2,1,1,1,0,0,0,6.68,8,22,12,3,1,6,1,1,0,0,,1.0,0.0,0,0,0,6,0,0,0,0,0,0,1.92,-0.016,0.0,0.00%,0.32,5b -2- 1 out d1,6b 3 out tie,,COL,2.5,L,7,14,,
26,27,137,2016-09-05,ARI,LAD,6-7,,2,2.0,0,0,0,2,2,0,0,6.46,8,34,19,4,5,4,0,0,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.96,6b --- 0 out d8,7b 3 out d7,,LAD,1.0,L,2,10,,
27,28,140,2016-09-09,ARI,SFG,10-10,,3,0.0,1,1,1,2,0,0,0,6.61,3,14,5,0,1,0,1,1,0,0,,0.0,0.0,0,0,0,1,1,0,1,0,0,0,2.73,-0.335,0.0,0.00%,-1.85,10t --- 0 out tie,10t 123 0 out tie,,ARI,inf,L,6,7,,
28,29,141,2016-09-10,ARI,SFG,7-7,,0,1.0,3,2,2,0,1,1,0,6.79,6,24,15,1,4,3,2,1,0,0,,0.0,0.0,1,0,0,6,1,0,0,0,0,0,0.16,-0.04,0.0,0.00%,-1.47,7t --- 0 out d4,7t 3 out d6,,ARI,3.0,L,3,11,,
29,30,148,2016-09-17,ARI,LAD,7-7,,6,0.1,0,0,0,0,1,0,0,6.75,1,4,3,0,2,0,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.53,0.015,0.0,0.00%,0.37,7t -2- 1 out d3,7t -2- 2 out d3,,ARI,0.0,L,2,6,,
30,31,149,2016-09-18,ARI,LAD,10-11,,0,2.0,1,0,0,0,3,0,0,6.55,7,29,21,3,6,4,0,0,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,1.93,0.28600000000000003,0.0,0.00%,1.06,10t --- 0 out tie,11t 3 out tie,,ARI,0.5,W,10,9,,
31,32,151,2016-09-20,ARI,SDP,6-7,L(4-4),1,2.0,1,2,2,1,4,1,0,6.62,8,33,24,9,6,1,2,1,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.84,-0.233,0.0,0.00%,-1.06,6b --- 0 out tie,7b 3 out d2,,SDP,1.0,L,2,5,,
32,33,153,2016-09-23,ARI,BAL,10-11,,2,1.2,1,0,0,1,1,0,0,6.46,8,21,13,1,6,3,3,2,0,0,,0.0,0.0,0,0,0,5,0,0,1,0,0,1,2.98,0.121,0.0,0.00%,0.25,10b --- 0 out tie,11b 123 2 out tie,,BAL,1.6666666666666667,L,2,3,,
33,34,156,2016-09-26,ARI,WSN,5-7,W(5-4),2,3.0,1,0,0,0,3,0,0,6.19,9,36,24,7,4,6,0,0,0,0,,0.0,0.0,0,0,0,9,0,0,0,1,0,0,0.48,0.102,0.0,0.00%,1.53,5b --- 0 out a1,7b 3 out a6,,WSN,0.3333333333333333,W,14,4,,
