Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
20,35,2015-05-15,CHC,PIT,GS-6,,4,5.2,8,5,5,1,7,1,0,5.15,26,99,72,20,10,6,12,3,4,0,39,,,0,0,0,25,2,0,0,0,0,0,.76,0.063,.88,0.04%,-1.57,1t start tie,6t -2- 2 out a3,,CHC,1.7307692307692306,W,11,10,,
21,40,2015-05-21,CHC,SDP,SHO,W(1-1),5,9.0,5,0,0,0,7,0,0,4.14,30,108,71,24,10,14,9,5,1,0,84,,,1,0,0,30,0,0,0,2,0,0,.89,0.459,1.02,0.32%,3.97,1b start a 2,9b 3 out a3,,SDP,0.5555555555555556,W,3,0,,
22,45,2015-05-26,CHC,WSN,GS-7,,4,7.0,4,1,1,2,4,1,1,3.76,25,85,53,21,5,13,5,2,1,0,67,,,0,0,0,21,1,0,0,2,0,0,1.16,0.233,1.39,0.17%,2.19,1t start tie,7t 3 out tie,,CHC,0.8571428571428571,W,3,2,,
23,50,2015-06-02,CHC,MIA,GS-6,L(1-2),6,6.0,7,4,4,2,7,0,0,3.99,27,97,62,25,9,12,6,3,2,0,47,,,0,0,0,25,2,0,0,0,0,0,1.36,-0.287,1.56,-0.20%,-1.33,1b start tie,6b 3 out d2,,MIA,1.5,L,2,5,,
24,55,2015-06-07,CHC,WSN,GS-5,W(2-2),4,5.0,6,3,2,0,4,1,0,3.96,22,84,55,14,10,6,12,9,1,0,49,,,0,0,0,22,0,0,0,0,0,1,1.12,-0.092,1.24,-0.06%,-0.64,1b start tie,5b 3 out a1,,WSN,1.2,W,6,3,,
25,60,2015-06-13,CHC,CIN,GS-5,,5,5.0,4,1,1,0,7,1,0,3.80,18,57,43,18,7,6,5,2,0,0,62,,,0,0,0,18,1,0,0,0,0,0,.82,0.151,.96,0.11%,1.28,1t start tie,5t 3 out a2,,CHC,0.8,W,4,3,,
26,65,2015-06-19,CHC,MIN,GS-6,L(2-3),5,5.0,11,7,6,1,1,0,0,4.28,26,88,54,13,4,11,13,7,2,0,19,,,1,1,0,25,5,1,0,0,0,1,.78,-0.285,.84,-0.19%,-5.49,1b start tie,6b --3 0 out d6,,MIN,2.4,L,2,7,,
27,70,2015-06-24,CHC,LAD,GS-5,L(2-4),4,5.0,4,4,4,1,3,2,0,4.46,19,71,43,12,4,9,6,5,0,0,45,,,0,0,0,18,1,0,0,1,0,0,.62,-0.226,.72,-0.16%,-1.72,1t start tie,5t 3 out d4,,CHC,1.0,L,2,5,,
28,75,2015-06-30,CHC,NYM,GS-6,W(3-4),5,6.0,3,0,0,1,6,0,0,4.15,22,90,52,21,7,4,11,5,1,0,71,,,0,0,0,21,1,0,0,0,0,0,.91,0.353,.90,0.21%,2.70,1b start tie,6b 3 out a1,,NYM,0.6666666666666666,W,1,0,,
29,80,2015-07-05,CHC,MIA,GS-8,W(4-4),4,7.1,5,0,0,1,6,0,0,3.82,26,91,64,25,8,12,7,3,0,0,73,,,0,0,1,25,0,0,0,1,0,0,1.41,0.440,1.55,0.29%,3.16,1t start tie,8t 1-- 1 out a1,,CHC,0.8450704225352114,W,2,0,,
