Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,3,2018-03-31,BOS,TBR,7-8,H(1),99,0.2,1,1,1,0,0,1,0,13.50,3,9,6,1,0,0,3,0,2,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.84,-0.040,2.01,-0.03%,-0.54,-1.10,-1.00,7b 1-- 2 out a2,8b --- 1 out a1,,TBR,5.0,W,3,2
2,4,2018-04-01,BOS,TBR,8-8,H(2),0,0.1,0,0,0,0,0,0,0,9.00,1,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.48,0.063,2.85,0.04%,0.23,0.75,1.00,8b --- 0 out a1,8b --- 1 out a1,,TBR,0.0,W,2,1
3,6,2018-04-03,BOS,MIA,6-7,,1,1.2,1,0,0,0,3,0,0,3.38,6,31,21,7,3,1,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.06,0.116,1.18,0.08%,0.70,9.15,14.00,6b --- 0 out tie,7b 1-- 2 out tie,,MIA,0.8333333333333334,W,4,2
4,7,2018-04-05,BOS,TBR,11-GF(12),W(1-0),1,2.0,1,0,0,0,3,0,0,1.93,7,30,21,2,7,2,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.72,0.287,3.43,0.22%,1.06,13.90,27.00,11t --- 0 out tie,12t end tie,,BOS,0.5,W,3,2
5,9,2018-04-08,BOS,TBR,6-6,,2,0.1,1,0,0,0,1,0,0,1.80,2,6,4,0,2,0,1,0,0,0,,1,1,0,0,0,2,0,1,0,0,0,0,.72,-0.079,.90,-0.06%,-0.76,2.15,4.00,6t 1-- 2 out d2,6t 3 out d3,,BOS,10.0,W,8,7
6,11,2018-04-11,BOS,NYY,2-3,,2,2.0,4,1,1,1,1,0,0,2.57,10,37,25,7,2,5,3,3,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.75,-0.009,1.01,-0.01%,0.06,1.50,6.00,2t --- 0 out d3,3t 3 out d4,,BOS,2.5,L,7,10
7,32,2018-05-04,BOS,TEX,9-GF,,22,1.0,1,0,0,0,1,0,0,2.25,4,22,18,5,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.59,0.022,.70,0.02%,0.56,3.65,6.00,9b --- 0 out a4,9b end a 4,,TEX,1.0,W,5,1
8,42,2018-05-15,BOS,OAK,8-8,,10,0.2,1,0,0,0,0,0,0,2.08,3,13,7,0,2,0,3,1,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,1.37,-0.134,1.66,-0.10%,-1.06,0.90,2.00,8t 12- 1 out d1,8t 3 out d3,,BOS,5.0,L,3,5
9,47,2018-05-20,BOS,BAL,8-8,,4,1.0,2,0,0,0,0,0,0,1.86,5,18,11,2,0,2,3,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.27,0.013,.31,0.01%,0.53,1.05,3.00,8t --- 0 out a5,8t 3 out a5,,BOS,2.0,W,5,0
10,62,2018-06-06,BOS,DET,9-GF,,16,1.0,0,0,0,0,1,0,0,1.69,3,13,10,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.03,0.00%,0.53,4.25,6.00,9t --- 0 out a6,9t end a 6,,BOS,0.0,W,7,1
