Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,104,2019-07-25,KCR,CLE,11-12,,99,2.0,3,0,0,2,1,0,0,0.00,11,30,18,5,3,4,4,1,0,0,,0,0,0,0,0,9,1,0,1,0,0,0,3.40,0.297,.00,0.00%,1.12,3.50,9.00,11t --- 0 out tie,12t 3 out tie,,KCR,2.5,L,4,5
2,106,2019-07-27,KCR,CLE,9-GF,,1,1.0,0,0,0,0,1,0,0,0.00,3,13,7,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.56,4.25,6.00,9t --- 0 out d8,9t end d 8,,KCR,0.0,L,1,9
3,108,2019-07-29,KCR,TOR,9-9,,1,0.1,1,2,2,1,1,0,0,5.40,3,16,9,3,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.75,-0.053,.00,0.00%,-0.68,-2.45,-2.00,9t --- 0 out d1,9t 1-3 1 out d1,,KCR,20.0,L,3,7
4,109,2019-07-30,KCR,TOR,9-GF,,0,1.0,3,5,0,2,0,1,1,4.15,10,41,22,8,3,2,5,1,2,0,,0,0,0,0,0,7,0,0,0,0,0,1,.17,-0.037,.00,0.00%,-4.44,-1.35,3.00,9t --- 0 out d3,9t end d 8,,KCR,5.0,L,2,9
5,114,2019-08-05,KCR,BOS,8-GF(8),,5,1.0,0,0,0,1,0,0,0,3.38,4,11,6,3,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.34,0.018,.00,0.00%,0.58,1.65,3.00,8b --- 0 out d2,8b end d 2,,BOS,1.0,L,5,7
6,117,2019-08-08,KCR,DET,6-7,BS(1),2,2.0,2,1,1,0,2,1,0,3.68,9,33,24,6,6,3,4,3,0,0,,0,0,0,0,0,9,0,0,0,0,0,1,1.46,-0.027,.00,0.00%,0.13,5.30,9.00,6b --- 0 out a1,7b 3 out tie,,DET,1.0,L,8,10
7,122,2019-08-14,KCR,STL,8-8,,5,1.0,1,1,1,0,0,1,0,4.32,4,12,6,1,1,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,-0.008,.00,0.00%,-0.44,-0.35,0.00,8t --- 0 out d5,8t 3 out d6,,KCR,1.0,L,0,6
8,125,2019-08-18,KCR,NYM,7-8,,3,1.2,2,1,1,0,2,0,0,4.50,6,24,16,5,2,2,2,1,0,0,,2,0,0,0,0,6,2,0,0,0,0,0,.18,0.003,.00,0.00%,0.80,4.55,8.00,7t 1-3 1 out d5,8t 3 out d5,,KCR,1.6666666666666667,L,5,11
9,129,2019-08-23,KCR,CLE,7-GF(8),,4,2.0,2,0,0,0,1,0,0,3.75,6,20,14,2,2,2,3,1,0,0,,0,0,0,0,0,6,1,0,0,1,0,0,.24,0.024,.00,0.00%,1.15,5.30,9.00,7b --- 0 out d3,8b end d 3,,CLE,1.0,L,1,4
10,132,2019-08-26,KCR,OAK,5-6,,2,1.2,1,1,1,0,3,1,0,3.95,6,19,14,6,3,1,2,1,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.29,7.15,11.00,5t -2- 1 out d12,6t 3 out d12,,KCR,0.8333333333333334,L,4,19
11,135,2019-08-29,KCR,OAK,7-8,,2,2.0,1,0,0,0,4,0,0,3.45,7,23,16,6,4,0,3,2,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.36,0.043,.00,0.00%,1.12,11.90,18.00,7t --- 0 out d3,8t 3 out d3,,KCR,0.5,L,8,9
12,141,2019-09-05,KCR,DET,6-6,,6,0.2,3,2,2,1,0,0,0,4.41,5,24,13,3,3,2,2,1,0,0,,0,0,0,1,0,4,1,0,0,0,0,0,1.07,-0.192,.00,0.00%,-1.79,-4.90,-4.00,6t --- 0 out d1,6t -2- 2 out d3,,KCR,20.0,L,4,6
13,148,2019-09-13,KCR,HOU,9-GF,,7,0.1,0,0,0,1,0,0,0,4.32,2,8,3,1,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.39,0.008,.00,0.00%,0.47,0.15,1.00,9t 12- 2 out d3,9t end d 3,,KCR,10.0,L,1,4
14,154,2019-09-19,KCR,MIN,8-GF(8),,5,1.0,0,0,0,2,0,0,0,4.08,5,27,14,7,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.008,.00,0.00%,0.55,1.05,3.00,8b --- 0 out d3,8b end d 3,,MIN,2.0,L,5,8
15,157,2019-09-22,KCR,MIN,8-GF(8),,2,1.0,0,0,0,0,0,0,0,3.86,3,13,8,3,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.55,2.25,3.00,8b --- 0 out d6,8b end d 6,,MIN,0.0,L,8,12
16,159,2019-09-25,KCR,ATL,8-8,,2,0.2,2,0,0,0,0,0,0,3.72,4,12,7,3,0,1,3,2,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,.06,-0.003,.00,0.00%,-0.27,0.30,2.00,8t -2- 1 out d6,8t 3 out d7,,KCR,10.0,L,2,10
