,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
18,19,10,2019-04-08,ATL,COL,7-8,H(1),1,1.1,0,0,0,0,2,0,0,7.71,4,10,9,2,3,1,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.37,0.154,1.34,0.09%,0.9,7.0,10.0,7b 1-- 2 out a2,8b 3 out a2,,COL,0.0,W,8,6
19,20,11,2019-04-09,ATL,COL,8-8,,0,1.0,0,0,0,0,2,0,0,6.35,3,13,10,3,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.27,0.022000000000000002,0.27,0.01%,0.62,6.25,9.0,8b --- 0 out a5,8b 3 out a5,,COL,0.0,W,7,1
20,21,14,2019-04-13,ATL,NYM,8-GF,,3,1.2,2,2,2,1,2,0,0,7.36,9,35,24,6,4,3,3,2,1,0,,2,1,0,0,0,8,1,0,0,0,0,0,0.2,0.009000000000000001,0.23,0.01%,-1.48,1.95,5.0,8t 12- 1 out a7,9t end a 4,,ATL,2.5,W,11,7
21,22,16,2019-04-16,ATL,ARI,7-7,,2,0.0,0,3,3,1,0,0,2,11.05,3,20,9,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.77,-0.21899999999999997,1.87,-0.14%,-1.85,-7.8,-9.0,7t --- 0 out a3,7t 123 0 out a3,,ATL,inf,L,6,9
22,23,18,2019-04-18,ATL,ARI,7-7,,1,0.2,3,3,2,1,1,1,0,12.38,7,27,18,5,5,2,3,2,0,0,,0,0,1,0,0,6,1,0,0,0,0,1,0.69,-0.253,0.68,-0.15%,-3.08,-2.9,-1.0,7t --- 0 out d1,7t -23 2 out d4,,ATL,20.0,L,1,4
23,24,20,2019-04-20,ATL,CLE,6-6,,1,1.0,1,0,0,1,3,0,0,11.0,5,24,13,2,6,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.06,0.004,0.05,0.00%,0.58,7.05,12.0,6b --- 0 out d6,6b 3 out d6,2.0,CLE,2.0,W,8,7
24,25,22,2019-04-23,ATL,CIN,8-GF(8),,2,1.0,1,0,0,2,2,0,0,9.9,6,29,15,4,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.1,0.034,1.11,0.02%,0.55,4.45,9.0,8b --- 0 out d1,8b end d 1,,CIN,3.0,L,6,7
25,26,25,2019-04-26,ATL,COL,7-7,,2,0.2,0,0,0,0,0,0,0,9.28,2,11,7,1,0,0,2,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.9,0.04,0.9,0.02%,0.57,1.5,2.0,7t 1-- 1 out d2,7t 3 out d2,,ATL,0.0,L,4,8
26,27,27,2019-04-28,ATL,COL,7-8,,1,1.1,1,1,0,1,2,0,1,8.25,7,31,20,6,5,1,2,0,2,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.33,-0.047,1.24,-0.03%,-0.22,5.2,10.0,7t 1-- 1 out d1,8t -2- 2 out d2,,ATL,1.818181818181818,W,8,7
27,28,79,2019-06-24,ATL,CHC,5-6,,56,2.0,0,0,0,0,1,0,0,7.07,6,13,10,1,2,4,1,0,0,0,,2,1,0,0,0,6,0,0,0,0,0,0,0.08,0.011000000000000001,0.1,0.01%,1.58,6.5,9.0,5b -23 0 out d6,6b 3 out d5,,CHC,0.0,L,3,8
28,29,85,2019-06-30,ATL,NYM,6-7,,5,2.0,1,0,0,0,3,0,0,6.19,7,28,20,6,7,1,3,1,1,0,,0,0,1,0,0,7,0,0,0,0,0,0,1.34,0.154,1.47,0.10%,0.97,9.9,15.0,6b --- 0 out tie,7b 3 out a2,,NYM,0.5,L,5,8
29,30,86,2019-07-02,ATL,PHI,8-8,,1,1.0,1,0,0,1,0,0,0,5.82,4,12,7,4,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.6,0.034,0.93,0.03%,0.56,1.05,3.0,8t --- 0 out d2,8t 3 out d2,,ATL,2.0,L,0,2
30,31,88,2019-07-04,ATL,PHI,8-8,H(2),1,1.0,0,0,0,1,1,0,0,5.5,4,19,10,1,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.85,0.048,1.31,0.05%,0.56,3.65,6.0,8t --- 0 out a3,8t 3 out a3,,ATL,1.0,W,12,6
31,32,90,2019-07-06,ATL,MIA,9-GF,,1,1.0,0,0,0,0,1,0,0,5.21,3,12,11,2,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.75,0.044000000000000004,0.75,0.03%,0.56,4.25,6.0,9t --- 0 out d1,9t end d 1,,ATL,0.0,L,4,5
32,33,91,2019-07-07,ATL,MIA,8-8,H(3),0,0.2,1,1,1,0,1,1,0,5.49,3,6,6,1,3,0,2,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,1.09,-0.071,1.24,-0.05%,-2.03,0.9,2.0,8t 12- 1 out a4,8t 3 out a1,,ATL,5.0,W,4,3
33,34,92,2019-07-12,ATL,SDP,8-8,,4,0.2,2,1,1,1,0,0,0,5.75,4,20,12,2,2,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.09,-0.012,1.23,-0.01%,-0.73,-2.3,-1.0,8b --- 0 out a4,8b 1-- 2 out a3,,SDP,15.0,W,5,3
34,35,94,2019-07-14,ATL,SDP,8-8,H(4),1,0.1,0,0,0,0,1,0,0,5.66,1,6,3,1,1,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,3.92,0.10099999999999999,3.54,0.06%,0.77,2.75,4.0,8b 123 2 out a3,8b 3 out a3,,SDP,0.0,W,4,1
35,36,95,2019-07-15,ATL,MIL,7-7,H(5),0,1.0,1,0,0,0,0,0,0,5.4,4,15,9,1,3,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.17,0.086,1.01,0.05%,0.54,1.65,3.0,7b --- 0 out a2,7b 3 out a2,,MIL,1.0,W,4,2
36,37,97,2019-07-17,ATL,MIL,6-6,,1,0.1,0,0,0,0,1,0,0,5.32,1,3,3,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.11,0.003,0.09,0.00%,0.24,2.75,4.0,6b 1-- 2 out d5,6b 3 out d5,,MIL,0.0,L,4,5
37,38,99,2019-07-19,ATL,WSN,7-7,H(6),1,1.0,1,0,0,0,2,0,0,5.09,4,21,14,3,3,0,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.1,0.076,1.58,0.07%,0.56,5.65,9.0,7t --- 0 out a2,7t 3 out a2,,ATL,1.0,W,4,3
38,39,102,2019-07-23,ATL,KCR,7-7,,3,1.0,0,0,0,0,1,0,0,4.88,3,12,8,1,4,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.78,0.061,0.74,0.04%,0.56,4.25,6.0,7t --- 0 out d1,7t 3 out d1,,ATL,0.0,L,4,5
39,40,105,2019-07-27,ATL,PHI,7-8,,3,1.1,3,1,1,0,2,0,0,4.97,7,30,18,5,3,2,3,2,0,0,,2,0,0,0,0,7,0,0,0,0,0,0,0.06,0.002,0.07,0.00%,0.0,3.2,7.0,7b 12- 2 out a9,8b 3 out a8,,PHI,2.727272727272727,W,15,7
40,41,107,2019-07-29,ATL,WSN,6-6,,1,0.2,1,2,2,2,2,1,0,5.54,5,22,9,4,4,0,1,0,0,0,,2,2,1,0,0,3,0,0,0,0,0,0,1.61,-0.305,2.3,-0.26%,-3.03,-0.3,2.0,6b 12- 1 out tie,6b 3 out d4,,WSN,15.0,L,3,6
41,42,144,2019-09-08,ATL,WSN,7-7,,40,0.1,3,4,4,1,1,1,0,6.84,5,21,12,5,2,1,2,1,0,0,,0,0,1,0,0,4,1,0,0,0,0,0,0.28,-0.084,0.04,-0.01%,-2.41,-7.65,-8.0,7t --- 0 out d3,7t 12- 1 out d5,,ATL,40.0,L,4,9
42,43,146,2019-09-10,ATL,PHI,8-GF(8),,1,1.0,0,0,0,2,3,0,0,6.59,5,31,18,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.68,0.034,0.07,0.00%,0.54,7.05,12.0,8b --- 0 out d1,8b end d 1,,PHI,2.0,L,5,6
43,44,148,2019-09-12,ATL,PHI,8-GF(8),,1,0.1,0,0,0,0,0,0,0,6.51,1,5,2,1,0,0,1,0,1,0,,1,0,1,0,0,1,0,0,0,0,0,0,0.08,0.002,0.01,0.00%,0.25,0.75,1.0,8b 1-- 2 out d4,8b end d 4,,PHI,0.0,L,5,9
44,45,151,2019-09-15,ATL,WSN,7-7,,2,1.0,1,0,0,2,1,0,0,6.28,5,27,15,1,4,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.03,0.001,0.0,0.00%,0.56,2.45,6.0,7b --- 0 out d7,7b 3 out d7,,WSN,3.0,L,0,7
45,46,158,2019-09-24,ATL,KCR,7-7,,8,0.1,0,0,0,0,0,0,0,6.21,1,1,1,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.06,0.002,0.0,0.00%,0.39,0.75,1.0,7b --3 2 out d6,7b 3 out d6,,KCR,0.0,L,6,9
