Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
20,141,2017-09-09,CHW,SFG,8-8,,0,1.0,0,0,0,0,1,0,0,6.19,3,11,6,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.51,8t --- 0 out a9,8t 3 out a9,,CHW,0.0,W,13,1,,
21,144,2017-09-12,CHW,KCR,8-GF(8),,2,1.0,0,0,0,1,0,0,0,5.82,3,11,4,1,0,1,1,1,0,0,,0,0,0,1,1,2,0,0,0,0,0,0,.53,0.034,.00,0.00%,0.53,8b --- 0 out d1,8b end d 1,,KCR,1.0,L,3,4,,
22,145,2017-09-13,CHW,KCR,7-7,H(3),0,0.2,0,0,0,0,0,0,0,5.60,2,4,3,1,0,1,1,0,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,5.10,0.266,.00,0.00%,1.61,7b 123 1 out a2,7b 3 out a2,,KCR,0.0,W,5,3,,
23,147,2017-09-15,CHW,DET,9-9,,1,0.0,0,0,0,1,0,0,0,5.60,1,6,2,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,2.35,-0.048,.00,0.00%,-0.21,9b 1-- 2 out tie,9b 12- 2 out tie,,DET,inf,L,2,3,,
24,150,2017-09-19,CHW,HOU,7-7,,3,0.1,0,0,0,0,0,0,0,5.50,1,3,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.10,0.031,.00,0.00%,0.32,7b -2- 2 out d1,7b 3 out d1,,HOU,0.0,L,1,3,,
25,152,2017-09-21,CHW,HOU,7-7,H(4),1,0.2,0,0,0,0,2,0,0,5.30,2,15,10,2,2,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.21,0.113,.00,0.00%,0.52,7b 1-- 1 out a1,7b 3 out a1,,HOU,0.0,W,3,1,,
26,153,2017-09-22,CHW,KCR,7-8,H(5),0,1.1,1,0,0,0,1,0,0,4.95,5,21,15,4,3,2,2,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.78,0.147,.00,0.00%,0.68,7t --- 1 out a1,8t --- 2 out a1,,CHW,0.9090909090909091,W,7,6,,
27,156,2017-09-25,CHW,LAA,8-8,H(6),2,0.1,0,0,0,0,1,0,0,4.87,1,7,4,2,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.46,0.037,.00,0.00%,0.24,8t --- 0 out a2,8t --- 1 out a2,,CHW,0.0,W,4,2,,
28,158,2017-09-27,CHW,LAA,10-10,,1,0.1,0,0,0,1,0,0,0,4.79,2,8,4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.08,0.000,.00,0.00%,-0.02,10t --- 0 out tie,10t 1-- 1 out tie,,CHW,10.0,W,6,4,,
29,159,2017-09-28,CHW,LAA,6-7,,0,0.2,0,0,0,0,1,0,0,4.64,2,7,4,1,2,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.63,0.034,.00,0.00%,0.48,6t 1-- 2 out d2,7t --- 1 out d2,,CHW,0.0,W,5,4,,
30,161,2017-09-30,CHW,CLE,6-7,H(7),1,0.2,0,0,0,1,0,0,0,4.50,3,19,12,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.37,0.017,.00,0.00%,0.10,6b --- 2 out a1,7b 1-- 1 out a1,,CLE,5.0,W,2,1,,
31,1,2018-03-29,CHW,KCR,9-GF,,99,0.1,0,0,0,0,0,0,0,0.00,1,2,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.11,9b --- 2 out a7,9b end a 7,,KCR,0.0,W,14,7,0.75,1.00
32,3,2018-04-02,CHW,TOR,8-GF(8),,3,0.1,0,0,0,1,0,0,0,0.00,3,14,10,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,.26,0.003,.28,0.00%,0.10,8b --- 2 out d2,8b end d 2,,TOR,10.0,L,2,4,0.15,1.00
33,5,2018-04-04,CHW,TOR,6-6,BS(1),1,0.2,2,0,0,0,1,0,0,0.00,4,13,7,1,2,1,2,2,0,0,,2,2,0,0,0,4,0,0,0,0,0,0,2.88,-0.104,2.87,-0.06%,-0.61,6b -23 0 out a2,6b -23 2 out tie,,TOR,10.0,W,4,3,2.30,5.00
34,6,2018-04-05,CHW,DET,10-GF(10),,0,0.2,1,0,0,0,0,0,0,0.00,3,7,5,1,0,3,0,0,0,0,,2,2,0,0,0,3,0,0,0,1,0,0,2.38,-0.224,2.74,-0.16%,-0.81,10t 1-3 1 out tie,10t end d 2,,CHW,5.0,L,7,9,0.90,2.00
35,9,2018-04-09,CHW,TBR,6-6,,3,0.2,2,1,1,0,2,0,0,3.38,4,20,12,2,3,0,2,2,0,0,,0,0,2,0,0,4,0,0,0,0,0,0,1.18,-0.109,1.04,-0.06%,-0.82,6t --- 0 out d1,6t -2- 2 out d2,,CHW,10.0,L,4,5,2.30,5.00
36,10,2018-04-10,CHW,TBR,9-GF,,0,0.2,0,0,0,0,2,0,0,2.70,2,8,6,1,4,0,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.05,0.003,.04,0.00%,0.91,9t 12- 1 out d5,9t end d 5,,CHW,0.0,L,5,6,5.50,8.00
37,12,2018-04-12,CHW,MIN,7-7,,1,0.2,1,0,0,0,2,0,0,2.25,3,16,10,1,2,1,0,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,.32,-0.037,.32,-0.02%,-0.58,7b -23 1 out d2,7b 3 out d4,,MIN,5.0,L,0,4,4.90,8.00
38,13,2018-04-16,CHW,OAK,8-GF(8),,3,0.2,1,0,0,1,0,0,0,1.93,4,22,13,2,1,2,1,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,.01,-0.001,.01,0.00%,-1.09,8b 12- 1 out d6,8b end d 8,,OAK,10.0,L,1,8,0.30,2.00
39,15,2018-04-18,CHW,OAK,4-4,,1,0.1,3,3,3,0,0,0,0,7.20,4,23,14,3,2,1,3,3,0,0,,1,1,0,0,0,4,1,0,0,0,0,0,.88,-0.193,.65,-0.09%,-2.80,4b 1-- 1 out a5,4b -2- 2 out a2,,OAK,30.0,L,11,12,-7.05,-8.00
40,16,2018-04-20,CHW,HOU,7-8,,1,1.2,0,0,0,0,1,0,0,5.40,5,22,13,6,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.001,.00,0.00%,0.90,7t --- 0 out d9,8t --- 2 out d9,,CHW,0.0,L,0,10,5.75,8.00
41,18,2018-04-22,CHW,HOU,7-7,L(0-1),1,0.0,1,1,1,0,0,0,0,6.75,1,6,4,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.54,-0.059,.85,-0.02%,-0.38,7t --- 0 out tie,7t 1-- 0 out tie,,CHW,inf,L,1,7,-2.60,-3.00
42,21,2018-04-25,CHW,SEA,7-7,,2,0.1,0,0,0,0,1,0,0,6.43,1,4,3,1,1,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,3.03,0.076,1.61,0.02%,0.77,7t 123 2 out d1,7t 3 out d1,,CHW,0.0,L,3,4,2.75,4.00
43,23,2018-04-27,CHW,KCR,7-7,H(1),1,0.1,0,0,0,0,0,0,0,6.14,1,6,3,1,0,1,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,3.00,-0.009,1.65,0.00%,-0.17,7b 1-3 1 out a2,7b --3 2 out a1,,KCR,0.0,W,7,4,0.75,1.00
44,28,2018-05-02,CHW,STL,7-7,,4,0.2,0,0,0,0,0,0,0,5.63,2,6,4,1,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.12,0.006,.07,0.00%,0.25,7b --- 1 out d3,7b 3 out d3,,STL,0.0,L,2,3,1.50,2.00
45,29,2018-05-03,CHW,MIN,9-9,,0,0.2,0,0,0,0,1,0,1,5.19,3,14,7,4,0,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.81,0.073,1.05,0.03%,0.27,9t --- 0 out tie,9t 1-- 2 out tie,,CHW,0.0,W,6,5,2.90,5.00
46,30,2018-05-04,CHW,MIN,4-5,,0,1.1,3,1,1,0,1,0,0,5.40,5,19,13,2,3,3,1,1,0,0,,2,0,0,1,0,5,2,0,0,0,0,0,.98,-0.041,.64,-0.02%,-0.06,4t 12- 2 out d2,5t 3 out d2,,CHW,2.727272727272727,L,4,6,1.20,4.00
47,32,2018-05-06,CHW,MIN,8-8,,1,0.2,0,0,0,0,0,0,0,5.06,2,10,5,1,0,1,1,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,2.67,-0.053,1.39,-0.02%,0.19,8t 1-3 1 out tie,8t 3 out d1,,CHW,0.0,L,3,5,1.50,2.00
48,35,2018-05-11,CHW,CHC,7-7,,4,0.1,2,4,0,1,0,0,0,4.91,5,18,9,3,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.07,-0.010,.02,0.00%,-2.07,7b --- 0 out d5,7b 123 1 out d6,,CHC,30.0,L,2,11,-1.05,1.00
49,36,2018-05-12,CHW,CHC,7-7,,0,0.1,0,0,0,2,0,0,0,4.76,3,10,2,0,1,1,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,.05,-0.003,.02,0.00%,-0.56,7b 12- 2 out d6,7b 3 out d7,,CHC,20.0,L,4,8,-0.45,1.00
50,38,2018-05-15,CHW,PIT,6-7,,2,1.1,3,0,0,1,3,0,0,4.26,8,32,18,7,2,1,3,2,0,0,,1,1,0,0,0,7,1,0,0,0,0,0,.03,-0.005,.01,0.00%,-0.32,6b 1-- 2 out d6,7b 3 out d7,,PIT,3.6363636363636362,L,0,7,6.60,13.00
51,41,2018-05-18,CHW,TEX,7-8,,2,2.0,1,0,0,0,2,0,0,3.68,7,25,17,7,3,4,1,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.20,0.020,.05,0.00%,1.00,7t --- 0 out d4,8t 3 out d4,,CHW,0.5,L,5,12,7.90,12.00
52,46,2018-05-23,CHW,BAL,9-GF,,4,1.0,0,0,0,0,1,0,0,3.45,3,7,5,0,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.50,9t --- 0 out a10,9t end a10,,CHW,0.0,W,11,1,4.25,6.00
53,47,2018-05-24,CHW,BAL,5-6,,0,1.1,1,0,0,0,2,0,0,3.18,5,22,13,7,3,2,1,1,0,0,,1,0,1,0,0,5,0,0,0,0,0,0,.11,0.010,.03,0.00%,0.82,5t -2- 2 out d6,6t 3 out d6,,CHW,0.9090909090909091,L,3,9,6.40,10.00
54,50,2018-05-27,CHW,DET,8-GF(8),,2,1.0,1,0,0,0,1,0,0,3.00,4,19,11,1,3,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.28,0.015,.11,0.00%,0.53,8b --- 0 out d2,8b end d 2,,DET,1.0,L,2,3,3.65,6.00
55,52,2018-05-29,CHW,CLE,7-7,,1,0.1,4,1,1,0,1,0,0,3.44,5,17,10,2,2,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.14,-0.021,.04,0.00%,-2.08,7b --- 0 out d4,7b 123 1 out d5,,CLE,40.0,L,3,7,-1.65,1.00
56,55,2018-06-02,CHW,MIL,9-GF,,3,1.0,1,0,0,0,0,0,0,3.26,3,18,11,3,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.04,0.002,.00,0.00%,0.50,9t --- 0 out d5,9t end d 5,,CHW,1.0,L,0,5,1.65,3.00
57,136,2018-09-01,CHW,BOS,8-GF,,90,1.1,1,0,0,0,1,0,0,3.05,4,18,10,3,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.04,0.002,.00,0.00%,0.61,8t --- 2 out d5,9t end d 5,,CHW,0.9090909090909091,L,1,6,4.40,7.00
