,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
18,19,96,2011-07-19,SEA,TOR,GS-7,,9,6.1,7,5,5,2,6,1,0,3.24,28,102,65,13,9,8,12,3,0,0,43,,,0,0,0,26,2,0,0,1,0,1,0.99,-0.139,0.15,-0.01%,-0.78,1b start a 1,7b -23 1 out a2,,TOR,1.475409836065574,L,5,6,,
19,20,101,2011-07-24,SEA,BOS,GS-5,L(8-7),4,4.1,8,7,7,1,4,1,0,3.64,22,85,53,16,8,11,6,4,0,0,22,,,0,1,0,21,2,0,0,0,0,0,0.7,-0.364,0.03,-0.01%,-3.31,1b start a 2,5b 12- 1 out d2,,BOS,2.1951219512195124,L,8,12,,
20,21,106,2011-07-30,SEA,TBR,GS-7,W(9-7),5,6.1,1,2,1,4,10,0,1,3.53,24,110,64,17,12,3,6,2,2,0,71,,,1,1,0,18,0,0,0,0,0,0,1.18,-0.023,0.02,0.00%,0.3,1t start tie,7t 12- 1 out a1,,SEA,0.819672131147541,W,3,2,,
21,22,115,2011-08-09,SEA,TEX,GS-6,,9,6.0,5,3,3,2,4,1,0,3.57,25,95,62,10,10,10,9,4,2,0,52,,,0,0,0,22,1,0,0,0,0,0,0.97,0.032,0.01,0.00%,0.28,1b start a 2,6b 3 out a3,,TEX,1.1666666666666667,L,6,7,,
22,23,120,2011-08-15,SEA,TOR,GS-5,,5,5.0,6,5,5,4,6,3,0,3.77,25,94,56,17,7,8,7,3,1,0,37,,,1,0,0,21,0,0,0,0,0,0,0.9,-0.37,0.0,0.00%,-2.75,1t start tie,5t 3 out d1,,SEA,2.0,W,6,5,,
23,24,125,2011-08-21,SEA,TBR,GS-6,,5,6.0,6,3,2,0,5,0,0,3.73,23,94,64,21,7,7,11,3,3,0,55,,,3,2,0,22,1,0,0,0,1,1,1.05,0.057999999999999996,0.0,0.00%,-0.21,1b start a 3,6b 3 out a2,,TBR,1.0,L,7,8,,
24,25,131,2011-08-27,SEA,CHW,GS-6,L(9-8),5,6.0,3,2,2,1,8,0,0,3.71,22,101,70,15,18,7,6,1,1,0,65,,,0,0,0,20,0,0,0,0,1,0,0.78,0.004,0.0,0.00%,0.7,1t start tie,6t 3 out d2,,SEA,0.6666666666666666,L,0,3,,
25,26,138,2011-09-03,SEA,OAK,GS-6,L(9-9),6,6.0,5,3,3,2,7,1,0,3.74,25,105,70,26,8,9,7,1,2,0,55,,,0,0,0,23,1,0,0,0,0,0,0.86,-0.08,0.0,0.00%,-0.05,1b start tie,6b 3 out d3,,OAK,1.1666666666666667,L,0,3,,
26,27,145,2011-09-10,SEA,KCR,GS-8,L(9-10),6,8.0,5,3,3,1,8,1,0,3.72,30,101,72,19,20,6,15,5,3,0,67,,,1,1,0,29,2,0,0,0,0,0,0.74,0.037000000000000005,0.0,0.00%,0.61,1t start tie,8t 3 out d1,,SEA,0.75,L,2,4,,
27,28,155,2011-09-21,SEA,MIN,GS-4,,10,4.0,6,2,2,2,2,0,0,3.74,20,81,50,10,6,9,7,2,3,0,42,,,1,0,0,18,1,0,0,0,0,0,1.06,-0.038,0.0,0.00%,-0.02,1b start tie,4b 3 out d2,,MIN,2.0,W,5,4,,
28,29,5,2014-04-05,NYA,TOR,GS-6,L(0-1),99,6.0,5,1,1,0,5,0,0,1.5,22,83,58,21,10,7,10,3,2,0,63,,,0,1,0,22,3,0,0,0,0,0,0.81,0.152,0.87,0.10%,1.79,1b start tie,6b 3 out d1,,TOR,0.8333333333333334,L,0,4,,
29,30,10,2014-04-10,NYA,BOS,GS-7,W(1-1),4,6.0,4,1,1,2,7,1,0,1.5,24,94,63,20,15,3,12,2,1,0,65,,,1,0,0,22,1,0,0,0,0,0,0.85,0.209,0.92,0.14%,1.41,1t start tie,7t 1-- 0 out a3,,NYY,1.0,W,4,1,,
30,31,15,2014-04-16,NYA,CHC,GS-6,W(2-1),5,6.0,4,0,0,1,3,0,0,1.0,22,89,57,13,5,5,13,4,4,0,66,,,1,1,0,20,0,1,0,0,0,0,1.22,0.337,1.31,0.22%,2.79,1t start tie,6t 3 out a2,2.0,NYY,0.8333333333333334,W,2,0,,
31,32,21,2014-04-23,NYA,BOS,GS-2,L(2-2),6,1.2,4,2,2,0,0,0,0,1.83,9,37,22,6,2,2,7,2,0,0,39,,,0,0,0,9,0,1,0,0,0,0,0.99,-0.132,1.26,-0.10%,-1.13,1b start tie,2b --- 2 out d2,,BOS,3.333333333333333,L,1,5,,
32,33,119,2014-08-13,NYA,BAL,GS-5,,99,5.0,2,1,1,0,4,0,0,1.82,17,67,48,16,6,5,8,1,1,0,63,,,0,0,0,16,1,0,0,0,1,0,1.02,0.156,1.41,0.13%,1.39,1b start tie,5b 3 out a1,,BAL,0.4,L,3,5,,
33,34,124,2014-08-20,NYA,HOU,GS-7,,6,6.0,4,2,2,1,3,0,0,2.05,23,89,66,11,11,11,8,3,0,0,58,,,0,0,0,21,1,0,0,0,0,0,1.04,0.136,0.71,0.06%,1.41,1t start tie,7t 1-- 0 out a1,,NYY,0.8333333333333334,L,2,5,,
34,35,129,2014-08-25,NYA,KCR,GS-7,W(3-2),4,6.1,5,1,1,0,5,1,0,1.95,23,96,70,18,14,7,11,5,0,0,64,,,1,1,1,23,1,0,0,0,0,0,1.06,0.248,1.2,0.17%,1.72,1b start tie,7b -2- 1 out a5,,KCR,0.819672131147541,W,8,1,,
35,36,134,2014-08-30,NYA,TOR,GS-7,L(3-3),4,6.0,7,2,2,0,3,1,0,2.09,25,93,72,19,8,9,13,7,2,0,53,,,1,0,0,25,2,0,0,0,0,0,0.63,-0.068,0.72,-0.05%,-0.69,1b start tie,7b -23 0 out d2,,TOR,1.1666666666666667,L,0,2,,
36,37,139,2014-09-05,NYA,KCR,GS-7,L(3-4),5,7.0,3,1,0,0,4,0,0,1.8,24,98,68,18,8,10,10,4,2,0,73,,,0,1,0,24,0,0,0,0,0,1,0.85,0.223,0.59,0.09%,2.25,1t start tie,7t 3 out d1,,NYY,0.42857142857142855,L,0,1,,
37,38,144,2014-09-11,NYA,TBR,GS-8,,5,7.1,10,4,4,0,2,2,0,2.2,30,96,76,21,9,12,16,5,2,0,44,,,0,0,0,30,1,0,0,0,0,0,0.71,-0.145,0.22,-0.03%,-0.94,1t start tie,8t -2- 1 out d4,,NYY,1.4084507042253522,W,5,4,,
38,39,150,2014-09-16,NYA,TBR,GS-6,L(3-5),4,5.1,4,2,1,2,5,0,0,2.15,25,100,68,24,11,11,7,3,1,0,57,,,0,0,0,23,1,0,0,0,0,2,1.35,-0.095,0.12,-0.01%,-0.16,1b start tie,6b 12- 1 out d1,,TBR,1.1764705882352942,L,1,6,,
39,40,156,2014-09-22,NYA,BAL,GS-8,W(4-5),5,7.1,1,0,0,1,8,0,0,1.93,24,106,73,17,18,7,8,2,1,0,83,,,0,0,0,23,0,0,0,0,0,0,0.64,0.314,0.06,0.02%,3.22,1t start tie,8t 1-- 1 out a4,,NYY,0.28169014084507044,W,5,0,,
40,41,162,2014-09-28,NYA,BOS,GS-7,W(5-5),5,6.1,3,1,1,0,10,0,0,1.89,22,89,65,22,13,7,5,1,0,0,73,,,1,0,0,22,0,0,0,0,0,0,0.66,0.24600000000000002,0.0,0.00%,2.87,1b start tie,7b 1-- 1 out a9,,BOS,0.4918032786885246,W,9,5,,
41,42,2,2015-04-08,NYA,TOR,GS-6,,99,6.0,6,2,2,1,6,0,0,3.0,25,96,62,10,10,8,10,3,2,0,57,,,0,0,0,23,1,0,0,0,1,0,1.02,0.04,1.01,0.02%,0.95,1t start tie,6t 3 out d2,,NYY,1.1666666666666667,W,4,3,,
42,43,7,2015-04-13,NYA,BAL,GS-7,W(1-0),4,6.1,9,5,5,0,9,1,0,5.11,26,98,68,20,17,9,8,5,0,0,44,,,0,1,0,26,3,0,0,0,0,0,1.17,-0.27699999999999997,1.05,-0.15%,-1.43,1b start tie,7b 12- 1 out a2,,BAL,1.475409836065574,W,6,5,,
43,44,12,2015-04-19,NYA,TBR,GS-6,W(2-0),5,5.2,7,3,3,1,5,1,0,5.0,24,92,58,18,9,13,5,1,1,0,47,,,1,1,0,23,1,0,0,0,0,0,1.1,0.011000000000000001,1.11,0.01%,-0.3,1b start a 1,6b --- 2 out a2,,TBR,1.5384615384615383,W,5,3,,
44,45,17,2015-04-24,NYA,NYM,GS-8,W(3-0),4,7.2,5,1,1,0,7,0,0,3.86,28,100,78,29,8,11,10,5,2,0,72,,,0,0,0,27,3,0,0,0,1,0,0.43,0.20199999999999999,0.45,0.13%,2.61,1t start tie,8t -2- 2 out a5,,NYY,0.6944444444444444,W,6,1,,
45,46,22,2015-04-29,NYA,TBR,GS-6,,4,5.2,6,2,2,0,5,0,1,3.73,24,93,63,14,11,12,6,3,0,0,54,,,0,0,0,22,1,1,0,1,0,0,0.99,0.01,1.38,0.01%,0.63,1t start tie,6t -2- 2 out d1,,NYY,1.1538461538461535,L,2,3,,
46,47,27,2015-05-05,NYA,TOR,GS-8,W(4-0),5,8.0,5,0,0,1,6,0,0,2.97,29,101,70,20,8,11,11,4,2,0,77,,,0,0,0,28,3,0,0,1,0,0,0.63,0.27399999999999997,0.86,0.23%,4.01,1b start a 2,8b 3 out a6,,TOR,0.75,W,6,3,,
47,48,32,2015-05-10,NYA,BAL,GS-7,W(5-0),4,7.0,6,1,1,0,16,1,0,2.72,27,111,81,21,20,5,6,4,1,0,77,,,0,0,0,27,2,0,0,0,0,0,0.75,0.18899999999999997,1.07,0.16%,2.44,1t start tie,7t 3 out a4,,NYY,0.8571428571428571,W,6,2,,
48,49,37,2015-05-15,NYA,KCR,GS-6,L(5-1),4,5.1,10,5,5,0,1,0,0,3.31,27,104,74,12,11,13,13,9,1,0,29,,,0,0,0,26,3,2,0,0,1,1,0.94,-0.15,1.18,-0.11%,-1.49,1b start tie,6b 1-- 1 out d3,,KCR,1.9607843137254903,L,1,12,,
49,50,42,2015-05-22,NYA,TEX,GS-6,L(5-2),6,6.0,8,7,4,1,4,2,0,3.59,27,95,67,17,9,13,9,3,1,0,37,,,1,1,0,25,0,0,0,1,0,2,0.63,-0.306,0.77,-0.23%,-4.05,1t start tie,6t 3 out d3,,NYY,1.5,L,9,10,,
50,51,47,2015-05-27,NYA,KCR,GS-7,W(6-2),4,6.2,6,1,1,1,8,1,0,3.36,27,106,72,21,12,7,11,5,1,0,65,,,0,0,0,26,1,0,0,0,0,0,0.92,0.21899999999999997,1.14,0.16%,2.34,1t start tie,7t --- 2 out a3,,NYY,1.1290322580645158,W,4,2,,
51,52,52,2015-06-01,NYA,SEA,GS-7,W(7-2),4,6.0,7,2,2,2,9,0,0,3.33,25,97,64,19,12,10,4,1,0,0,57,,,0,1,0,23,1,1,0,1,0,0,0.63,0.149,0.79,0.11%,-0.2,1b start tie,7b 12- 0 out a5,,SEA,1.5,W,7,2,,
52,53,60,2015-06-12,NYA,BAL,GS-5,L(7-3),10,4.1,9,6,5,2,2,1,0,3.74,25,80,50,12,9,8,13,8,1,0,23,,,0,0,0,23,1,0,0,0,0,1,0.93,-0.42,1.53,-0.41%,-4.7,1b start tie,5b 1-3 1 out d3,,BAL,2.6829268292682933,L,3,11,,
53,54,65,2015-06-17,NYA,MIA,GS-7,W(8-3),4,6.2,1,1,1,2,9,1,0,3.54,23,100,63,22,13,6,6,2,3,0,75,,,0,0,0,21,0,0,0,0,0,0,0.94,0.301,1.24,0.24%,2.34,1t start tie,7t --- 2 out a1,,NYY,0.4838709677419354,W,2,1,,
54,55,70,2015-06-22,NYA,PHI,GS-4,L(8-4),4,3.1,11,8,8,1,0,1,0,4.25,21,76,52,11,5,9,11,5,0,0,5,,,1,0,0,20,1,0,0,1,0,0,1.14,-0.519,1.6,-0.44%,-6.55,1t start tie,4t 1-- 1 out d6,,NYY,3.870967741935484,L,8,11,,
55,56,76,2015-06-28,NYA,HOU,CG(8),L(8-5),5,8.0,7,3,2,0,8,0,0,4.08,28,107,72,18,19,8,11,3,2,1,66,,,0,2,0,26,3,1,0,1,1,0,1.07,-0.018000000000000002,1.55,-0.02%,0.78,1b start tie,8b 3 out d2,,HOU,0.875,L,1,3,,
