Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
19,35,2019-05-07,LAA,DET,6-7,H(1),1,1.2,0,0,0,0,2,0,0,2.35,5,26,16,5,6,0,3,1,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.30,0.173,.99,0.08%,1.14,7.75,11.00,6b 1-- 1 out a2,7b 3 out a2,,DET,0.0,W,5,2
20,37,2019-05-09,LAA,DET,GS-1,,1,1.0,2,0,0,0,0,0,0,2.20,5,14,9,3,1,2,3,1,0,0,49,,,0,0,0,5,1,0,0,0,0,0,.94,0.052,.72,0.02%,0.56,1.05,3.00,1b start a 2,1b 3 out a2,,DET,2.0,W,13,0
21,39,2019-05-11,LAA,BAL,5-6,W(1-1),1,1.2,3,0,0,0,1,0,0,2.00,8,31,22,5,4,3,4,1,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.06,0.096,.93,0.05%,0.75,7.95,20.00,5b --- 0 out a1,6b -2- 2 out a4,,BAL,2.5,W,7,2
22,43,2019-05-15,LAA,MIN,5-6,,3,1.0,2,2,2,1,0,1,0,2.84,6,26,14,4,2,1,4,1,1,0,,2,1,0,0,0,4,0,0,0,0,1,0,.29,-0.069,.24,-0.04%,-1.78,-3.55,-3.00,5b 1-3 1 out d4,6b 1-- 1 out d5,,MIN,3.0,L,7,8
23,46,2019-05-19,LAA,KCR,6-7,,3,1.1,0,0,0,0,1,0,0,2.66,4,23,15,3,5,0,3,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.34,0.036,.28,0.02%,0.79,5.00,7.00,6t 1-- 2 out d3,7t 3 out d3,,LAA,0.0,L,1,5
24,48,2019-05-21,LAA,MIN,7-7,L(1-2),1,1.0,4,4,4,0,0,0,1,4.22,8,35,24,6,1,3,4,1,2,0,,0,0,1,0,0,7,1,0,0,0,0,0,1.46,-0.423,1.03,-0.18%,-3.46,-8.75,-9.00,7t --- 0 out tie,7t 3 out d4,,LAA,4.0,L,3,8
25,77,2019-06-21,LAA,STL,7-GF(8),,30,2.0,3,3,3,2,2,0,0,5.01,11,40,24,8,3,2,5,2,0,0,,0,0,2,0,0,9,0,0,0,0,0,0,.66,-0.172,.45,-0.07%,-1.96,-0.50,3.00,7b --- 0 out d1,8b end d 4,,STL,2.5,L,1,5
26,82,2019-06-27,LAA,OAK,8-GF,,5,2.0,2,1,1,0,0,0,0,4.97,8,27,18,3,4,3,5,3,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.16,0.011,.12,0.01%,0.08,1.30,3.00,8t --- 0 out a6,9t end a 5,,LAA,1.0,W,8,3
27,83,2019-06-28,LAA,OAK,7-7,,0,1.0,2,2,2,0,1,1,0,5.47,5,21,13,4,5,1,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.21,-0.041,.18,-0.02%,-1.46,-0.95,0.00,7t --- 0 out d4,7t 3 out d6,,LAA,2.0,L,2,7
28,97,2019-07-17,LAA,HOU,5-8,,18,2.2,3,3,3,1,0,1,0,5.90,12,46,27,4,3,4,7,3,2,0,,2,2,0,0,0,11,1,0,0,0,0,0,.04,-0.039,.03,-0.02%,-3.48,-2.40,-1.00,5t 12- 2 out d6,8t 1-- 1 out d10,,LAA,1.8181818181818181,L,2,11
29,107,2019-07-28,LAA,BAL,6-8,,10,2.1,2,0,0,1,1,0,0,5.46,10,41,26,5,3,1,7,2,1,0,,0,0,1,0,0,9,0,0,0,0,0,0,1.62,0.131,.53,0.03%,1.07,5.45,10.00,6t --- 0 out d2,8t 1-- 1 out tie,,LAA,1.4285714285714286,W,5,4
30,113,2019-08-04,LAA,CLE,4-5,,6,0.1,1,1,1,0,0,0,0,5.68,2,5,3,0,0,1,1,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,1.07,0.009,.18,0.00%,0.08,-1.85,-2.00,4b 12- 2 out d2,5b 1-- 0 out d2,,CLE,10.0,L,2,6
31,129,2019-08-20,LAA,TEX,6-8,,15,2.1,1,0,0,1,0,0,1,5.29,8,28,18,9,2,4,2,1,0,0,,0,0,0,1,0,6,0,0,0,1,0,0,.52,0.081,.01,0.00%,1.36,3.45,7.00,6b --- 2 out d2,8b 3 out d1,2,TEX,0.9523809523809523,L,2,3
32,138,2019-09-01,LAA,BOS,7-8,,11,1.1,1,0,0,0,1,0,0,5.09,4,14,11,4,1,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.63,0.052,.00,0.00%,0.79,4.40,7.00,7t --- 0 out d2,8t --- 1 out d2,,LAA,0.9090909090909091,L,3,4
33,141,2019-09-05,LAA,OAK,GS-1,,3,1.0,1,1,1,0,1,0,1,5.20,5,24,13,3,2,2,1,1,0,0,48,,,1,0,0,4,0,0,0,0,0,0,1.15,-0.044,.00,0.00%,-0.48,1.05,3.00,1b start a 2,1b 3 out a1,,OAK,1.0,L,6,10
34,145,2019-09-09,LAA,CLE,4-6,,3,2.0,2,1,1,1,1,0,0,5.17,8,34,21,4,3,2,4,1,2,0,,1,0,0,1,1,7,0,0,0,0,0,0,.76,0.071,.00,0.00%,0.93,2.70,6.00,4t 1-- 1 out d2,6t -2- 1 out d2,,LAA,1.5,L,2,6
35,148,2019-09-13,LAA,TBR,4-6,,3,2.2,1,1,1,0,2,1,0,5.05,9,32,22,8,5,3,4,1,2,0,,2,1,0,0,0,9,0,0,0,0,0,0,.57,-0.033,.00,0.00%,0.04,7.40,11.00,4t 12- 1 out d2,6t 3 out d4,,LAA,0.45454545454545453,L,4,11
36,152,2019-09-18,LAA,NYY,5-7,W(2-2),4,3.0,0,0,0,0,5,0,0,4.70,9,37,28,9,9,3,1,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.16,0.271,.00,0.00%,1.62,20.75,36.00,5b --- 0 out tie,7b 3 out a1,,NYY,0.0,W,3,2
37,155,2019-09-21,LAA,HOU,5-6,W(3-2),2,2.0,0,0,0,0,3,0,0,4.50,6,32,19,7,4,1,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.84,0.134,.00,0.00%,1.14,14.50,27.00,5b --- 0 out a2,6b 3 out a3,,HOU,0.0,W,8,4
38,158,2019-09-25,LAA,OAK,6-6,,3,0.1,0,0,0,0,0,0,0,4.47,1,9,6,1,1,0,1,0,0,0,,2,0,1,0,0,1,0,0,0,0,0,0,2.43,0.085,.00,0.00%,0.60,0.75,1.00,6t 1-3 1 out tie,6t -23 2 out tie,,LAA,0.0,L,2,3
39,159,2019-09-26,LAA,HOU,8-9,,0,1.2,0,0,0,0,0,0,0,4.31,4,19,12,5,1,2,2,1,0,0,,3,0,0,0,0,4,0,0,0,1,0,0,2.57,0.433,.00,0.00%,2.16,3.75,5.00,8t 123 1 out tie,9t 3 out tie,,LAA,0.0,W,4,3
40,161,2019-09-28,LAA,HOU,6-6,BL(3-3),1,1.0,1,3,3,1,2,1,1,4.78,6,25,14,6,4,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.76,-0.385,.00,0.00%,-2.46,-1.55,0.00,6t --- 0 out a1,6t 3 out d2,,LAA,2.0,L,3,6
