Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
20,64,2013-06-13,CHC,CIN,13-GF(14),W(1-0),1,2.0,1,0,0,0,4,0,0,5.63,8,45,33,6,5,4,0,0,0,0,,0,0,1,0,0,8,0,0,0,0,0,1,2.88,0.255,.30,0.02%,0.90,13t --- 0 out tie,14t end tie,,CHC,0.5,W,6,5,,
21,71,2013-06-20,CHC,STL,6-6,,6,0.2,3,1,1,0,0,0,0,5.84,5,20,12,2,0,1,4,2,2,0,,2,2,0,0,0,5,0,0,0,0,0,0,.83,-0.097,.09,-0.01%,-2.15,6b 12- 1 out d2,6b 3 out d5,,STL,15.0,L,1,6,,
22,75,2013-06-25,CHC,MIL,5-6,,4,1.1,2,2,2,0,1,1,0,6.23,6,12,11,3,1,3,2,0,1,0,,1,0,0,0,0,6,1,0,0,0,0,0,.22,-0.044,.02,0.00%,-1.33,5b 1-- 2 out d3,6b 3 out d5,,MIL,1.8181818181818181,L,3,9,,
23,80,2013-06-30,CHC,SEA,8-8,H(2),4,0.2,0,0,0,1,0,0,0,6.08,3,11,5,3,0,1,1,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,4.24,0.141,.53,0.01%,0.48,8b 1-- 1 out a1,8b 3 out a1,,SEA,5.0,W,7,6,,
24,84,2013-07-05,CHC,PIT,8-8,,4,1.0,3,1,1,1,0,0,0,6.18,7,21,13,3,3,4,2,2,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,.24,-0.025,.03,0.00%,-0.55,8t --- 0 out d3,8t 3 out d4,,CHC,4.0,L,2,6,,
25,86,2013-07-07,CHC,PIT,5-6,,1,1.2,3,1,1,2,2,0,0,6.14,10,36,19,6,2,5,1,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.77,-0.079,.20,-0.01%,-0.51,5t --- 0 out a1,6t 12- 2 out tie,,CHC,4.166666666666667,W,4,3,,
26,95,2013-07-20,CHC,COL,7-7,,12,1.0,0,0,0,0,2,0,0,5.93,3,12,9,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,.01,0.00%,0.52,7b --- 0 out d4,7b 3 out d4,,COL,0.0,L,3,9,,
27,98,2013-07-23,CHC,ARI,7-7,,2,0.2,3,3,3,2,0,0,0,6.68,7,30,14,4,1,1,4,1,0,0,,0,0,0,0,0,5,1,0,1,0,0,0,.33,-0.046,.03,0.00%,-3.02,7b --- 0 out d3,7b 1-3 2 out d6,,ARI,25.0,L,4,10,,
28,99,2013-07-24,CHC,ARI,11-GF(12),W(2-0),0,2.0,1,0,0,1,1,0,0,6.27,8,25,16,3,3,2,4,1,2,0,,0,0,0,0,0,7,1,0,0,0,0,0,2.83,0.311,.21,0.01%,0.90,11b --- 0 out tie,12b end a 1,,ARI,1.0,W,7,6,,
29,108,2013-08-01,CHC,LAD,8-GF,,7,2.0,1,1,1,0,1,1,0,6.17,7,26,17,4,4,3,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.33,-0.047,.03,0.00%,-0.10,8t --- 0 out d2,9t end d 2,,CHC,0.5,L,4,6,,
30,110,2013-08-03,CHC,LAD,7-7,,1,1.0,1,0,0,0,0,0,0,6.00,3,8,4,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.41,0.017,.03,0.00%,0.45,7t --- 0 out d3,7t 3 out d3,,CHC,1.0,L,0,3,,
31,112,2013-08-06,CHC,PHI,6-7,,2,2.0,2,1,1,0,1,0,0,5.92,8,27,16,5,2,3,4,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.41,-0.040,.01,0.00%,-0.11,6b --- 0 out d2,7b 3 out d3,,PHI,1.0,L,8,9,,
32,114,2013-08-08,CHC,PHI,6-7,,1,1.1,0,0,0,1,1,0,0,5.72,5,30,17,3,3,2,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.85,6b 12- 2 out d9,7b 3 out d9,,PHI,0.9090909090909091,L,1,12,,
33,117,2013-08-11,CHC,STL,7-7,,2,0.2,2,1,1,1,0,0,0,5.85,5,16,10,2,2,2,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,1,0,1.14,-0.095,.05,0.00%,-0.77,7b --- 1 out d1,7b 3 out d2,,STL,15.0,L,4,8,,
34,122,2013-08-17,CHC,STL,8-GF,,5,2.0,1,0,0,1,3,0,0,5.57,8,34,23,6,4,1,3,0,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.10,0.009,.00,0.00%,0.90,8t --- 0 out d4,9t end d 4,,CHC,1.0,L,0,4,,
35,126,2013-08-21,CHC,WSN,8-GF,,3,2.0,3,2,2,1,2,0,0,5.73,10,37,23,7,5,5,2,2,0,0,,0,0,0,0,0,9,0,1,0,0,0,0,.16,-0.043,.00,0.00%,-1.10,8t --- 0 out d3,9t end d 5,,CHC,2.0,L,6,11,,
36,130,2013-08-25,CHC,SDP,14-GF(15),L(2-1),3,1.2,4,1,1,1,2,0,0,5.72,10,26,18,3,3,3,4,4,0,0,,0,0,0,0,0,9,0,0,1,0,0,0,3.24,-0.267,.00,0.00%,-0.58,14b --- 0 out tie,15b end d 1,,SDP,4.166666666666667,L,2,3,,
37,138,2013-09-03,CHC,MIA,7-7,,8,1.0,0,0,0,1,1,0,0,5.59,3,15,6,4,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.21,0.050,.00,0.00%,0.45,7t --- 0 out d1,7t 3 out d1,,CHC,1.0,L,2,6,,
38,142,2013-09-08,CHC,MIL,9-GF,,4,1.0,0,0,0,0,1,0,0,5.48,3,8,6,1,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.014,.00,0.00%,0.45,9t --- 0 out d2,9t end d 2,,CHC,0.0,L,1,3,,
39,150,2013-09-16,CHC,MIL,8-GF(8),,7,1.0,0,0,0,0,1,0,0,5.36,3,12,8,0,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.46,8b --- 0 out d5,8b end d 5,,MIL,0.0,L,1,6,,
40,152,2013-09-18,CHC,MIL,6-6,,1,1.0,0,0,0,0,0,0,0,5.26,3,15,9,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.46,6b --- 0 out d7,6b 3 out d7,,MIL,0.0,L,0,7,,
41,154,2013-09-20,CHC,ATL,6-6,,1,1.0,0,0,0,0,1,0,0,5.15,3,13,8,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.021,.00,0.00%,0.45,6t --- 0 out d3,6t 3 out d3,,CHC,0.0,L,5,9,,
42,156,2013-09-22,CHC,ATL,9-GF,,1,1.0,1,0,0,0,2,0,0,5.05,4,12,10,1,5,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.11,0.006,.00,0.00%,0.45,9t --- 0 out d3,9t end d 3,,CHC,1.0,L,2,5,,
43,157,2013-09-23,CHC,PIT,8-8,,0,1.0,0,0,0,0,0,0,0,4.96,3,13,9,2,1,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.62,0.046,.00,0.00%,0.45,8t --- 0 out d1,8t 3 out d1,,CHC,0.0,L,1,2,,
44,160,2013-09-27,CHC,STL,7-7,,3,1.0,0,0,0,0,0,0,0,4.86,3,21,12,1,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.45,7b --- 0 out d7,7b 3 out d7,,STL,0.0,L,0,7,,
45,162,2013-09-29,CHC,STL,7-7,,1,1.0,0,0,0,1,2,0,0,4.77,4,22,12,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.14,0.010,.00,0.00%,0.45,7b --- 0 out d3,7b 3 out d3,,STL,1.0,L,0,4,,
46,2,2014-04-02,CHC,PIT,9-10,,99,2.0,0,0,0,1,2,0,0,0.00,7,25,17,7,3,1,3,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.00,0.249,2.13,0.16%,0.88,9b --- 0 out tie,10b 3 out tie,,PIT,0.5,L,3,4,,
47,4,2014-04-04,CHC,PHI,7-7,,1,0.0,0,0,0,1,0,0,0,0.00,1,5,1,1,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,1.27,-0.035,1.16,-0.02%,-0.38,7t 1-- 1 out d1,7t 12- 1 out d1,,CHC,inf,L,2,7,,
48,6,2014-04-06,CHC,PHI,7-8,,1,2.0,2,0,0,0,2,0,0,0.00,8,28,20,7,2,5,1,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.09,0.006,.07,0.00%,0.90,7t --- 0 out a7,8t 3 out a7,,CHC,1.0,W,8,3,,
49,8,2014-04-09,CHC,PIT,8-8,,2,1.0,1,0,0,0,2,0,0,0.00,4,19,12,3,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.38,0.020,.33,0.01%,0.45,8t --- 0 out a4,8t 3 out a4,,CHC,1.0,W,7,5,,
50,9,2014-04-10,CHC,PIT,9-GF,,0,1.0,0,0,0,0,2,0,0,0.00,3,8,7,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.033,.45,0.02%,0.45,9t --- 0 out d1,9t end d 1,,CHC,0.0,L,4,5,,
51,10,2014-04-11,CHC,STL,11-GF(11),S(1),0,1.0,0,0,0,1,1,0,0,0.00,4,18,10,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.49,0.034,.43,0.02%,0.44,11b --- 0 out a3,11b end a 3,,STL,1.0,W,6,3,,
52,14,2014-04-16,CHC,NYY,6-7,,4,0.2,1,0,0,1,0,0,0,0.00,4,20,12,2,2,1,2,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.40,-0.018,.27,-0.01%,-0.47,6b 1-- 2 out d2,7b 1-3 1 out d2,2,NYY,10.0,L,0,2,,
53,16,2014-04-19,CHC,CIN,7-8,,2,2.0,3,2,1,0,1,0,0,0.93,9,35,24,8,2,4,4,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,1,1.04,-0.033,.65,-0.01%,-1.10,7t --- 0 out a4,8t 3 out a4,,CHC,1.5,W,8,4,,
54,18,2014-04-21,CHC,ARI,8-8,,1,1.0,1,0,0,0,1,0,0,0.84,4,14,10,0,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.27,0.020,.15,0.01%,0.45,8t --- 0 out a4,8t 3 out a4,,CHC,1.0,W,5,1,,
55,20,2014-04-23,CHC,ARI,8-8,H(1),1,0.2,0,0,0,0,0,0,0,0.79,2,6,5,1,0,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,1.85,0.086,1.17,0.03%,0.86,8t 12- 1 out a3,8t 3 out a3,,CHC,0.0,L,5,7,,
56,24,2014-04-27,CHC,MIL,9-GF,,3,1.0,0,0,0,0,3,0,0,0.73,3,18,10,2,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.015,.11,0.01%,0.46,9b --- 0 out a4,9b end a 4,,MIL,0.0,W,4,0,,
57,26,2014-04-30,CHC,CIN,9-GF,,2,1.0,1,0,0,0,1,0,0,0.68,4,18,12,2,2,0,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.08,0.006,.04,0.00%,0.44,9b --- 0 out a5,9b end a 5,,CIN,1.0,W,9,4,,
58,27,2014-05-02,CHC,STL,9-GF,S(2),1,1.0,0,0,0,0,0,0,0,0.63,3,12,7,2,0,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.05,0.151,1.11,0.05%,0.45,9t --- 0 out a1,9t end a 1,,CHC,0.0,W,6,5,,
59,28,2014-05-03,CHC,STL,9-GF,S(3),0,1.0,2,0,0,0,1,0,0,0.59,4,8,7,1,1,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,1.35,0.029,.81,0.01%,0.45,9t --- 0 out a3,9t end a 3,,CHC,2.0,W,3,0,,
60,29,2014-05-04,CHC,STL,9-9,L(0-1),0,0.2,2,2,2,2,2,0,0,1.69,6,28,17,3,2,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.79,-0.435,2.46,-0.17%,-2.02,9t --- 0 out tie,9t 1-3 2 out d2,,CHC,20.0,L,4,5,,
61,34,2014-05-09,CHC,ATL,8-9,,4,1.1,0,0,0,0,3,0,0,1.56,4,24,15,3,6,1,0,0,0,0,,1,0,1,0,0,4,0,0,0,0,0,0,1.26,0.136,.59,0.04%,0.64,8b 1-- 2 out d1,9b 3 out tie,,ATL,0.0,L,2,3,,
62,37,2014-05-12,CHC,STL,9-GF,,2,1.0,0,0,0,0,0,0,0,1.47,3,14,10,2,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.44,9b --- 0 out a12,9b end a12,,STL,0.0,W,17,5,,
63,41,2014-05-17,CHC,MIL,9-GF,S(4),4,1.0,0,0,0,0,1,0,0,1.40,3,8,5,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.39,0.029,.10,0.01%,0.45,9t --- 0 out a3,9t end a 3,,CHC,0.0,W,3,0,,
64,42,2014-05-18,CHC,MIL,9-GF,S(5),0,1.0,1,0,0,0,2,0,0,1.33,4,18,13,2,5,0,2,0,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.81,0.066,.58,0.01%,0.45,9t --- 0 out a2,9t end a 2,,CHC,1.0,W,4,2,,
65,43,2014-05-20,CHC,NYY,9-GF,,1,0.1,0,0,0,1,0,0,0,1.31,2,11,7,2,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.33,0.004,.10,0.00%,0.41,9t 12- 2 out a5,9t end a 5,,CHC,10.0,W,6,1,,
66,44,2014-05-21,CHC,NYY,9-9,BS(1),0,1.0,2,2,1,1,1,0,0,1.66,6,22,15,4,3,2,2,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,3.60,-0.307,1.29,-0.07%,-1.55,9t --- 0 out a2,9t 3 out tie,,CHC,3.0,L,2,4,,
67,47,2014-05-24,CHC,SDP,9-GF,S(6),2,1.0,0,0,0,0,0,0,0,1.59,3,4,4,0,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.34,0.167,.71,0.03%,0.41,9b --- 0 out a1,9b end a 1,,SDP,0.0,W,3,2,,
68,55,2014-06-03,CHC,NYM,9-GF,W(1-1),9,1.0,1,0,0,0,0,0,0,1.52,3,13,7,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.31,0.127,.54,0.02%,0.45,9t --- 0 out tie,9t end tie,,CHC,1.0,W,2,1,,
69,56,2014-06-04,CHC,NYM,9-GF,S(7),0,1.0,1,0,0,0,2,0,0,1.46,4,15,12,3,2,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.21,0.151,.61,0.03%,0.45,9t --- 0 out a1,9t end a 1,,CHC,1.0,W,5,4,,
70,58,2014-06-06,CHC,MIA,9-9,BS(2),1,1.0,4,3,3,0,2,0,0,2.45,7,32,22,3,4,1,4,4,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,2.44,-0.344,.93,-0.08%,-2.55,9t --- 0 out a3,9t 3 out tie,,CHC,4.0,W,5,3,,
71,68,2014-06-16,CHC,MIA,10-10,,9,1.0,1,0,0,1,3,0,0,2.36,5,26,17,2,7,0,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.38,0.126,1.06,0.02%,0.44,10b --- 0 out tie,10b 3 out tie,,MIA,2.0,W,5,4,,
72,71,2014-06-20,CHC,PIT,9-GF,S(8),3,1.0,0,0,0,0,2,0,0,2.28,3,8,7,3,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.39,0.029,.14,0.01%,0.45,9t --- 0 out a3,9t end a 3,,CHC,0.0,W,6,3,,
73,74,2014-06-23,CHC,CIN,9-9,L(1-2),2,0.2,4,5,5,1,0,1,0,3.81,7,32,20,2,3,2,4,1,0,0,,0,0,2,0,0,6,0,0,0,0,0,0,1.78,-0.494,.48,-0.08%,-4.64,9t --- 0 out tie,9t --- 2 out d5,,CHC,25.0,L,1,6,,
74,77,2014-06-26,CHC,WSN,9-GF,S(9),2,1.0,0,0,0,0,1,0,0,3.68,3,14,11,2,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.89,0.066,.16,0.01%,0.45,9t --- 0 out a2,9t end a 2,,CHC,0.0,W,5,3,,
75,80,2014-06-28,CHC,WSN,9-GF,,1,1.0,1,1,1,2,1,0,0,3.86,6,22,10,3,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,-0.006,.01,0.00%,-0.55,9t --- 0 out d4,9t end d 5,2,CHC,3.0,L,2,7,,
76,81,2014-06-30,CHC,BOS,9-GF,S(10),1,1.0,1,0,0,0,0,0,0,3.73,3,17,14,4,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.91,0.087,.26,0.01%,0.48,9b --- 0 out a2,9b end a 2,,BOS,1.0,W,2,0,,
77,82,2014-07-01,CHC,BOS,9-GF,S(11),0,1.0,1,0,0,0,1,0,0,3.62,4,17,12,5,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.80,0.194,.48,0.02%,0.48,9b --- 0 out a1,9b end a 1,,BOS,1.0,W,2,1,,
78,89,2014-07-08,CHC,CIN,9-GF,L(1-3),6,0.0,3,1,1,0,0,0,0,3.90,3,10,7,0,1,0,3,2,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.60,-0.375,.40,-0.04%,-1.96,9b --- 0 out tie,9b end d 1,2,CIN,inf,L,5,6,,
79,91,2014-07-10,CHC,CIN,10-10,,1,1.0,0,0,0,1,1,0,0,3.78,4,19,11,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.23,0.126,.23,0.01%,0.44,10b --- 0 out tie,10b 3 out tie,,CIN,1.0,W,6,4,,
80,92,2014-07-11,CHC,ATL,9-GF,BW(2-3),0,1.0,2,1,1,0,1,0,0,3.93,5,12,8,2,2,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,3.50,-0.222,.41,-0.02%,-0.55,9t --- 0 out a1,9t end tie,,CHC,2.0,W,5,4,,
81,100,2014-07-24,CHC,SDP,9-GF,,12,1.0,0,1,0,0,1,0,0,3.82,4,12,11,2,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,1,1,.00,0.000,.00,0.00%,-0.55,9t --- 0 out d9,9t end d10,,CHC,0.0,L,3,13,,
