,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
18,19,39,2011-05-17,CLE,KCR,GS-6,W(2-2),5,5.1,5,2,2,2,5,0,0,5.03,23,97,60,10,9,10,6,1,0,0,53.0,,,1,0,0,21,1,1,0,0,0,0,0.74,0.133,1.06,0.12%,1.3,1b start a 3,6b -2- 1 out a5,,KCR,1.3725490196078431,W,7,3,,
19,20,44,2011-05-22,CLE,CIN,GS-7,W(3-2),4,6.0,6,4,4,1,3,2,0,5.16,25,99,66,14,9,8,13,8,1,0,46.0,,,0,1,1,24,4,0,0,0,0,1,0.52,-0.046,0.59,-0.03%,-1.79,1t start tie,7t -2- 0 out a4,,CLE,1.1666666666666667,W,12,4,,
20,21,49,2011-05-28,CLE,TBR,GS-6,W(4-2),5,6.0,7,2,2,0,4,1,0,4.91,25,94,62,20,7,11,10,1,2,0,54.0,,,0,0,0,25,1,0,0,0,0,0,1.18,0.153,1.52,0.12%,0.79,1b start a 2,6b 3 out a1,,TBR,1.1666666666666667,W,7,3,,
21,22,54,2011-06-02,CLE,TEX,GS-6,L(4-3),4,6.0,8,6,5,2,0,0,0,5.18,28,88,55,15,4,14,12,5,1,0,32.0,,,1,0,0,25,2,1,0,0,1,0,1.17,-0.45399999999999996,1.45,-0.34%,-3.18,1t start tie,6t 3 out d3,,CLE,1.6666666666666667,L,4,7,,
22,23,59,2011-06-07,CLE,MIN,GS-9,W(5-3),4,8.1,3,0,0,1,6,0,0,4.52,28,104,72,20,13,15,6,0,2,0,82.0,,,0,0,0,27,1,0,0,1,0,0,1.27,0.555,1.86,0.49%,3.74,1t start tie,9t 1-- 1 out a1,,CLE,0.4938271604938272,W,1,0,,
23,24,64,2011-06-13,CLE,NYY,GS-7,W(6-3),5,7.0,5,0,0,3,7,0,0,4.09,28,100,60,19,7,11,8,2,0,0,71.0,,,0,0,0,25,0,0,0,1,0,0,1.47,0.501,2.23,0.46%,3.72,1b start tie,7b 3 out a1,,NYY,1.1428571428571428,W,1,0,,
24,25,69,2011-06-18,CLE,PIT,GS-7,W(7-3),4,6.1,4,1,1,1,4,0,0,3.87,24,102,66,14,9,12,7,2,0,0,64.0,,,0,0,0,23,1,0,0,0,0,0,1.05,0.24100000000000002,1.58,0.22%,1.8,1t start tie,7t 1-- 1 out a2,,CLE,0.819672131147541,W,5,1,,
25,26,74,2011-06-24,CLE,SFG,CG(8),L(7-4),5,8.0,6,4,1,0,4,1,0,3.62,30,91,64,15,8,14,12,1,3,0,64.0,,,0,1,0,28,0,0,0,0,2,2,1.16,-0.27,1.71,-0.24%,-0.63,1b start a 2,8b 3 out d1,,SFG,0.75,L,3,4,,
26,27,79,2011-06-29,CLE,ARI,GS-7,W(8-4),4,7.0,4,2,2,0,7,2,2,3.54,27,106,69,20,9,8,10,3,3,0,68.0,,,1,0,0,25,1,0,0,0,0,0,0.85,0.213,1.23,0.19%,1.3,1b start a 1,7b 3 out a2,,ARI,0.5714285714285714,W,6,2,,
27,28,84,2011-07-05,CLE,NYY,GS-4,L(8-5),5,4.0,10,6,6,3,3,2,0,3.95,25,93,59,22,4,12,7,2,1,0,18.0,,,0,0,0,22,2,0,0,0,0,0,0.71,-0.348,1.15,-0.34%,-4.12,1t start tie,4t 3 out d6,,CLE,3.25,L,2,9,,
