Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
20,158,2015-09-30,BAL,TOR,9-GF,,6,1.0,0,0,0,2,1,0,0,1.95,5,21,11,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.001,.00,0.00%,0.50,9t --- 0 out a7,9t end a 7,2,BAL,2.0,W,8,1,,
21,159,2015-10-01,BAL,TOR,6-6,,0,1.0,0,0,0,0,3,0,0,1.88,3,17,10,4,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.42,0.032,.00,0.00%,0.50,6t --- 0 out a4,6t 3 out a4,,BAL,0.0,W,6,4,,
22,160,2015-10-03,BAL,NYY,7-8,,1,1.1,0,0,0,0,2,0,0,1.80,4,20,14,7,2,1,1,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.17,0.017,.00,0.00%,0.93,7t 12- 2 out a5,8t 3 out a7,1,BAL,0.0,W,9,2,,
23,1,2016-04-04,BAL,MIN,6-7,H(1),99,1.1,3,2,2,0,2,0,1,13.50,8,25,17,4,4,2,3,2,0,0,,0,0,0,0,0,7,2,0,0,0,0,0,1.37,-0.224,1.27,-0.13%,-1.39,6t --- 0 out a2,7t -23 1 out a1,,BAL,2.727272727272727,W,3,2,,
24,2,2016-04-06,BAL,MIN,6-6,H(2),1,0.2,2,1,1,0,1,1,0,13.50,4,13,10,2,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.02,-0.048,.99,-0.03%,-0.72,6t --- 0 out a3,6t 1-- 2 out a2,,BAL,10.0,W,4,2,,
25,5,2016-04-10,BAL,TBR,7-7,H(3),3,1.0,0,0,0,1,2,0,0,9.00,3,16,9,2,3,0,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,1.91,0.097,2.23,0.07%,0.52,7t --- 0 out a1,7t 3 out a1,,BAL,1.0,W,5,3,,
26,6,2016-04-11,BAL,BOS,6-7,,0,1.1,1,0,0,1,4,0,0,6.23,6,30,17,4,5,0,1,0,0,0,,1,0,1,0,0,5,1,0,1,0,0,0,1.67,0.127,2.10,0.10%,0.78,6b 1-- 2 out tie,7b 3 out tie,,BOS,1.8181818181818181,W,9,7,,
27,9,2016-04-14,BAL,TEX,6-6,,2,0.2,1,0,0,0,2,0,0,5.40,3,14,10,1,4,0,1,1,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.56,-0.015,.64,-0.01%,-0.03,6b --3 1 out d2,6b 3 out d3,,TEX,5.0,L,3,6,,
28,11,2016-04-16,BAL,TEX,7-7,,1,0.2,2,1,0,0,2,0,0,4.76,4,18,13,2,2,2,0,0,0,0,,2,2,0,0,0,4,0,0,0,0,0,0,.89,-0.104,1.03,-0.07%,-1.55,7b -23 1 out d1,7b 3 out d4,,TEX,10.0,L,4,8,,
29,12,2016-04-19,BAL,TOR,9-GF,,2,1.0,0,0,0,1,0,0,0,4.05,4,14,7,2,0,0,3,1,1,0,,0,0,1,0,0,3,0,0,0,0,0,0,.79,0.040,1.04,0.03%,0.52,9t --- 0 out d1,9t end d 1,,BAL,1.0,L,3,4,,
30,13,2016-04-20,BAL,TOR,10-GF(10),W(1-0),0,1.0,1,0,0,1,1,0,0,3.52,4,22,13,3,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.96,0.141,4.00,0.11%,0.52,10t --- 0 out tie,10t end tie,,BAL,2.0,W,4,3,,
31,16,2016-04-23,BAL,KCR,6-7,H(4),2,1.1,0,0,0,0,2,0,0,3.00,4,19,14,4,3,1,1,0,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,1.69,0.171,1.98,0.12%,2.00,6b 123 1 out a4,7b --- 2 out a4,,KCR,0.0,W,8,3,,
32,19,2016-04-26,BAL,TBR,7-7,,2,1.0,1,0,0,1,1,0,0,2.70,5,24,14,4,2,0,3,1,2,0,,0,0,0,0,0,4,1,0,1,0,0,0,.55,0.022,.71,0.02%,0.48,7b --- 0 out d2,7b 3 out d2,,TBR,2.0,L,1,3,,
33,21,2016-04-28,BAL,CHW,5-6,W(2-0),1,1.1,2,0,0,1,2,0,0,2.38,7,27,17,7,3,2,2,1,0,0,,2,0,2,0,0,6,0,0,0,0,0,0,1.37,0.092,1.61,0.06%,0.97,5t 12- 2 out a3,6t 3 out a3,,BAL,2.727272727272727,W,10,2,,
