Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
19,117,2018-08-09,SDP,MIL,6-7,,3,1.1,0,0,0,0,1,0,0,2.79,4,15,12,4,2,0,3,1,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,.47,0.048,.00,0.00%,0.93,5.00,7.00,6b 12- 2 out d2,7b 3 out d2,,MIL,0.0,W,8,4
20,120,2018-08-12,SDP,PHI,7-8,,2,1.1,1,2,2,2,2,0,0,3.48,7,35,22,10,3,2,1,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.17,0.008,.00,0.00%,0.04,1.20,4.00,7t --- 0 out a5,8t 12- 1 out a6,,SDP,2.727272727272727,W,9,3
21,123,2018-08-15,SDP,LAA,7-7,,2,1.0,0,0,0,0,1,0,0,3.32,3,14,9,6,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.68,0.050,.00,0.00%,0.45,4.25,6.00,7t --- 0 out d1,7t 3 out d1,,SDP,0.0,L,2,3
22,125,2018-08-17,SDP,ARI,7-8,,1,1.2,1,1,1,0,3,1,0,3.47,6,32,20,7,4,1,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.05,-0.002,.00,0.00%,-0.19,7.15,11.00,7t --- 0 out d5,8t --- 2 out d6,,SDP,0.8333333333333334,L,4,9
23,128,2018-08-21,SDP,COL,7-7,H(5),3,0.2,0,0,0,0,1,0,0,3.38,2,7,4,0,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.20,0.063,.00,0.00%,0.30,3.50,5.00,7b --- 1 out a1,7b 3 out a1,,COL,0.0,W,4,3
24,130,2018-08-23,SDP,COL,8-8,H(6),1,0.2,0,0,0,0,1,0,0,3.28,2,10,6,2,2,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.22,0.116,.00,0.00%,0.45,3.50,5.00,8b --- 0 out a1,8b --- 2 out a1,,COL,0.0,L,3,4
25,132,2018-08-25,SDP,LAD,11-11,,1,1.0,0,0,0,0,2,0,0,3.16,3,10,9,1,6,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.77,0.132,.00,0.00%,0.47,6.25,9.00,11b --- 0 out tie,11b 3 out tie,,LAD,0.0,L,4,5
26,135,2018-08-29,SDP,SEA,9-GF,,3,1.0,0,0,0,1,1,0,0,3.04,4,18,11,3,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.005,.00,0.00%,0.45,3.65,6.00,9t --- 0 out a5,9t end a 5,,SDP,1.0,W,8,3
27,136,2018-08-30,SDP,COL,10-10,,0,1.0,1,0,0,1,2,0,0,2.93,5,15,10,2,3,1,1,1,0,0,,0,0,1,0,0,4,0,0,1,0,0,0,3.34,0.127,.00,0.00%,0.45,5.05,9.00,10t --- 0 out tie,10t 3 out tie,,SDP,2.0,W,3,2
28,140,2018-09-03,SDP,ARI,6-7,H(7),3,1.2,1,0,0,0,1,0,0,2.76,6,26,16,2,3,3,2,0,2,0,,1,0,0,0,0,6,0,0,0,0,0,0,1.27,0.115,.00,0.00%,1.04,5.15,8.00,6b 1-- 1 out a3,7b 3 out a3,,ARI,0.8333333333333334,W,6,2
