Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
20,106,2012-08-03,OAK,TOR,12-12,,0,1.0,2,0,0,1,1,0,0,4.24,5,18,10,4,0,1,2,2,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,3.01,0.131,4.53,0.12%,0.47,12t --- 0 out tie,12t 3 out tie,,OAK,3.0,W,5,4,,
21,111,2012-08-08,OAK,LAA,8-8,H(5),4,1.0,2,0,0,0,3,0,0,4.07,5,24,17,4,4,2,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.82,0.039,3.05,0.04%,0.47,8t --- 0 out a3,8t 3 out a3,,OAK,2.0,W,9,8,,
22,112,2012-08-10,OAK,CHW,7-8,,1,2.0,1,0,0,0,3,0,0,3.76,7,32,22,5,3,3,1,0,0,0,,0,0,1,0,0,7,0,0,0,0,0,0,1.58,0.198,2.38,0.18%,1.03,7b --- 0 out tie,8b 3 out tie,,CHW,0.5,L,3,4,,
23,116,2012-08-15,OAK,KCR,7-7,,4,0.1,1,0,0,0,0,0,0,3.71,2,16,10,1,0,0,2,1,1,0,,1,1,0,0,0,2,1,0,0,0,0,0,1.68,-0.183,2.22,-0.15%,-0.68,7b -2- 2 out tie,7b 3 out d1,,KCR,10.0,L,2,3,,
24,117,2012-08-16,OAK,KCR,7-7,H(6),0,0.1,2,0,0,0,1,0,0,3.67,3,14,11,2,2,0,2,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,2.86,-0.046,3.60,-0.03%,-0.25,7b 1-- 1 out a2,7b 123 2 out a2,,KCR,20.0,W,3,0,,
25,122,2012-08-21,OAK,MIN,8-8,H(7),4,1.0,0,0,0,0,2,0,0,3.54,3,9,7,2,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.52,0.039,.71,0.03%,0.47,8t --- 0 out a3,8t 3 out a3,,OAK,0.0,W,4,1,,
26,125,2012-08-24,OAK,TBR,8-8,H(8),2,0.1,0,0,0,0,1,0,0,3.49,1,7,5,0,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.45,0.040,2.33,0.04%,0.22,8b 1-- 2 out a2,8b 3 out a2,,TBR,0.0,W,5,4,,
27,126,2012-08-25,OAK,TBR,8-8,H(9),0,1.0,0,0,0,0,2,0,0,3.38,3,12,9,4,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.12,0.083,1.93,0.09%,0.47,8b --- 0 out a2,8b 3 out a2,,TBR,0.0,W,4,2,,
28,129,2012-08-29,OAK,CLE,7-8,H(10),3,1.1,1,2,0,1,0,0,0,3.23,7,30,17,3,1,2,4,1,0,0,,2,0,0,0,0,5,0,0,0,0,1,1,1.72,0.019,2.72,0.02%,0.03,7b 12- 0 out a4,8b 12- 1 out a3,,CLE,1.8181818181818181,W,8,4,,
29,133,2012-09-02,OAK,BOS,8-8,,3,1.0,0,0,0,0,1,0,0,3.13,3,14,11,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.14,0.011,.24,0.01%,0.47,8t --- 0 out a5,8t 3 out a5,,OAK,0.0,W,6,2,,
30,135,2012-09-04,OAK,LAA,8-8,,1,0.2,3,2,2,0,1,0,0,3.62,5,20,16,3,2,1,3,3,0,0,,0,0,1,0,0,5,1,0,0,0,0,0,1.02,-0.173,1.96,-0.20%,-1.75,8t --- 0 out d1,8t 1-- 2 out d3,,OAK,15.0,L,1,6,,
31,137,2012-09-07,OAK,SEA,9-GF,,2,1.0,0,0,0,0,2,0,0,3.51,3,8,8,2,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,.14,0.01%,0.46,9b --- 0 out a5,9b end a 5,,SEA,0.0,W,6,1,,
32,138,2012-09-08,OAK,SEA,7-8,,0,1.1,1,0,0,0,1,0,0,3.38,5,20,15,2,4,1,3,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.35,0.036,.60,0.04%,0.67,7b 1-- 2 out a4,8b 3 out a4,,SEA,0.9090909090909091,W,6,1,,
33,141,2012-09-11,OAK,LAA,7-8,H(11),2,1.1,0,0,0,0,0,0,0,3.25,5,11,9,0,0,4,1,0,1,0,,1,0,0,0,0,5,0,0,0,0,0,1,2.80,0.186,5.63,0.22%,0.68,7b 1-- 2 out a1,8b 3 out a1,,LAA,0.0,W,6,5,,
34,142,2012-09-12,OAK,LAA,9-9,,0,0.2,2,1,1,0,0,1,0,3.44,4,16,10,1,1,2,2,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.47,0.001,.78,0.00%,-0.84,9b --- 0 out a4,9b -2- 2 out a3,,LAA,10.0,W,4,1,,
35,145,2012-09-15,OAK,BAL,8-8,H(12),2,1.0,0,0,0,0,1,0,0,3.35,3,11,9,3,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.52,0.039,.80,0.04%,0.47,8t --- 0 out a3,8t 3 out a3,,OAK,0.0,W,5,2,,
36,149,2012-09-20,OAK,DET,8-8,H(13),4,1.0,0,0,0,0,2,0,0,3.26,3,14,10,2,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.19,0.092,1.92,0.09%,0.52,8b --- 0 out a2,8b 3 out a2,,DET,0.0,W,12,4,,
37,150,2012-09-21,OAK,NYY,9-GF(10),L(1-1),0,1.0,2,1,1,0,2,1,0,3.40,5,16,12,1,4,0,3,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.02,-0.219,2.70,-0.18%,-0.48,9b --- 0 out tie,10b end d 1,,NYY,2.0,L,1,2,,
38,152,2012-09-23,OAK,NYY,8-8,H(14),1,1.0,0,0,0,1,1,0,0,3.32,4,18,13,1,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.34,0.144,6.49,0.17%,0.52,8b --- 0 out a1,8b 3 out a1,,NYY,1.0,W,5,4,,
39,154,2012-09-25,OAK,TEX,7-8,,1,1.1,1,0,0,1,0,0,0,3.21,5,22,13,4,1,0,4,0,3,0,,2,0,0,1,1,4,0,0,0,0,0,0,2.55,0.187,5.01,0.22%,1.00,7b 12- 2 out tie,8b 3 out tie,,TEX,1.8181818181818181,W,3,2,,
40,157,2012-09-28,OAK,SEA,6-7,H(15),2,1.1,1,1,1,0,0,1,0,3.32,5,19,14,2,0,2,3,0,1,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.36,0.072,2.83,0.09%,0.22,6t 123 2 out a3,7t 3 out a2,,OAK,0.9090909090909091,W,8,2,,
41,159,2012-09-30,OAK,SEA,8-8,W(2-1),1,1.0,0,0,0,0,1,0,0,3.25,3,9,7,2,3,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.38,0.103,2.93,0.13%,0.47,8t --- 0 out tie,8t 3 out tie,,OAK,0.0,W,5,2,,
42,160,2012-10-01,OAK,TEX,7-7,H(16),0,1.0,0,0,0,0,1,0,0,3.18,3,16,12,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.25,0.093,4.80,0.22%,0.47,7t --- 0 out a1,7t 3 out a1,,OAK,0.0,W,4,3,,
43,161,2012-10-02,OAK,TEX,7-7,H(17),0,1.0,1,0,0,0,0,0,0,3.11,3,9,7,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.32,0.067,8.58,0.26%,0.47,7t --- 0 out a2,7t 3 out a2,,OAK,1.0,W,3,1,,
44,162,2012-10-03,OAK,TEX,8-8,H(18),0,1.0,0,0,0,1,2,0,0,3.04,4,14,8,2,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.53,0.039,6.32,0.28%,0.47,8t --- 0 out a3,8t 3 out a3,,OAK,1.0,W,12,5,,
45,3,2013-04-03,OAK,SEA,8-8,,99,1.0,1,0,0,0,1,0,0,0.00,4,14,11,3,2,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.40,0.021,.37,0.01%,0.47,8t --- 0 out a4,8t 3 out a4,,OAK,1.0,W,6,2,,
