,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
17,18,149,2018-09-16,CLE,DET,GS-6,L(10-4),4,6.0,9,5,5,0,4,1,0,4.5,27,93,69,19,8,11,12,6,1,0,38.0,,,2,0,0,26,0,0,0,0,1,0,1.13,-0.29600000000000004,0.12,-0.02%,-1.84,6.1,15.0,1t start tie,6t 3 out d2,,CLE,1.5,L,4,6
18,19,153,2018-09-21,CLE,BOS,3-7,L(10-5),4,4.2,8,6,6,2,1,2,0,4.8,22,82,53,14,5,13,6,3,0,0,,0.0,0.0,0,0,0,20,1,0,0,2,0,0,1.34,-0.46399999999999997,0.14,-0.03%,-2.88,-5.5,-1.0,3t --- 0 out tie,7t 1-3 2 out d1,,CLE,2.380952380952381,L,5,7
19,20,158,2018-09-26,CLE,CHW,GS-6,W(11-5),4,6.0,2,0,0,2,9,0,0,4.55,22,90,59,17,15,7,4,1,1,0,75.0,,,0,0,0,20,1,0,0,0,0,0,0.46,0.20199999999999999,0.06,0.02%,3.01,33.1,57.0,1b start a 1,6b 3 out a10,,CHW,0.6666666666666666,W,10,2
20,21,3,2019-03-31,CLE,MIN,7-GF(8),,99,2.0,2,1,1,0,2,0,1,4.5,8,17,13,4,2,1,4,3,1,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.02,-0.002,0.02,0.00%,0.11,4.7,9.0,7b --- 0 out d8,8b end d 6,,MIN,1.0,L,3,9
21,22,7,2019-04-05,CLE,TOR,GS-6,,4,6.0,2,2,2,2,9,1,0,3.38,22,91,58,18,19,4,7,2,1,0,67.0,,,0,0,0,20,0,0,0,0,0,0,0.9,0.11,0.84,0.06%,1.45,25.1,39.0,1t start tie,6t 3 out tie,,CLE,0.6666666666666666,W,3,2
22,23,12,2019-04-11,CLE,DET,GS-7,W(1-0),5,7.0,3,0,0,1,6,0,0,1.8,26,105,68,20,13,10,9,6,2,0,76.0,,,1,0,0,25,0,0,0,0,0,1,0.98,0.386,1.29,0.30%,3.95,29.35,51.0,1b start a 1,7b 3 out a4,,DET,0.5714285714285714,W,4,0
23,24,17,2019-04-16,CLE,SEA,GS-7,W(2-0),4,6.0,4,1,1,3,5,0,0,1.71,26,106,64,14,12,6,12,4,2,0,62.0,,,0,1,0,23,2,0,0,0,0,2,1.23,0.195,1.34,0.13%,1.46,21.3,42.0,1b start tie,7b -2- 0 out a3,,SEA,1.1666666666666667,W,4,2
24,25,21,2019-04-21,CLE,ATL,GS-3,L(2-1),4,2.1,6,7,5,1,3,2,1,3.47,16,65,41,17,5,3,8,4,0,0,23.0,,,0,0,0,14,3,0,0,0,0,1,0.72,-0.317,0.83,-0.22%,-4.26,-3.55,1.0,1t start tie,3t 12- 1 out d5,,CLE,3.333333333333333,L,5,11
25,26,26,2019-04-27,CLE,HOU,GS-6,,5,6.0,3,3,3,4,9,1,0,3.68,25,106,63,19,13,4,8,6,1,0,59.0,,,1,0,0,21,1,0,0,0,0,0,1.07,-0.040999999999999995,1.33,-0.03%,0.42,21.3,36.0,1b start tie,6b 3 out d2,,HOU,1.1666666666666667,L,3,4
26,27,30,2019-05-03,CLE,SEA,GS-8,,5,7.2,6,1,1,1,8,1,0,3.16,29,114,71,24,11,11,9,4,2,0,70.0,,,1,0,0,28,2,0,0,0,0,0,1.09,0.435,1.26,0.30%,3.48,27.05,44.0,1t start tie,8t --- 2 out tie,,CLE,0.9722222222222222,W,2,1
