Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
20,159,2016-09-30,ATL,DET,8-GF,,1,1.1,0,0,0,0,2,0,0,4.86,4,16,11,3,3,1,1,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,.05,0.005,.00,0.00%,0.71,8t 1-- 2 out d5,9t end d 4,,ATL,0.0,L,2,6,,
21,56,2017-06-06,STL,CIN,4-7,,99,3.1,3,2,2,2,3,2,0,5.40,15,61,32,8,6,3,7,2,0,0,,1,1,0,0,0,13,0,0,0,0,0,0,.01,-0.007,.01,-0.01%,-1.06,4b --3 2 out d8,7b 3 out d10,,CIN,1.6129032258064515,L,1,13,,
22,134,2017-09-01,STL,SFG,5-6,,86,2.0,0,0,0,2,1,0,0,3.38,8,29,18,5,1,3,2,1,1,0,,0,0,0,0,0,6,0,0,0,1,0,1,.42,0.039,.30,0.02%,1.01,5b --- 0 out d3,6b 3 out d3,,SFG,1.0,W,11,6,,
23,143,2017-09-10,STL,PIT,9-GF,,8,1.0,1,0,0,0,1,0,0,2.84,4,13,10,2,1,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.02,0.001,.03,0.00%,0.51,9t --- 0 out a7,9t end a 7,,STL,1.0,W,7,0,,
24,145,2017-09-13,STL,CIN,6-7,,2,2.0,1,0,0,0,2,0,0,2.16,7,30,19,6,2,3,2,2,0,0,,0,0,0,0,0,7,0,0,0,1,0,1,.08,0.009,.17,0.01%,1.01,6t --- 0 out d6,7t 3 out d6,,STL,0.5,L,0,6,,
25,150,2017-09-19,STL,CIN,3-3,,5,1.0,2,2,2,1,1,1,0,3.86,5,21,11,2,4,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.51,-0.111,.25,-0.03%,-1.48,3b --- 0 out d2,3b 3 out d4,,CIN,3.0,W,8,7,,
26,155,2017-09-24,STL,PIT,GS-3,,4,3.0,3,1,1,2,0,0,1,3.65,14,48,30,5,4,5,6,2,2,0,47,,,0,1,1,10,0,1,1,0,1,0,1.41,0.033,2.26,0.03%,0.50,1b start tie,3b 3 out tie,,PIT,1.6666666666666667,L,1,4,,
27,160,2017-09-29,STL,MIL,GS-6,L(0-1),4,5.0,7,4,4,3,3,1,0,4.67,23,88,55,13,9,12,5,1,1,0,37,,,0,0,0,20,1,0,0,2,0,0,.99,-0.122,.00,0.00%,-0.96,1t start tie,6t -23 0 out d1,,STL,2.0,L,3,5,,
28,24,2018-04-26,STL,NYM,11-GF(13),W(1-0),99,3.0,0,0,0,0,1,0,0,0.00,9,35,25,8,4,4,4,0,3,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.76,0.393,2.10,0.28%,1.41,11t --- 0 out tie,13t end tie,,STL,0.0,W,4,3,12.75,24.00
29,33,2018-05-07,STL,MIN,GS-6,L(1-1),10,5.1,6,4,4,2,5,0,0,4.32,24,97,61,16,6,5,12,4,1,0,43,,,0,0,0,21,3,0,0,0,1,0,.75,-0.182,.94,-0.14%,-1.84,1t start tie,6t -2- 1 out d4,,STL,1.5686274509803924,L,0,6,9.20,19.00
30,36,2018-05-11,STL,SDP,8-8,,3,1.0,0,0,0,1,1,0,0,3.86,4,16,8,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.006,.14,0.00%,0.45,8b --- 0 out a6,8b 3 out a6,,SDP,1.0,W,9,5,3.65,6.00
31,38,2018-05-13,STL,SDP,3-6,,1,3.2,4,2,2,0,4,0,0,4.15,15,48,36,9,8,6,5,1,1,0,,3,1,1,0,0,14,1,0,0,1,1,1,.60,-0.059,.72,-0.04%,-0.14,3b 123 1 out d1,6b 3 out d2,,SDP,1.25,L,3,5,9.85,17.00
32,43,2018-05-19,STL,PHI,GS-5,,5,4.1,4,5,3,2,7,1,0,4.67,20,90,59,18,12,5,6,4,1,0,44,,,1,0,0,18,0,0,0,0,0,1,.90,-0.282,1.08,-0.20%,-2.19,1t start tie,5t 123 1 out tie,,STL,1.4634146341463417,L,6,7,14.15,25.00
33,48,2018-05-25,STL,PIT,GS-6,L(1-2),5,5.1,4,3,3,0,7,0,1,4.76,21,78,55,14,16,8,5,4,0,0,55,,,0,0,0,20,1,0,0,0,0,0,1.08,0.032,1.42,0.03%,0.64,1b start tie,6b 1-3 1 out d1,,PIT,0.7843137254901962,L,1,8,17.00,28.00
34,53,2018-05-30,STL,MIL,5-6,,4,2.0,2,1,1,4,1,0,0,4.74,13,58,31,7,6,4,4,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.58,-0.052,2.29,-0.05%,-0.01,5b --- 0 out tie,6b 3 out d1,,MIL,3.0,L,2,3,0.90,6.00
35,73,2018-06-21,STL,MIL,6-7,,21,2.0,3,4,0,0,2,0,0,4.39,11,41,29,6,7,6,3,0,0,0,,0,0,0,0,0,11,0,1,0,0,0,2,.06,-0.007,.08,-0.01%,-3.01,6b --- 0 out d5,7b 3 out d9,,MIL,1.5,L,3,11,6.70,12.00
36,77,2018-06-25,STL,CLE,GS-7,W(2-2),3,7.0,1,0,0,5,4,0,0,3.48,26,97,56,18,8,10,7,3,3,0,74,,,0,0,0,21,0,0,0,1,0,0,.90,0.368,1.00,0.25%,3.28,1t start tie,7t 3 out a3,,STL,0.8571428571428571,W,4,0,24.15,45.00
37,82,2018-07-01,STL,ATL,GS-6,L(2-3),5,5.1,4,4,4,3,2,1,0,3.92,23,79,48,9,6,7,12,5,2,0,43,,,0,0,0,20,2,0,1,0,0,0,.91,-0.089,.94,-0.06%,-0.84,1t start tie,6t -2- 1 out d3,,STL,1.3725490196078431,L,5,6,3.80,10.00
38,87,2018-07-06,STL,SFG,GS-6,,4,6.0,5,2,2,3,5,1,0,3.80,26,96,64,19,15,9,9,3,3,0,56,,,0,0,0,23,1,0,0,0,0,0,1.12,0.013,1.13,0.01%,0.70,1b start tie,6b 3 out d1,,SFG,1.3333333333333333,L,2,3,14.70,27.00
39,94,2018-07-15,STL,CIN,5-8,W(3-3),8,4.0,0,0,0,2,4,0,0,3.49,14,61,35,9,9,3,5,0,1,0,,0,0,0,0,0,12,0,0,0,0,0,0,.73,0.171,.55,0.08%,1.87,5t --- 0 out a3,8t 3 out a3,,STL,0.5,W,6,4,19.80,36.00
40,98,2018-07-21,STL,CHC,GS-5,,5,5.0,4,0,0,3,2,0,0,3.17,22,82,55,10,9,6,11,7,0,0,58,,,0,0,0,19,0,0,0,0,0,0,1.40,0.305,1.23,0.16%,2.51,1b start a 1,5b 3 out a1,2,CHC,1.4,W,6,3,11.05,21.00
41,102,2018-07-25,STL,CIN,6-6,,3,1.0,3,2,2,2,1,1,0,3.44,7,28,15,3,2,0,4,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.77,-0.155,.56,-0.07%,-1.51,6b --- 0 out d1,6b 3 out d3,,CIN,5.0,L,3,7,-2.75,0.00
42,105,2018-07-29,STL,CHC,GS-5,L(3-4),3,4.1,4,3,2,2,4,2,0,3.49,18,62,39,11,6,7,6,4,0,0,47,,,0,0,0,16,0,0,0,1,0,0,1.04,-0.020,.94,-0.01%,-0.15,1t start tie,5t 1-- 1 out tie,,STL,1.4634146341463417,L,2,5,10.15,19.00
43,110,2018-08-03,STL,PIT,GS-4,,4,4.0,8,6,6,1,5,0,0,4.12,21,71,45,8,11,6,9,6,0,0,26,,,0,0,0,18,2,1,0,0,2,0,.80,-0.432,.70,-0.23%,-4.14,1b start a 1,4b 3 out d4,,PIT,2.25,L,6,7,1.60,9.00
44,115,2018-08-08,STL,MIA,GS-6,W(4-4),4,6.0,2,1,1,1,4,0,0,3.89,21,63,47,15,3,7,9,4,2,0,67,,,0,0,0,20,0,0,0,0,0,0,1.05,0.223,.90,0.11%,1.73,1b start a 1,6b 3 out a2,,MIA,0.5,W,7,1,21.70,39.00
45,120,2018-08-14,STL,WSN,GS-6,W(5-4),5,5.1,4,1,1,0,6,0,0,3.74,20,89,62,24,5,5,9,5,1,0,62,,,0,0,0,20,2,0,0,0,0,0,.68,0.191,1.05,0.18%,1.57,1t start tie,6t --- 1 out a4,,STL,0.7843137254901962,W,6,4,23.60,43.00
46,125,2018-08-19,STL,MIL,GS-5,L(5-5),4,4.1,6,2,2,2,1,0,0,3.76,20,86,52,12,7,9,8,4,1,0,42,,,2,0,0,18,1,0,0,1,0,0,1.05,-0.082,2.23,-0.10%,-0.53,1t start tie,5t 12- 1 out d2,,STL,1.9512195121951221,L,1,2,2.95,10.00
47,130,2018-08-25,STL,COL,GS-7,,5,7.0,3,1,1,5,6,1,0,3.56,28,97,63,16,15,10,7,1,0,0,68,,,0,1,0,22,1,0,1,1,0,1,1.25,0.235,2.55,0.29%,2.96,1b start tie,7b 3 out d1,,COL,1.1428571428571428,L,1,9,20.95,36.00
48,134,2018-08-30,STL,PIT,GS-6,W(6-5),4,5.2,3,0,0,3,6,0,0,3.34,24,94,57,15,10,6,9,7,1,0,66,,,0,0,0,21,0,0,0,0,0,1,1.00,0.250,1.76,0.27%,2.39,1t start tie,6t 12- 2 out a5,,STL,1.1538461538461537,W,5,0,25.15,47.00
49,139,2018-09-04,STL,WSN,GS-5,,4,4.1,2,3,0,5,2,0,0,3.19,18,87,52,15,10,5,6,5,0,0,50,,,0,0,0,13,0,0,0,2,0,1,.96,0.068,1.61,0.07%,0.97,1b start tie,5b 123 1 out a4,,WSN,1.707317073170732,W,11,8,9.55,19.00
50,143,2018-09-09,STL,DET,GS-7,W(7-5),4,6.2,5,2,2,1,6,0,0,3.16,25,94,62,17,12,8,9,7,0,1,61,,,1,0,0,24,4,0,0,0,0,0,.85,0.297,1.43,0.30%,1.36,1b start tie,7b -2- 2 out a3,,DET,0.9677419354838709,W,5,2,23.40,44.00
51,149,2018-09-15,STL,LAD,GS-5,L(7-6),5,4.1,6,6,6,4,4,2,1,3.53,23,75,50,20,9,6,8,4,1,0,27,,,0,0,0,18,0,0,1,0,0,0,1.05,-0.294,2.51,-0.42%,-2.19,1t start tie,5t 123 1 out a1,,STL,2.439024390243903,L,4,17,-0.85,7.00
52,154,2018-09-21,STL,SFG,GS-3,,5,2.2,4,1,1,3,3,0,0,3.53,15,67,37,9,8,5,4,3,0,0,46,,,0,0,0,12,2,0,0,0,0,0,1.34,-0.050,2.11,-0.05%,-0.34,1t start tie,3t 123 2 out tie,,STL,3.1818181818181817,W,5,3,5.80,14.00
53,159,2018-09-26,STL,MIL,GS-5,,4,4.1,4,1,1,3,2,0,0,3.47,19,84,53,10,11,7,7,5,0,0,50,,,0,0,0,16,0,0,0,0,0,0,1.22,0.101,3.35,0.17%,1.10,1t start tie,5t --- 1 out tie,,STL,1.707317073170732,L,1,2,7.55,16.00
54,1,2019-03-28,STL,MIL,8-GF(8),,99,1.0,1,0,0,1,0,0,0,0.00,4,12,5,1,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.83,0.034,.91,0.02%,0.54,8b --- 0 out d1,8b end d 1,,MIL,2.0,L,4,5,1.05,3.00
55,2,2019-03-29,STL,MIL,5-6,W(1-0),0,1.2,0,0,0,1,2,0,0,0.00,5,22,12,3,2,2,0,0,0,0,,1,0,0,0,0,4,0,0,0,1,0,0,1.49,0.160,1.51,0.10%,1.09,5b 1-- 1 out tie,6b 3 out a1,,MIL,0.8333333333333334,W,9,5,11.15,23.00
56,5,2019-04-01,STL,PIT,11-GF(11),S(1),2,1.0,0,0,0,1,0,0,0,0.00,3,12,6,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,3.61,0.203,3.48,0.12%,0.51,11b --- 0 out a1,11b end a 1,,PIT,1.0,W,6,5,1.65,3.00
57,6,2019-04-03,STL,PIT,9-9,W(2-0),1,1.0,0,0,0,1,1,0,0,0.00,4,18,11,1,3,1,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,3.01,0.139,3.14,0.09%,0.51,9b --- 0 out tie,9b 3 out tie,,PIT,1.0,W,5,4,7.65,18.00
58,8,2019-04-06,STL,SDP,6-7,H(1),2,1.1,2,1,1,0,1,1,0,1.50,6,28,18,6,2,1,4,1,1,0,,2,0,0,0,0,6,0,0,0,0,0,0,1.50,0.033,1.40,0.02%,-0.04,6t 12- 2 out a2,7t 3 out a1,,STL,1.8181818181818181,L,4,6,1.80,4.00
59,10,2019-04-08,STL,LAD,7-8,H(2),1,2.0,0,0,0,1,1,0,0,1.13,6,18,10,3,3,2,2,0,1,0,,0,0,0,0,0,5,0,0,0,1,0,0,2.05,0.220,1.86,0.12%,1.04,7t --- 0 out a1,8t 3 out a1,,STL,0.5,W,4,3,5.90,9.00
60,11,2019-04-09,STL,LAD,7-7,,0,1.0,0,0,0,1,2,0,0,1.00,4,13,9,4,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.73,0.030,.72,0.02%,0.52,7t --- 0 out a4,7t 3 out a4,,STL,1.0,W,4,0,5.65,9.00
61,13,2019-04-11,STL,LAD,7-8,,1,1.2,0,0,0,0,1,0,0,0.84,5,23,16,4,2,2,2,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.30,0.039,.32,0.03%,0.79,7t --- 1 out a4,8t 3 out a4,,STL,0.0,W,11,7,5.75,8.00
62,15,2019-04-14,STL,CIN,6-6,W(3-0),2,1.0,0,0,0,1,1,0,0,0.77,4,22,11,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.07,0.078,1.27,0.06%,0.55,6b --- 0 out tie,6b 3 out tie,,CIN,1.0,W,9,5,7.65,18.00
63,18,2019-04-17,STL,MIL,7-7,H(3),2,1.0,0,0,0,0,1,0,0,0.71,2,8,5,2,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,1.20,0.109,1.48,0.08%,0.93,7b 1-- 0 out a3,7b 3 out a3,,MIL,0.0,W,6,3,4.25,6.00
64,19,2019-04-19,STL,NYM,9-GF,,1,1.0,0,0,0,0,1,0,0,0.66,3,9,7,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.52,0.040,.57,0.03%,0.52,9t --- 0 out d1,9t end d 1,,STL,0.0,L,4,5,4.25,6.00
65,21,2019-04-21,STL,NYM,7-8,H(4),1,1.1,0,0,0,0,1,0,0,0.60,4,23,18,2,4,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.88,0.091,.93,0.06%,0.63,7t --- 2 out a2,8t 3 out a2,,STL,0.0,W,6,4,5.00,7.00
66,23,2019-04-23,STL,MIL,6-7,BS(1),1,2.0,2,1,1,0,2,1,0,1.06,8,33,23,6,6,1,5,1,2,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.07,0.006,1.42,0.01%,0.04,6t --- 0 out a1,7t 3 out tie,,STL,1.0,W,4,3,5.30,9.00
67,26,2019-04-27,STL,CIN,6-7,H(5),3,1.1,0,0,0,0,3,0,0,0.98,4,20,15,6,2,0,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.82,0.089,1.10,0.07%,0.85,6t -2- 2 out a2,7t 3 out a3,,STL,0.0,W,6,3,9.00,13.00
68,27,2019-04-28,STL,CIN,9-GF,S(2),0,0.1,0,0,0,0,0,0,0,0.96,1,4,4,0,2,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.45,0.013,.60,0.01%,0.33,9t -2- 2 out a3,9t end a 3,,STL,0.0,W,5,2,0.75,1.00
69,29,2019-04-30,STL,WSN,8-9,H(6),1,1.1,1,0,0,0,2,0,0,0.90,5,27,19,7,3,0,3,2,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,3.22,0.241,4.02,0.18%,0.94,8b 1-- 0 out a1,9b 1-- 1 out a1,,WSN,0.9090909090909091,W,3,2,6.40,10.00
