,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
17,18,66,2019-06-11,NYA,NYM,9-GF,,1,1.0,1,1,1,0,2,0,1,8.53,5,21,13,1,2,1,1,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.02,-0.001,0.02,0.00%,-0.46,3.05,6.0,9t --- 0 out d6,9t end d 7,2.0,NYY,1.0,L,4,10
18,19,79,2019-06-25,NYA,TOR,7-7,H(1),13,1.0,0,0,0,0,1,0,0,7.36,3,13,8,2,3,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.26,0.099,1.3,0.06%,0.54,4.25,6.0,7t --- 0 out a1,7t 3 out a1,,NYY,0.0,W,4,3
19,20,80,2019-06-26,NYA,TOR,8-8,H(2),0,1.0,1,0,0,0,1,0,0,6.48,3,16,11,4,1,1,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.93,0.125,1.86,0.07%,0.54,3.65,6.0,8t --- 0 out a1,8t 3 out a1,,NYY,1.0,W,8,7
20,21,82,2019-06-30,NYA,BOS,GS-1,,3,1.0,4,4,4,0,0,3,0,9.64,7,23,12,3,1,2,5,0,0,0,29.0,,,0,0,0,7,0,0,0,0,0,0,0.57,-0.275,0.57,-0.17%,-3.42,-8.15,-9.0,1b start tie,1b 3 out d4,,BOS,4.0,W,12,8
21,22,96,2019-07-19,NYA,COL,7-GF,S(2),18,3.0,1,0,0,0,6,0,0,7.3,10,49,29,10,9,1,3,2,1,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,0,0.12,0.021,0.09,0.01%,1.62,18.15,27.0,7t --- 0 out a6,9t end a 6,,NYY,0.3333333333333333,W,8,2
22,23,98,2019-07-21,NYA,COL,7-8,,1,1.1,2,1,0,2,1,0,0,6.59,8,30,20,7,2,2,3,1,2,0,,0.0,0.0,0,0,0,6,1,0,1,0,0,0,0.14,-0.006,0.08,0.00%,-0.35,2.6,7.0,7t --- 2 out d5,8t 3 out d6,,NYY,3.636363636363636,L,4,8
23,24,102,2019-07-25,NYA,BOS,4-6,,3,1.2,5,4,4,2,1,0,0,8.22,12,48,29,6,6,3,6,4,0,0,,1.0,1.0,0,0,0,10,3,0,0,0,0,0,0.02,-0.005,0.01,0.00%,-3.08,-6.45,-4.0,4b -2- 1 out d9,6b 1-- 0 out d12,,BOS,5.833333333333334,L,3,19
24,25,113,2019-08-06,NYA,BAL,3-5,,11,2.0,6,2,2,1,0,1,0,8.31,12,51,30,3,3,2,9,5,1,0,,0.0,0.0,0,0,0,11,1,0,0,0,0,0,0.99,-0.142,0.38,-0.03%,-1.25,-3.7,0.0,3b --- 2 out a1,5b 12- 2 out a1,,BAL,3.5,W,9,4
25,26,117,2019-08-10,NYA,TOR,2-4,,3,2.1,1,2,2,4,4,0,0,8.24,12,57,31,12,8,1,3,1,1,0,,0.0,0.0,0,0,0,8,0,0,0,0,0,0,1.2,0.059000000000000004,0.34,0.01%,0.66,6.25,13.0,2b --- 0 out tie,4b 12- 1 out a1,,TOR,2.380952380952381,L,4,5
26,27,152,2019-09-17,NYA,LAA,7-8,,37,1.1,3,0,0,0,4,0,1,7.71,8,35,25,9,7,1,2,2,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.06,0.001,0.01,0.00%,-0.14,8.6,16.0,7t --- 0 out a8,8t 1-3 1 out a8,,NYY,2.727272727272727,W,8,0
27,28,157,2019-09-22,NYA,TOR,6-6,,4,1.0,2,0,0,1,3,0,0,7.36,6,31,19,5,6,0,2,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.13,0.005,0.02,0.00%,0.54,6.45,12.0,6t --- 0 out a8,6t 3 out a8,,NYY,3.0,W,8,3
28,29,158,2019-09-24,NYA,TBR,5-5,BS(1),1,1.0,2,1,1,0,1,1,0,7.43,4,19,12,3,3,2,1,0,0,0,,0.0,0.0,0,1,1,4,0,0,0,0,0,0,0.93,-0.079,0.14,-0.01%,-0.46,1.05,3.0,5b --- 0 out a1,5b 3 out tie,,TBR,2.0,L,1,2
29,30,159,2019-09-25,NYA,TBR,7-8,,0,0.2,0,0,0,0,0,0,0,7.23,1,9,4,2,0,0,1,1,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.31,0.017,0.04,0.00%,0.77,1.5,2.0,7b 1-3 2 out d3,8b --- 1 out d3,,TBR,0.0,L,0,4
30,31,160,2019-09-27,NYA,TEX,3-3,W(1-0),1,1.0,0,0,0,0,2,0,0,6.93,3,20,11,5,1,1,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.74,0.06,0.08,0.00%,0.61,10.25,21.0,3b --- 0 out tie,3b 3 out tie,,TEX,0.0,W,14,7
