Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
20,12,2015-04-18,WSN,PHI,9-GF,,3,1.0,2,1,1,0,0,0,0,4.76,5,15,11,1,1,4,1,1,0,0,,0,0,1,0,0,5,1,0,0,0,0,0,.68,-0.071,.65,-0.04%,-0.53,9t --- 0 out d1,9t end d 2,,WSN,2.0,L,3,5,,
21,15,2015-04-22,WSN,STL,8-8,L(0-2),3,1.0,2,1,1,2,2,0,0,5.40,7,28,14,4,4,2,1,1,0,0,,0,0,0,0,0,5,1,0,1,0,0,0,2.28,-0.207,2.18,-0.12%,-0.53,8t --- 0 out tie,8t 3 out d1,,WSN,4.0,L,5,7,,
22,18,2015-04-25,WSN,MIA,7-7,,2,1.0,0,0,0,1,2,0,0,4.70,4,16,9,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,.06,0.00%,0.45,7b --- 0 out d4,7b 3 out d4,,MIA,1.0,L,0,8,,
23,19,2015-04-26,WSN,MIA,7-7,,0,1.0,1,0,0,0,2,0,0,4.15,4,9,8,2,3,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,0.005,.05,0.00%,0.45,7b --- 0 out d4,7b 3 out d4,,MIA,1.0,L,2,6,,
24,21,2015-04-28,WSN,ATL,7-8,W(1-2),1,2.0,2,1,1,3,1,0,0,4.22,11,40,20,5,3,6,1,1,0,0,,0,0,1,0,0,8,0,0,0,0,0,0,.59,-0.066,.43,-0.03%,-0.10,7b --- 0 out d1,8b 3 out d2,,ATL,2.5,W,13,12,,
25,24,2015-05-01,WSN,NYM,8-GF(8),,2,0.2,1,1,1,1,1,0,0,4.76,4,14,8,2,2,1,1,1,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,.62,-0.093,.64,-0.06%,-2.15,8b 12- 1 out d1,8b end d 4,,NYM,10.0,L,0,4,,
26,27,2015-05-04,WSN,MIA,8-8,,2,0.2,0,2,2,2,2,0,0,6.00,4,16,7,2,3,0,0,0,0,0,,0,0,1,0,0,2,0,0,1,0,0,0,2.78,0.015,2.90,0.01%,0.05,8t --- 0 out tie,8t 12- 2 out tie,,WSN,10.0,W,6,4,,
27,28,2015-05-05,WSN,MIA,7-7,,0,1.0,0,0,0,1,1,0,0,5.54,4,16,9,5,0,1,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.00,0.052,1.10,0.04%,0.47,7t --- 0 out d1,7t 3 out d1,,WSN,1.0,L,1,2,,
28,30,2015-05-08,WSN,ATL,9-GF,,2,1.0,0,0,0,1,1,0,0,5.14,4,15,8,5,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.47,9t --- 0 out a7,9t end a 7,,WSN,1.0,W,9,2,,
29,33,2015-05-11,WSN,ARI,8-GF,,2,2.0,1,0,0,1,1,0,0,4.50,7,29,19,4,1,4,1,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.01,0.000,.01,0.00%,0.98,8b --- 0 out a10,9b end a10,,ARI,1.0,W,11,1,,
30,36,2015-05-14,WSN,SDP,3-6,,2,4.0,3,1,1,0,6,1,0,4.05,14,57,41,15,7,6,2,2,0,0,,0,0,0,0,0,14,0,0,0,1,0,0,.04,0.000,.05,0.00%,0.76,3b --- 0 out d7,6b 3 out d6,,SDP,0.75,L,3,8,,
