,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
18,19,153,2009-09-25,BAL,CLE,GS-6,L(4-9),5,6.0,6,3,2,1,5,1,0,5.2,26,96,61,19,5,6,14,3,1,0,54.0,,,1,0,0,24,2,0,0,0,0,1,0.99,-0.085,0.0,0.00%,0.09,1b start tie,6b 3 out d1,,CLE,1.1666666666666667,L,2,4,,
19,20,158,2009-09-30,BAL,TBR,GS-5,L(4-10),4,4.1,7,5,5,2,4,2,0,5.42,22,68,41,13,4,3,13,3,0,0,31.0,,,1,0,0,20,0,0,0,0,0,0,0.69,-0.22699999999999998,0.0,0.00%,-2.89,1b start tie,5b 1-- 1 out d5,,TBR,2.1951219512195124,L,3,5,,
20,21,5,2010-04-10,BAL,TOR,GS-6,L(0-1),99,6.0,6,2,2,4,5,0,1,3.0,28,98,54,10,9,3,15,3,5,0,53.0,,,0,1,0,23,4,0,2,0,0,0,1.23,0.044000000000000004,1.32,0.03%,0.95,1t start tie,6t 3 out d2,,BAL,1.6666666666666667,L,0,3,,
21,22,10,2010-04-15,BAL,OAK,GS-5,L(0-2),4,5.0,7,5,4,1,6,0,1,4.91,25,99,65,20,11,4,13,5,3,0,40.0,,,1,0,0,21,4,0,0,0,2,1,0.7,-0.23800000000000002,0.42,-0.09%,-2.54,1b start tie,5b 3 out d5,,OAK,1.6,L,2,6,,
22,23,15,2010-04-20,BAL,SEA,GS-7,L(0-3),4,6.1,7,3,3,2,2,0,0,4.67,27,104,67,21,7,9,14,8,1,0,47.0,,,1,0,0,24,2,0,0,1,1,0,0.9,-0.063,0.4,-0.02%,-0.42,1b start a 1,7b -2- 1 out d2,,SEA,1.475409836065574,L,1,3,,
23,24,19,2010-04-25,BAL,BOS,GS-6,,4,5.0,4,3,3,3,1,0,0,4.84,22,97,55,16,2,6,12,2,1,0,45.0,,,0,0,0,19,0,0,0,0,0,0,1.33,0.008,0.39,0.00%,0.63,1b start tie,6b 12- 0 out tie,,BOS,1.4,W,7,6,,
24,25,23,2010-04-30,BAL,BOS,GS-6,,4,5.1,3,2,2,5,3,2,0,4.55,22,96,56,21,4,3,11,1,2,0,52.0,,,0,1,0,17,0,0,0,1,0,0,1.15,0.055,0.28,0.01%,0.44,1t start tie,6t 1-- 1 out a1,,BAL,1.5686274509803924,W,5,4,,
25,26,28,2010-05-05,BAL,NYY,GS-4,L(0-4),4,3.2,6,6,6,4,3,2,0,5.74,20,88,46,20,6,5,8,1,0,0,24.0,,,1,0,0,15,0,0,0,0,0,0,0.8,-0.225,0.2,-0.03%,-2.34,1b start tie,4b 12- 2 out d3,,NYY,3.125,L,5,7,,
26,27,33,2010-05-11,BAL,SEA,GS-6,L(0-5),5,5.2,5,5,4,4,4,1,0,5.84,26,105,58,21,6,7,11,3,2,0,41.0,,,0,0,0,22,1,0,1,0,0,0,1.08,-0.14,0.19,-0.02%,-1.37,1t start tie,6t -2- 2 out d4,,BAL,1.7307692307692306,L,1,5,,
27,28,43,2010-05-21,BAL,WSN,GS-6,W(1-5),9,5.1,1,1,1,5,3,0,0,5.31,22,105,59,17,9,5,9,1,3,0,60.0,,,0,0,0,17,0,0,0,0,0,0,0.8,0.175,0.08,0.01%,2.01,1b start tie,6b 12- 1 out a4,,WSN,1.1764705882352942,W,5,3,,
28,29,49,2010-05-28,BAL,TOR,7-GF(8),,6,2.0,2,0,0,0,3,0,0,5.08,8,30,21,6,4,1,4,1,1,0,,0.0,0.0,0,0,0,8,0,0,0,0,0,0,0.03,0.004,0.0,0.00%,1.01,7b --- 0 out d5,8b end d 5,,TOR,1.0,L,0,5,,
29,30,52,2010-06-01,BAL,NYY,7-GF(8),,3,1.1,0,0,0,0,2,0,0,4.93,5,15,9,3,3,1,2,0,0,0,,2.0,2.0,0,0,0,5,0,0,0,0,0,1,0.87,-0.245,0.02,0.00%,-0.85,7b -23 2 out tie,8b end d 2,,NYY,0.0,L,1,3,,
30,31,56,2010-06-05,BAL,BOS,8-9,,3,1.0,0,1,1,2,0,0,0,5.01,4,16,7,2,1,1,1,0,1,0,,1.0,0.0,0,0,0,2,0,0,0,1,0,0,0.54,0.027999999999999997,0.01,0.00%,0.49,8t 1-- 1 out d2,9t 1-- 1 out d2,,BAL,2.0,L,2,8,,
31,32,57,2010-06-06,BAL,BOS,10-GF(11),W(2-5),0,2.0,1,0,0,0,1,0,1,4.81,8,41,23,5,3,2,4,0,1,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,2.79,0.271,0.02,0.00%,0.98,10t --- 0 out tie,11t end tie,,BAL,0.5,W,4,3,,
32,33,60,2010-06-10,BAL,NYY,9-GF,S(1),3,1.0,0,0,0,1,0,0,0,4.71,4,13,8,2,3,1,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,2.9,0.16,0.0,0.00%,0.49,9t --- 0 out a1,9t end a 1,,BAL,1.0,W,4,3,,
33,34,64,2010-06-14,BAL,SFG,8-GF(8),,3,0.1,1,0,0,0,0,0,0,4.68,1,7,6,0,1,0,1,1,0,0,,3.0,2.0,0,0,0,1,0,0,0,0,0,0,0.03,-0.001,0.0,0.00%,-1.25,8b 123 2 out d6,8b end d 8,,SFG,10.0,L,2,10,,
34,35,65,2010-06-15,BAL,SFG,9-GF,S(2),0,1.0,0,0,0,1,1,0,0,4.59,4,18,13,3,2,0,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.53,0.038,0.0,0.00%,0.47,9b --- 0 out a3,9b end a 3,,SFG,1.0,W,4,1,,
35,36,67,2010-06-18,BAL,SDP,9-GF,BL(2-6),2,0.2,4,2,2,1,1,0,0,4.88,7,23,15,3,3,3,2,1,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,6.03,-0.8190000000000001,0.0,0.00%,-2.29,9b --- 0 out a1,9b end d 1,,SDP,25.0,L,2,3,,
36,37,71,2010-06-23,BAL,FLA,7-8,,4,1.2,1,0,0,0,3,0,0,4.73,6,21,17,6,4,0,3,2,0,0,,1.0,0.0,0,0,0,6,0,0,0,0,0,0,0.58,0.075,0.0,0.00%,1.17,7t -2- 1 out d2,8t 3 out d2,,BAL,0.8333333333333334,L,5,7,,
37,38,72,2010-06-24,BAL,FLA,8-8,,0,1.0,0,0,0,0,2,0,0,4.64,3,17,13,4,3,0,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.0,0.00%,0.49,8t --- 0 out a6,8t 3 out a6,,BAL,0.0,W,11,5,,
38,39,75,2010-06-27,BAL,WSN,8-8,W(3-6),2,0.2,0,0,0,0,2,0,0,4.58,2,6,6,1,3,0,0,0,0,0,,2.0,0.0,0,0,0,2,0,0,0,0,0,0,3.66,0.175,0.0,0.00%,0.9,8t 12- 1 out tie,8t 3 out tie,,BAL,0.0,W,4,3,,
