,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
18,19,97,2019-07-18,SFN,NYM,15-GF(16),W(1-0),71,2.0,2,1,1,2,2,1,0,3.0,9,39,22,3,4,1,4,1,1,0,,0,0,0,1,1,7,0,0,0,0,0,0,2.28,-0.165,1.3,-0.06%,-0.01,8.1,21.0,15t --- 0 out tie,16t end d 1,,SFG,2.0,W,3,2
19,20,114,2019-08-06,SFN,WSN,9-GF,,18,1.0,1,0,0,0,0,0,0,2.25,3,12,6,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.3,0.017,0.21,0.01%,0.5,1.65,3.0,9t --- 0 out d2,9t end d 2,,SFG,1.0,L,3,5
20,21,115,2019-08-07,SFN,WSN,8-8,,0,1.0,1,0,0,0,0,0,0,1.8,3,8,5,0,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.2,0.008,0.12,0.00%,0.5,1.65,3.0,8t --- 0 out d4,8t 3 out d4,,SFG,1.0,L,1,4
21,22,119,2019-08-11,SFN,PHI,7-7,H(1),3,0.2,1,0,0,1,1,0,0,1.59,4,18,12,1,5,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.07,-0.023,0.98,-0.01%,-0.1,2.3,5.0,7t --- 0 out a1,7t -23 2 out a1,,SFG,10.0,W,9,6
22,23,121,2019-08-14,SFN,OAK,8-8,,2,1.0,2,1,1,1,1,0,0,2.7,5,23,11,3,0,2,1,0,0,0,,0,0,0,0,0,4,0,1,0,1,0,0,0.05,-0.003,0.03,0.00%,-0.5,0.45,3.0,8t --- 0 out d6,8t 3 out d7,,SFG,3.0,L,5,9
23,24,150,2019-09-15,PIT,CHC,6-6,,31,1.0,2,1,1,0,1,0,0,3.52,5,17,13,3,1,1,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.06,-0.005,0.0,0.00%,-0.46,1.05,3.0,6b --- 0 out d6,6b 3 out d7,,CHC,2.0,L,6,16
24,25,151,2019-09-17,PIT,SEA,7-7,,1,1.0,2,2,2,1,1,1,0,5.19,6,21,13,3,1,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.17,-0.038,0.0,0.00%,-1.49,-1.55,0.0,7t --- 0 out d4,7t 3 out d6,,PIT,3.0,L,0,6
25,26,152,2019-09-18,PIT,SEA,9-GF,,0,0.1,0,0,0,0,0,0,0,5.0,1,6,3,0,0,0,1,1,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,0.42,0.011000000000000001,0.0,0.00%,0.78,0.75,1.0,9t 123 2 out d3,9t end d 3,,PIT,0.0,L,1,4
26,27,154,2019-09-20,PIT,MIL,6-6,,1,0.0,0,0,0,1,0,0,0,5.0,1,6,2,1,1,0,0,0,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,0.31,-0.012,0.0,0.00%,-1.0,-0.6,0.0,6b 123 2 out d5,6b 123 2 out d6,,MIL,inf,L,1,10
27,28,159,2019-09-26,PIT,CHC,7-8,,5,0.2,0,0,0,1,2,0,0,4.66,3,14,9,4,1,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.4,0.011000000000000001,0.0,0.00%,0.21,4.9,8.0,7t 1-- 2 out a4,8t 1-- 1 out a4,,PIT,5.0,W,9,5
28,29,161,2019-09-28,PIT,CIN,7-7,,1,0.2,1,0,0,0,1,0,0,4.35,3,11,7,1,1,1,1,1,0,0,,1,0,0,0,0,3,1,0,0,0,0,0,2.58,0.059000000000000004,0.0,0.00%,0.39,2.9,5.0,7t 1-- 0 out tie,7t 1-3 2 out tie,,PIT,5.0,L,2,4
