,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,5,2019-04-01,ARI,SDP,7-GF,S(1),99,3.0,1,0,0,0,2,0,0,0.0,9,33,22,6,1,5,2,0,1,0,,0.0,0.0,0,0,0,9,0,0,0,1,0,0,0.08,0.011000000000000001,0.08,0.01%,1.51,10.15,15.0,7b --- 0 out a7,9b end a 7,,SDP,0.3333333333333333,W,10,3
1,2,10,2019-04-07,ARI,BOS,9-GF,,5,1.0,1,0,0,2,1,0,0,0.0,6,19,12,1,3,1,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,1,0,0,0,1.15,0.042,1.12,0.03%,0.54,2.45,6.0,9t --- 0 out d1,9t end d 1,,ARI,3.0,L,0,1
2,3,29,2019-04-28,ARI,CHC,10-13,,20,4.0,1,0,0,2,4,0,2,0.0,16,58,33,9,10,2,6,2,1,0,,0.0,0.0,1,1,0,12,0,0,0,0,0,0,3.24,0.5760000000000001,3.77,0.40%,2.14,14.0,24.0,10t --- 0 out tie,13t 3 out tie,,ARI,0.75,L,5,6
3,4,38,2019-05-09,ARI,ATL,10-GF(10),W(1-0),10,1.0,1,0,0,0,2,0,1,0.0,5,21,14,5,1,1,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,3.28,0.14400000000000002,3.85,0.10%,0.54,9.05,21.0,10t --- 0 out tie,10t end tie,,ARI,1.0,W,3,2
4,5,41,2019-05-12,ARI,ATL,3-5,,2,3.0,4,3,3,1,3,0,1,2.25,14,56,30,11,4,4,5,3,0,0,,0.0,0.0,0,0,0,12,0,0,0,0,0,0,1.02,-0.14400000000000002,1.17,-0.10%,-1.4,3.15,9.0,3t --- 0 out d1,5t 3 out d1,,ARI,1.6666666666666667,L,3,5
5,6,58,2019-05-31,ARI,NYM,GS-5,,18,5.0,6,3,3,2,4,0,0,3.18,21,77,51,11,7,7,8,4,1,0,45.0,,,0,0,0,19,2,0,0,2,0,0,0.96,-0.067,0.77,-0.03%,-0.33,8.45,18.0,1t start tie,5t 3 out d2,,ARI,1.6,L,4,5
6,7,63,2019-06-05,ARI,LAD,GS-5,,4,5.0,3,2,2,1,7,1,0,3.27,19,71,47,18,11,4,7,1,0,0,59.0,,,0,0,0,18,1,0,0,0,0,0,0.72,0.032,0.52,0.01%,0.67,18.85,30.0,1t start tie,5t 3 out d1,,ARI,0.8,W,3,2
7,8,68,2019-06-11,ARI,PHI,GS-3,L(1-1),5,3.0,7,4,4,1,1,1,0,4.32,17,76,45,10,3,4,11,8,2,0,29.0,,,0,0,0,15,2,0,0,0,0,0,0.71,-0.231,0.68,-0.13%,-2.38,-4.05,0.0,1b start tie,3b 3 out d4,,PHI,2.6666666666666665,L,4,7
8,9,122,2019-08-15,ARI,SFG,6-7,,64,2.0,2,1,1,3,2,0,1,4.33,11,53,30,11,3,2,3,1,0,0,,0.0,0.0,0,0,0,7,1,0,0,1,0,0,0.15,-0.012,0.11,-0.01%,0.07,2.9,9.0,6t --- 0 out d5,7t 3 out d6,,ARI,2.5,L,0,7
9,10,138,2019-09-02,ARI,SDP,8-8,,17,0.2,3,3,3,3,1,0,0,5.2,8,35,19,6,2,3,1,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.04,-0.006,0.02,0.00%,-3.26,-6.1,-4.0,8t --- 0 out a10,8t 123 2 out a7,,ARI,30.0,W,14,7
10,11,146,2019-09-11,ARI,NYM,7-GF(8),,8,2.0,2,0,0,1,1,0,0,4.85,8,36,24,8,1,1,5,5,0,0,,0.0,0.0,0,0,0,7,1,0,0,1,0,0,0.0,0.0,0.0,0.00%,0.97,4.7,9.0,7b --- 0 out d9,8b end d 9,,NYM,1.5,L,0,9
11,12,152,2019-09-17,ARI,MIA,9-GF,,5,1.0,1,0,0,0,1,0,0,4.7,4,10,6,1,1,1,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.01,0.0,0.0,0.00%,0.54,3.65,6.0,9t --- 0 out d7,9t end d 7,,ARI,1.0,L,6,12
12,13,157,2019-09-23,ARI,STL,9-9,,5,0.1,1,2,2,2,0,0,0,5.23,4,22,10,3,1,1,1,1,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0.45,-0.054000000000000006,0.0,0.00%,-1.69,-5.05,-5.0,9t --- 0 out d2,9t 1-3 1 out d3,,ARI,30.0,L,7,9
13,14,158,2019-09-24,ARI,STL,15-17,,0,3.0,3,0,0,0,2,0,0,4.76,11,52,34,8,5,4,5,1,0,0,,0.0,0.0,0,0,0,11,0,0,0,1,0,0,2.74,0.43200000000000005,0.0,0.00%,1.6,8.95,15.0,15t --- 0 out tie,17t 3 out tie,,ARI,1.0,W,3,2
14,15,162,2019-09-29,ARI,SDP,6-8,,4,2.2,3,0,0,0,3,0,0,4.42,10,58,38,8,4,7,0,0,0,0,,0.0,0.0,0,1,0,10,1,0,0,0,0,0,1.64,0.2,0.0,0.00%,1.27,10.2,17.0,6t --- 0 out tie,8t -2- 2 out tie,,ARI,1.3636363636363635,W,1,0
