Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,84,2018-07-02,PIT,LAD,4-5,,99,2.0,8,6,5,2,1,0,0,22.50,16,48,28,8,4,4,9,8,1,0,,1,1,0,0,0,14,2,0,0,0,0,0,.05,-0.033,.03,-0.01%,-5.44,-9.50,-6.00,4b -2- 0 out d5,5b 3 out d12,,LAD,5.0,L,1,17
2,97,2018-07-15,PIT,MIL,10-GF(10),W(1-0),12,1.0,1,1,1,2,0,0,0,18.00,5,17,7,3,0,3,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,2.97,-0.312,1.75,-0.11%,-0.54,2.45,12.00,10t --- 0 out tie,10t end d 1,,PIT,3.0,W,7,6
3,144,2018-09-11,PIT,STL,7-7,,57,0.2,0,0,0,1,1,0,0,14.73,3,6,5,1,1,0,1,1,0,0,,3,1,0,0,0,2,0,0,1,0,0,0,.35,-0.002,.00,0.00%,0.53,2.90,5.00,7b 123 1 out d3,7b 3 out d4,,STL,5.0,L,5,11
4,154,2018-09-23,PIT,MIL,2-5,,11,3.2,2,1,1,1,0,0,0,8.59,13,36,25,9,2,9,3,1,1,0,,2,0,1,0,0,12,1,0,0,1,0,0,.19,0.009,.00,0.00%,1.26,4.45,8.00,2t 12- 1 out d6,5t 3 out d7,,PIT,0.9375,L,6,13
5,157,2018-09-26,PIT,CHC,5-6,,2,2.0,2,0,0,1,0,0,0,6.75,8,25,16,4,2,6,1,1,0,0,,0,0,0,0,0,6,0,0,1,1,0,0,.29,0.023,.00,0.00%,1.00,2.70,6.00,5b --- 0 out d4,6b 3 out d4,,CHC,1.5,L,6,7
6,161,2018-09-30,PIT,CIN,5-6,,3,2.0,2,2,1,1,4,1,1,6.35,11,39,27,4,8,2,3,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,1,1.21,-0.196,.00,0.00%,-1.01,8.10,15.00,5b --- 0 out d1,6b 3 out d1,,CIN,1.5,W,6,5
7,68,2019-06-10,OAK,TBR,GS-6,L(0-1),99,5.2,3,2,2,2,5,1,0,3.18,22,92,56,13,10,6,9,2,3,0,58,,,0,0,0,20,0,0,0,0,0,0,1.06,0.048,.85,0.02%,1.10,15.75,26.00,1b start tie,6b --- 2 out d2,,TBR,0.9615384615384615,L,2,6
8,73,2019-06-16,OAK,SEA,GS-6,,5,5.1,3,2,2,1,3,1,0,3.27,21,93,56,14,2,15,2,1,0,0,56,,,0,0,0,20,0,0,0,0,0,1,.92,0.116,.68,0.05%,0.87,11.60,19.00,1t start tie,6t --- 1 out a1,,OAK,0.7843137254901962,L,3,6
9,78,2019-06-21,OAK,TBR,GS-4,L(0-2),4,4.0,7,3,3,1,4,0,0,4.20,20,76,49,9,8,7,8,6,1,0,39,,,0,0,0,19,1,0,0,0,0,0,1.03,-0.133,1.17,-0.09%,-0.90,6.20,15.00,1t start tie,4t 3 out d2,,OAK,2.0,L,3,5
10,83,2019-06-27,OAK,LAA,GS-3,L(0-3),5,2.2,8,7,7,1,3,2,0,7.13,17,67,39,14,4,7,6,2,0,0,16,,,0,0,0,16,0,0,1,0,0,0,.82,-0.395,.97,-0.28%,-5.62,-7.40,-4.00,1b start tie,3b 1-- 2 out d6,,LAA,4.090909090909091,L,3,8
11,89,2019-07-04,OAK,MIN,GS-5,,6,4.2,9,2,1,2,3,0,0,6.04,25,95,60,9,6,7,12,5,3,0,41,,,1,1,1,22,1,0,0,0,0,0,1.20,-0.031,1.35,-0.02%,0.17,7.90,20.00,1t start tie,5t 12- 2 out d1,,OAK,2.619047619047619,W,7,2
