Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
19,126,2018-08-19,LAA,TEX,GS-5,,4,5.0,7,1,1,1,5,0,0,3.41,20,78,50,12,12,7,7,4,2,0,53,,,0,1,0,19,1,0,0,1,0,0,.86,0.194,.02,0.00%,1.81,14.45,27.00,1b start tie,5b 3 out a1,,TEX,1.6,L,2,4
20,130,2018-08-25,LAA,HOU,GS-3,L(8-8),5,3.0,5,4,4,2,1,0,0,3.67,15,72,42,11,3,3,9,3,4,0,32,,,0,0,0,13,4,0,0,0,0,0,.79,-0.250,.00,0.00%,-2.50,-3.45,0.00,1t start tie,3t 3 out d4,,LAA,2.3333333333333335,L,3,8
21,135,2018-08-31,LAA,HOU,GS-6,W(9-8),5,6.0,3,0,0,1,4,0,0,3.46,22,85,57,22,6,5,12,3,3,0,69,,,0,0,0,21,0,0,0,0,0,0,1.10,0.336,.00,0.00%,3.03,23.10,42.00,1b start tie,6b 3 out a3,,HOU,0.6666666666666666,W,3,0
22,140,2018-09-05,LAA,TEX,GS-5,W(10-8),4,5.0,2,0,0,3,5,0,0,3.30,19,79,46,13,8,4,7,3,0,0,65,,,0,0,0,16,0,0,0,1,0,0,1.00,0.206,.00,0.00%,2.81,22.25,42.00,1b start a 2,5b 3 out a6,,TEX,1.0,W,9,3
23,144,2018-09-10,LAA,TEX,GS-3,L(10-9),4,3.0,3,4,4,4,2,1,0,3.53,16,60,31,9,7,3,7,2,0,0,35,,,0,0,0,12,1,0,0,0,0,0,.72,-0.254,.00,0.00%,-2.50,-1.45,3.00,1t start tie,3t 3 out d4,,LAA,2.3333333333333335,L,2,5
24,150,2018-09-16,LAA,SEA,GS-5,,5,5.0,6,3,3,1,3,1,0,3.61,21,82,55,12,3,3,14,7,1,0,45,,,0,1,1,20,1,0,0,0,0,0,1.03,-0.073,.00,0.00%,-0.50,7.05,15.00,1t start tie,5t 3 out tie,,LAA,1.4,W,4,3
25,155,2018-09-22,LAA,HOU,GS-5,,5,5.0,4,1,1,3,3,0,1,3.54,21,96,58,14,8,2,12,5,1,0,55,,,0,1,0,17,1,0,0,0,0,0,1.05,0.123,.00,0.00%,1.53,10.45,21.00,1b start tie,5b 3 out d1,,HOU,1.4,L,5,10
26,160,2018-09-28,LAA,OAK,GS-5,,5,4.2,0,0,0,6,4,0,0,3.41,19,81,43,16,7,4,5,1,3,0,62,,,0,1,0,13,0,0,0,0,0,0,.55,0.171,.00,0.00%,2.07,14.90,26.00,1t start tie,5t 12- 2 out a5,,LAA,1.4285714285714286,W,8,5
27,13,2019-04-10,LAA,MIL,5-7,W(1-0),99,2.2,4,1,1,0,3,0,0,3.38,11,43,31,9,6,4,4,3,0,0,,0,0,0,0,0,11,1,0,0,1,0,0,1.07,0.062,.94,0.03%,0.38,11.60,26.00,5t --- 0 out a3,7t 1-- 2 out a2,,LAA,1.8181818181818181,W,4,2
28,17,2019-04-16,LAA,TEX,GS-6,L(1-1),5,5.0,6,4,4,2,3,1,0,5.87,22,79,51,13,8,6,11,5,0,0,40,,,0,0,1,20,2,0,0,0,0,0,.69,-0.061,.66,-0.04%,-0.34,4.45,12.00,1b start tie,6b 1-- 0 out d3,,TEX,1.6,L,0,5
29,22,2019-04-21,LAA,SEA,2-6,W(2-1),4,5.0,4,1,1,0,3,0,1,4.26,18,71,45,10,8,4,10,7,2,0,,0,0,0,0,0,17,2,0,0,0,0,0,.89,0.209,.64,0.09%,1.71,16.25,33.00,2t --- 0 out tie,6t 3 out a2,,LAA,0.8,W,8,6
30,28,2019-04-27,LAA,KCR,2-3,L(2-2),5,1.2,10,7,7,1,1,0,0,8.16,16,64,42,8,6,5,9,6,0,0,,0,0,0,0,0,15,2,1,0,0,0,0,1.07,-0.443,.71,-0.18%,-6.35,-14.85,-13.00,2b --- 0 out a1,3b 12- 2 out d6,,KCR,9.166666666666668,L,4,9
31,63,2019-06-06,LAA,OAK,5-GF,,39,5.0,3,1,1,2,6,1,0,6.52,21,92,62,16,11,3,10,1,1,0,,2,2,0,0,0,18,1,0,0,0,1,1,.33,-0.009,.22,0.00%,1.21,18.25,30.00,5t -23 0 out d3,9t end d 4,,LAA,1.0,L,4,7
32,81,2019-06-26,LAA,CIN,GS-5,,19,5.0,3,1,1,0,6,1,0,5.55,18,75,48,16,10,6,6,3,0,0,63,,,0,0,0,18,0,0,0,0,0,0,1.01,0.143,.63,0.05%,1.71,19.45,30.00,1t start tie,5t 3 out d1,,LAA,0.6,W,5,1
33,87,2019-07-03,LAA,TEX,GS-5,W(3-2),6,5.0,4,2,2,2,8,1,0,5.22,21,87,55,16,9,4,7,2,1,0,57,,,0,0,0,18,1,0,0,0,1,0,1.05,0.128,.59,0.04%,1.07,23.65,45.00,1b start tie,5b 3 out a2,,TEX,1.2,W,6,2
34,99,2019-07-19,LAA,SEA,3-6,L(3-3),15,3.2,9,10,10,4,4,2,0,7.36,23,80,45,12,7,6,9,7,1,0,,0,0,0,0,0,19,3,0,0,0,0,0,.47,-0.355,.20,-0.09%,-8.27,-11.55,-7.00,3b --- 0 out tie,6b -2- 2 out d10,,SEA,4.0625,L,0,10
35,103,2019-07-24,LAA,LAD,GS-5,W(4-3),4,5.0,3,1,1,2,3,1,0,6.63,20,93,56,20,10,6,9,3,2,0,58,,,0,0,0,18,0,0,0,0,0,0,.87,0.188,.45,0.06%,1.54,16.25,33.00,1b start a 1,5b 3 out a1,,LAD,1.0,W,3,2
36,108,2019-07-29,LAA,DET,GS-5,L(4-4),4,5.0,4,3,2,0,5,2,0,6.28,20,85,57,11,8,4,11,3,1,0,54,,,0,0,0,20,2,0,0,0,0,1,.64,-0.067,.23,-0.02%,-0.29,14.85,24.00,1t start tie,5t 3 out d3,,LAA,0.8,L,2,7
37,113,2019-08-04,LAA,CLE,GS-4,L(4-5),5,3.2,5,3,3,3,6,3,0,6.36,19,89,47,12,11,2,8,4,0,0,42,,,1,0,0,16,2,0,0,0,0,0,.71,-0.140,.12,-0.01%,-1.18,9.45,20.00,1b start tie,4b 12- 2 out d2,,CLE,2.5,L,2,6
38,117,2019-08-09,LAA,BOS,GS-5,L(4-6),4,5.0,6,5,5,0,3,2,0,6.62,21,99,57,16,4,8,10,2,1,0,38,,,0,0,0,21,3,0,0,0,0,0,.91,-0.274,.03,-0.01%,-2.10,3.65,9.00,1b start a 3,5b 3 out d2,,BOS,1.2,L,4,16
39,129,2019-08-20,LAA,TEX,GS-5,,10,5.0,5,2,2,1,4,1,0,6.35,21,77,48,8,9,6,10,4,1,0,52,,,0,0,0,20,1,0,0,0,0,0,.88,0.050,.01,0.00%,1.07,11.65,21.00,1b start tie,5b 3 out d2,2,TEX,1.2,L,2,3
40,133,2019-08-25,LAA,HOU,GS-6,L(4-7),4,5.1,3,2,2,3,4,0,0,6.10,21,90,49,12,7,5,9,3,4,0,55,,,0,0,0,18,1,0,0,0,0,0,.99,0.076,.00,0.00%,1.11,12.40,22.00,1b start tie,6b --- 1 out d1,,HOU,1.1764705882352942,L,2,11
41,139,2019-09-03,LAA,OAK,GS-4,,8,4.0,4,5,4,2,5,1,0,6.27,19,74,44,14,7,7,5,2,0,0,39,,,0,0,0,17,1,1,0,0,0,0,.81,-0.325,.00,0.00%,-2.90,7.40,15.00,1b start a 1,4b 3 out d2,,OAK,1.5,L,5,7
42,144,2019-09-08,LAA,CHW,1-5,L(4-8),4,4.1,4,2,2,1,2,2,0,6.14,18,70,42,13,5,7,8,3,2,0,,2,0,0,0,0,17,0,0,0,0,0,0,.87,0.019,.00,0.00%,0.67,6.75,13.00,1b 1-3 2 out tie,5b 3 out d2,,CHW,1.2195121951219514,L,1,5
43,149,2019-09-14,LAA,TBR,GS-6,L(4-9),5,5.1,3,2,2,2,4,0,0,5.95,20,89,52,20,5,5,9,4,0,0,56,,,0,0,0,18,0,0,0,1,0,0,.98,0.236,.00,0.00%,2.29,13.00,22.00,1t start tie,6t 12- 1 out tie,,LAA,0.9803921568627452,L,1,3
44,154,2019-09-20,LAA,HOU,GS-3,L(4-10),5,2.2,8,6,6,0,1,4,1,6.43,17,65,41,11,2,3,12,2,1,0,19,,,0,0,0,16,1,0,0,0,0,0,.40,-0.350,.00,0.00%,-4.77,-9.40,-7.00,1b start tie,3b 12- 2 out d5,,HOU,3.6363636363636362,L,4,6
45,159,2019-09-26,LAA,HOU,GS-5,,5,4.1,4,3,3,2,4,2,0,6.42,19,76,41,11,5,5,8,3,1,0,45,,,0,0,0,17,0,0,0,0,0,0,.87,-0.092,.00,0.00%,-0.58,8.15,16.00,1t start tie,5t --- 1 out tie,,LAA,1.4634146341463417,W,4,3
