Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
20,151,2017-09-20,STL,CIN,GS-5,W(7-1),5,5.0,5,2,2,0,7,0,0,2.05,20,87,57,15,10,5,8,7,1,0,56,,,0,0,0,20,1,0,0,0,0,0,.58,0.146,.34,0.05%,0.61,1b start a 1,5b 3 out a5,,CIN,1.0,W,9,2,,
21,156,2017-09-25,STL,CHC,GS-3,L(7-2),4,3.0,7,8,8,2,3,2,0,3.23,18,65,39,13,3,4,9,6,0,0,14,,,0,0,0,16,2,0,0,0,0,0,.79,-0.434,.65,-0.21%,-6.48,1t start tie,3t 3 out d7,,STL,3.0,L,2,10,,
22,161,2017-09-30,STL,MIL,GS-5,,4,4.2,9,6,6,4,4,1,0,3.88,27,96,61,18,6,7,12,7,2,0,22,,,0,0,0,22,1,0,1,0,1,0,.95,-0.282,.00,0.00%,-3.91,1t start tie,5t 12- 2 out d2,,STL,3.095238095238095,W,7,6,,
23,3,2018-04-01,STL,NYM,GS-5,W(1-0),99,5.0,5,1,1,3,3,0,0,1.80,22,92,50,13,2,6,10,2,1,0,53,,,0,0,1,18,1,0,0,0,0,0,1.10,0.137,.95,0.07%,1.22,1b start tie,5b 3 out a3,,NYM,1.6,W,5,1,14.45,33.00
24,9,2018-04-08,STL,ARI,GS-7,,6,6.1,3,1,1,1,7,0,0,1.59,22,97,60,21,13,7,7,2,1,0,69,,,0,0,0,21,0,0,0,0,0,0,1.01,0.345,.96,0.20%,2.78,1t start tie,7t 1-- 1 out a1,,STL,0.6557377049180328,L,1,4,23.85,37.00
25,14,2018-04-13,STL,CIN,GS-7,W(2-0),4,6.0,4,2,2,1,7,1,0,2.08,23,99,64,20,7,9,6,1,2,0,62,,,0,0,0,22,0,0,0,0,0,0,.91,0.238,.87,0.14%,0.96,1b start tie,7b --- 0 out a3,,CIN,0.8333333333333334,W,5,3,24.50,45.00
26,18,2018-04-19,STL,CHC,GS-4,L(2-1),5,4.0,9,6,6,1,3,0,1,4.22,23,85,57,11,11,10,8,4,1,0,22,,,0,0,0,19,0,1,0,0,1,0,.76,-0.390,.94,-0.29%,-3.99,1b start a 1,4b 3 out d5,,CHC,2.5,L,5,8,-3.60,3.00
27,22,2018-04-24,STL,NYM,GS-5,,4,4.2,2,4,4,6,4,1,0,4.85,21,95,50,8,11,4,7,4,1,0,42,,,0,0,0,15,0,1,0,0,0,0,1.02,-0.201,1.18,-0.14%,-1.87,1t start tie,5t 1-- 2 out tie,,STL,1.9047619047619047,L,5,6,5.70,14.00
28,27,2018-04-29,STL,PIT,GS-6,L(2-2),4,5.1,6,4,4,2,6,0,0,5.17,24,101,65,22,8,5,11,7,0,0,44,,,0,0,0,22,0,0,0,0,0,0,1.16,-0.050,1.53,-0.04%,-0.36,1b start tie,6b 1-3 1 out d2,,PIT,1.5686274509803924,L,0,5,11.20,22.00
29,31,2018-05-05,STL,CHC,GS-4,,5,4.0,6,4,4,1,2,0,0,5.60,20,75,46,15,4,7,10,5,3,0,35,,,0,0,0,18,0,0,0,0,0,0,.95,-0.251,1.31,-0.21%,-2.13,1t start tie,4t 3 out d4,,STL,1.75,W,8,6,0.80,6.00
30,36,2018-05-11,STL,SDP,GS-5,W(3-2),5,5.0,4,0,0,1,4,0,0,4.91,20,92,60,13,7,7,8,4,2,0,62,,,0,0,0,19,1,0,0,0,0,0,.69,0.132,.82,0.09%,2.25,1b start tie,5b 3 out a7,,SDP,1.0,W,9,5,20.25,39.00
31,41,2018-05-17,STL,PHI,GS-7,L(3-3),5,7.0,4,1,1,1,6,1,0,4.37,25,97,62,20,14,10,8,2,2,0,70,,,0,0,0,24,0,0,0,1,0,0,.89,0.215,1.09,0.16%,2.28,1t start tie,7t 3 out d1,,STL,0.7142857142857143,L,2,6,22.75,36.00
32,46,2018-05-22,STL,KCR,GS-7,L(3-4),4,7.0,7,3,3,1,8,2,0,4.31,28,88,66,18,13,7,12,7,2,0,58,,,0,0,0,26,1,0,0,1,0,0,.94,-0.049,1.09,-0.03%,0.28,1t start tie,7t 3 out d2,,STL,1.1428571428571428,L,1,5,20.95,36.00
33,51,2018-05-28,STL,MIL,GS-4,L(3-5),5,4.0,4,4,2,2,3,1,0,4.32,18,76,42,11,8,5,8,4,1,0,43,,,0,0,0,16,1,0,0,0,0,1,.84,-0.191,1.21,-0.17%,-2.03,1b start tie,4b 3 out d4,,MIL,1.5,L,3,8,7.40,15.00
34,56,2018-06-02,STL,PIT,GS-5,,4,5.0,4,1,1,0,4,1,0,4.12,19,90,62,16,2,7,9,3,0,0,59,,,0,0,0,18,0,0,0,0,0,0,1.08,0.130,1.31,0.10%,1.34,1t start tie,5t 3 out tie,,STL,0.8,W,3,2,14.85,24.00
35,61,2018-06-08,STL,CIN,GS-6,,5,5.0,7,4,4,5,3,0,0,4.35,26,100,55,13,9,7,11,7,0,0,35,,,0,0,0,21,1,0,0,1,0,0,1.30,-0.063,1.48,-0.04%,-0.92,1b start a 1,6b 1-- 0 out a2,,CIN,2.4,W,7,6,2.05,12.00
36,66,2018-06-13,STL,SDP,GS-6,L(3-6),4,5.1,9,4,4,1,4,0,0,4.52,25,90,57,8,12,10,10,8,1,0,37,,,1,0,0,24,2,1,0,1,0,0,.72,-0.124,.88,-0.09%,-1.11,1t start tie,6t --3 1 out d3,,STL,1.9607843137254903,L,2,4,6.00,16.00
37,71,2018-06-19,STL,PHI,GS-5,,5,5.0,6,4,4,4,4,2,1,4.69,26,99,61,25,3,9,8,4,3,0,39,,,0,0,0,19,0,0,0,1,0,1,1.09,-0.230,1.23,-0.16%,-1.53,1b start tie,5b 3 out d2,,PHI,2.0,W,7,6,4.65,15.00
38,76,2018-06-24,STL,MIL,GS-6,W(4-6),4,5.2,5,2,2,2,9,1,0,4.59,25,104,75,23,14,3,11,5,1,0,58,,,0,0,0,23,2,0,0,0,0,1,.62,-0.017,.79,-0.01%,0.53,1b start a 1,6b 12- 2 out a6,,MIL,1.346153846153846,W,8,2,26.55,50.00
39,81,2018-06-30,STL,ATL,GS-5,L(4-7),5,4.2,10,8,8,2,5,2,0,5.16,26,91,63,16,11,5,13,7,1,1,15,,,0,0,0,24,3,0,1,0,0,0,.66,-0.279,.71,-0.18%,-6.08,1t start tie,5t 12- 2 out d8,,STL,2.857142857142857,L,4,11,-2.70,5.00
40,86,2018-07-05,STL,SFG,GS-8,W(5-7),4,8.0,2,2,2,0,7,1,0,4.92,26,93,65,17,8,5,14,5,1,0,77,,,0,0,0,26,0,0,0,0,0,0,.22,0.132,.21,0.08%,1.60,1b start a 4,8b 3 out a9,,SFG,0.25,W,11,2,30.80,51.00
41,91,2018-07-11,STL,CHW,GS-6,L(5-8),5,6.0,3,1,1,2,7,0,0,4.72,22,92,63,12,16,5,8,5,2,0,67,,,0,0,0,20,0,0,0,0,0,0,1.04,0.165,.99,0.09%,2.01,1b start tie,6b 3 out d1,,CHW,0.8333333333333334,L,0,4,22.50,36.00
42,97,2018-07-21,STL,CHC,GS-5,L(5-9),9,4.0,7,3,3,5,2,0,0,4.79,23,77,42,17,5,10,6,5,0,0,33,,,0,0,0,16,0,1,1,1,0,0,1.10,-0.158,1.12,-0.10%,-1.34,1b start tie,5b 1-3 0 out d1,1,CHC,3.0,L,2,7,-0.20,9.00
43,103,2018-07-27,STL,CHC,GS-6,W(6-9),5,6.0,8,2,2,0,5,2,0,4.70,25,81,57,17,8,9,11,4,1,0,53,,,0,0,0,25,1,0,0,0,0,0,.84,0.107,.60,0.05%,0.81,1t start tie,6t 3 out a3,,STL,1.3333333333333333,W,5,2,18.70,39.00
44,108,2018-08-01,STL,COL,GS-3,,4,2.2,5,2,2,2,3,0,0,4.75,15,74,47,13,6,5,5,2,1,0,41,,,0,0,0,13,1,0,0,0,0,0,1.18,-0.135,.73,-0.05%,-1.17,1t start tie,3t -23 2 out d2,,STL,3.1818181818181817,W,6,3,3.80,11.00
45,113,2018-08-06,STL,MIA,GS-6,L(6-10),4,6.0,7,2,2,0,5,1,0,4.66,24,88,62,12,10,11,8,5,1,0,55,,,0,0,0,24,2,0,0,1,0,0,.68,-0.003,.59,0.00%,0.73,1b start tie,6b 3 out d2,,MIA,1.1666666666666667,L,1,2,15.30,27.00
46,122,2018-08-16,STL,WSN,GS-4,L(6-11),9,3.2,7,4,2,1,1,0,0,4.67,20,71,42,9,8,7,11,5,3,0,35,,,0,0,0,19,1,0,0,0,0,1,1.15,-0.108,2.00,-0.11%,-0.87,1t start tie,4t 123 2 out d1,,STL,2.5,L,4,5,1.45,8.00
47,127,2018-08-21,STL,LAD,5-7,W(7-11),4,2.1,3,1,1,0,1,1,0,4.65,11,35,22,4,2,4,6,3,0,0,,0,0,0,0,0,11,0,0,0,0,0,1,1.57,0.109,3.16,0.13%,0.17,5b --- 0 out a2,7b --- 1 out a3,,LAD,1.4285714285714286,W,5,2,7.45,19.00
48,130,2018-08-25,STL,COL,8-GF(8),,3,0.2,1,0,0,0,1,0,0,4.63,4,15,10,1,3,3,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,1,.00,0.000,.01,0.00%,0.58,8b 1-- 1 out d8,8b end d 8,,COL,5.0,L,1,9,2.90,5.00
49,134,2018-08-30,STL,PIT,9-GF,,4,1.0,1,0,0,0,0,0,0,4.59,3,13,8,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.24,0.005,.42,0.01%,0.47,9t --- 0 out a5,9t end a 5,,STL,1.0,W,5,0,1.65,3.00
50,137,2018-09-02,STL,CIN,GS-4,,2,4.0,3,2,2,5,4,0,1,4.59,20,83,47,11,8,5,5,2,1,0,47,,,0,0,0,14,2,0,0,1,0,0,1.11,-0.052,1.81,-0.05%,-0.13,1t start tie,4t 3 out d2,,STL,2.0,L,4,6,7.60,18.00
51,145,2018-09-11,STL,PIT,9-9,,8,0.2,5,4,4,1,0,0,0,4.84,8,33,19,4,4,3,4,3,0,0,,0,0,0,0,0,7,4,0,0,0,0,0,.00,-0.001,.01,0.00%,-4.11,9t --- 0 out a10,9t -23 2 out a6,,STL,30.0,W,11,5,-10.10,-10.00
52,149,2018-09-15,STL,LAD,7-GF,,3,2.1,3,7,3,4,3,2,0,4.95,15,60,37,13,4,2,6,0,1,0,,1,0,0,0,0,11,1,0,0,0,0,1,.01,-0.005,.03,-0.01%,-5.85,7t 1-- 2 out d6,9t end d13,,STL,3.333333333333333,L,4,17,1.05,7.00
