,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
18,19,114,2018-08-08,PHI,ARI,5-5,,1,1.0,1,0,0,0,0,0,0,3.57,3,7,5,0,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.29,0.013000000000000001,0.51,0.01%,0.51,1.65,3.0,5b --- 0 out d4,5b 3 out d4,,ARI,1.0,L,0,6
19,20,116,2018-08-11,PHI,SDP,7-7,,2,0.0,1,1,1,1,0,0,0,3.97,2,10,4,3,0,0,1,1,0,0,,0,0,0,0,0,1,0,1,0,0,0,0,0.52,-0.065,0.94,-0.07%,-1.34,-3.2,-3.0,7b --- 0 out a5,7b 1-3 0 out a5,,SDP,inf,W,5,1
20,21,117,2018-08-12,PHI,SDP,8-8,,0,0.1,1,3,1,1,0,0,0,4.3,4,12,6,2,1,2,1,0,0,0,,0,0,1,0,0,1,0,0,0,0,1,0,0.07,-0.02,0.12,-0.02%,-2.19,-2.45,-2.0,8b --- 0 out d3,8b -2- 1 out d5,,SDP,20.0,L,3,9
21,22,119,2018-08-15,PHI,BOS,4-4,,2,1.0,0,0,0,0,1,0,0,4.13,3,15,10,5,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.37,0.027999999999999997,0.68,0.03%,0.49,4.25,6.0,4t --- 0 out d3,4t 3 out d3,,PHI,0.0,W,7,4
22,23,135,2018-09-01,PHI,CHC,8-GF,,16,2.0,3,2,0,0,2,0,0,3.81,10,28,22,5,4,2,6,5,0,0,,0,0,0,0,0,10,1,0,0,0,0,1,0.09,-0.004,0.19,0.00%,-1.01,6.7,12.0,8t --- 0 out d4,9t end d 6,,PHI,1.5,L,1,7
23,24,141,2018-09-08,PHI,NYM,5-5,,6,1.0,0,0,0,1,1,0,0,3.67,4,13,7,2,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.002,0.07,0.00%,0.44,3.65,6.0,5b --- 0 out d7,5b 3 out d7,,NYM,1.0,L,5,10
24,25,143,2018-09-11,PHI,WSN,9-GF,,2,1.0,1,0,0,0,0,0,0,3.54,3,14,9,1,3,1,2,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,0.13,0.008,0.13,0.01%,0.49,1.65,3.0,9t --- 0 out d3,9t end d 3,1.0,PHI,1.0,L,1,3
25,26,145,2018-09-12,PHI,WSN,6-7,,0,1.2,2,1,1,0,2,1,0,3.64,7,28,20,6,3,2,3,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,0.19,-0.039,0.09,-0.01%,-0.25,4.55,8.0,6t --- 1 out d3,7t 3 out d4,,PHI,1.6666666666666667,L,1,5
26,27,147,2018-09-15,PHI,MIA,4-5,,2,1.1,1,0,0,0,2,0,0,3.48,6,26,17,4,4,4,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,1,0.7,0.055999999999999994,0.19,0.01%,0.73,6.4,10.0,4t --- 0 out d2,5t --- 1 out d2,,PHI,0.9090909090909092,W,5,4
27,28,149,2018-09-17,PHI,NYM,9-GF,,1,0.2,1,1,1,0,0,1,0,3.69,3,19,11,2,3,1,2,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,0.21,-0.054000000000000006,0.08,-0.01%,-2.1,-1.1,-1.0,9t 12- 1 out d2,9t end d 5,,PHI,5.0,L,4,9
