,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
17,18,77,2018-06-24,,NYY,12-GF(12),W(7-3),1,1.0,0,0,0,1,0,0,0,3.96,4,11,6,1,1,3,0,0,0,0,,1.0,0.0,0,0,0,3,0,0,1,0,0,0,4.02,0.218,0.87,0.03%,0.88,5.65,15.0,12t 1-- 0 out tie,12t end tie,,TBR,1.0,W,7,6
18,19,80,2018-06-28,,HOU,2-8,L(7-4),3,6.1,7,1,1,1,4,1,1,3.76,25,95,62,18,6,8,11,6,0,0,,1.0,0.0,0,1,0,23,0,0,0,2,0,0,1.07,0.21,0.29,0.03%,2.2,14.85,28.0,2t 1-- 2 out tie,8t 3 out d1,,TBR,1.3114754098360657,L,0,1
19,20,85,2018-07-03,,MIA,GS-3,,4,3.0,4,2,2,1,3,0,0,3.84,14,46,33,11,1,5,5,5,0,0,45.0,,,0,0,0,13,1,0,1,0,0,0,1.03,-0.012,0.24,0.00%,-0.64,5.75,12.0,1b start a 2,3b 3 out a2,,MIA,1.6666666666666667,W,9,6
20,21,87,2018-07-06,,NYM,3-4,,2,2.0,1,1,0,2,3,0,0,3.75,10,35,22,8,5,3,2,1,1,0,,0.0,0.0,0,0,0,8,0,0,0,0,0,1,1.18,-0.04,0.19,0.00%,-0.11,8.7,15.0,3b --- 0 out tie,4b 3 out d1,,NYM,1.5,L,1,5
21,22,92,2018-07-11,,DET,5-7,W(8-4),4,3.0,1,0,0,0,4,0,0,3.62,10,38,29,13,3,2,4,4,0,0,,0.0,0.0,0,0,0,10,1,0,0,0,0,0,0.78,0.162,0.18,0.02%,1.49,18.15,33.0,5t --- 0 out d1,7t 3 out d1,,TBR,0.3333333333333333,W,4,2
22,23,94,2018-07-13,,MIN,6-6,,1,1.0,2,1,1,0,1,0,0,3.68,4,14,9,4,1,1,2,2,0,0,,1.0,1.0,0,0,0,4,1,0,0,0,0,0,0.77,-0.094,0.16,-0.01%,-0.86,1.05,3.0,6b -2- 0 out d1,6b 3 out d3,,MIN,2.0,L,8,11
23,24,96,2018-07-15,,MIN,4-6,H(1),1,1.2,1,0,0,1,2,0,1,3.61,8,35,22,6,5,3,1,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,1.01,0.015,0.2,0.00%,0.21,5.95,11.0,4b --- 2 out a2,6b 12- 1 out a3,,MIN,1.6666666666666667,L,7,11
24,25,98,2018-07-21,,MIA,2-5,L(8-5),5,4.0,2,2,2,2,3,0,0,3.65,16,69,45,11,5,4,7,1,2,0,,0.0,0.0,0,0,0,14,1,0,0,0,0,0,1.02,-0.038,0.15,0.00%,-0.02,8.6,15.0,2t --- 0 out tie,5t 3 out d1,,TBR,1.0,L,2,3
25,26,103,2018-07-26,,BAL,2-6,W(9-5),4,4.1,6,2,2,2,0,1,0,3.67,21,92,61,15,3,6,13,4,0,0,,2.0,0.0,0,0,0,19,2,0,0,0,0,0,1.37,0.02,0.17,0.00%,0.44,4.95,19.0,2b 12- 2 out tie,6b 3 out tie,,BAL,1.951219512195122,W,4,3
26,27,107,2018-07-31,,LAA,2-7,W(10-5),4,5.0,9,6,6,0,4,2,1,4.02,25,91,63,18,8,6,14,8,2,0,,0.0,0.0,0,0,0,24,2,0,0,0,0,0,0.65,0.036000000000000004,0.05,0.00%,-3.52,5.25,21.0,2t --- 0 out tie,7t --- 0 out a4,,TBR,1.8,W,10,6
