Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,62,2019-06-08,TEX,OAK,8-GF,,99,2.0,1,0,0,2,0,0,0,0.00,8,33,20,7,2,5,1,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.20,0.026,.19,0.01%,1.23,2.70,6.00,8t --- 0 out a5,9t end a 5,1,TEX,1.5,W,10,5
2,86,2019-07-03,TEX,LAA,7-9,,24,2.2,4,0,0,0,3,0,0,0.00,11,41,28,9,5,5,3,2,0,0,,0,0,0,0,0,11,1,0,0,1,0,0,.19,0.033,.21,0.02%,1.57,9.60,17.00,7t --- 0 out d4,9t 1-- 2 out d4,,TEX,1.8181818181818181,L,2,6
3,93,2019-07-13,TEX,HOU,6-6,,9,0.1,2,1,1,1,1,0,0,1.80,4,17,12,4,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.95,-0.128,2.52,-0.10%,-1.08,-1.05,1.00,6t --- 0 out tie,6t 123 1 out tie,,TEX,30.0,L,6,7
4,94,2019-07-14,TEX,HOU,5-5,,0,1.0,0,0,0,1,2,0,1,1.50,5,28,16,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.68,0.036,.77,0.02%,0.61,5.05,9.00,5t --- 0 out d3,5t 3 out d3,,TEX,1.0,L,4,12
5,95,2019-07-16,TEX,ARI,9-GF,,1,0.2,0,0,0,0,0,0,0,1.35,2,4,4,2,0,1,1,0,0,0,,1,1,0,0,0,1,0,0,0,0,1,0,.00,-0.001,.00,0.00%,0.03,1.50,2.00,9t --3 1 out d6,9t end d 7,,TEX,0.0,L,2,9
6,96,2019-07-17,TEX,ARI,3-4,,0,2.0,3,2,2,1,2,0,1,3.12,11,40,22,8,1,3,4,3,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.03,-0.011,.02,0.00%,-0.77,1.50,6.00,3t --- 0 out d9,4t 3 out d11,,TEX,2.0,L,4,19
7,98,2019-07-20,TEX,HOU,6-6,,2,1.0,2,1,1,0,0,1,0,3.72,5,17,12,4,0,3,2,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.16,-0.018,.09,-0.01%,-0.43,-0.95,0.00,6b --- 0 out d4,6b 3 out d5,,HOU,2.0,L,1,6
8,100,2019-07-22,TEX,SEA,8-8,,1,0.1,2,1,1,0,1,1,0,4.50,3,8,7,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,-0.007,.01,0.00%,-1.02,-0.45,1.00,8b --- 0 out d4,8b 1-- 1 out d5,,SEA,20.0,L,3,7
9,107,2019-07-30,TEX,SEA,8-9,,7,1.2,1,0,0,1,4,0,0,3.86,8,35,20,8,4,1,2,1,0,0,,0,0,1,0,0,7,0,0,0,0,0,1,.32,0.025,.07,0.00%,0.73,10.55,17.00,8t --- 0 out d3,9t 12- 2 out d3,,TEX,1.6666666666666667,L,5,8
10,125,2019-08-19,TEX,LAA,6-6,,19,1.0,0,0,0,0,1,0,0,3.55,3,13,8,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.59,0.048,.00,0.00%,0.61,4.25,6.00,6t --- 0 out d2,6t 3 out d2,,TEX,0.0,W,8,7
11,126,2019-08-20,TEX,LAA,2-5,,0,3.1,2,2,2,3,4,1,0,3.94,15,60,37,13,5,3,5,0,0,0,,0,0,1,0,0,12,0,0,0,0,0,0,.62,-0.008,.00,0.00%,-0.03,8.50,16.00,2t --- 2 out d3,5t 3 out d5,1,TEX,1.6129032258064515,L,1,5
