Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
19,63,2018-06-06,LAA,KCR,8-8,H(9),2,0.2,2,2,2,2,1,0,0,3.72,6,29,13,4,5,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.46,-0.184,1.47,-0.11%,-2.00,-2.90,-1.00,8t --- 0 out a3,8t 1-3 2 out a1,,LAA,20.0,W,4,3
20,65,2018-06-09,LAA,MIN,8-8,H(10),2,1.0,1,0,0,0,1,0,0,3.54,4,17,11,2,0,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.02,0.144,2.15,0.09%,0.52,3.65,6.00,8b --- 0 out a1,8b 3 out a1,,MIN,1.0,W,2,1
21,68,2018-06-12,LAA,SEA,7-7,,2,1.0,0,0,0,1,0,0,0,3.38,3,12,6,3,1,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,.62,0.050,.78,0.04%,1.10,1.65,3.00,7b -2- 0 out d2,7b 3 out d2,,SEA,1.0,L,3,6
22,69,2018-06-13,LAA,SEA,5-6,,0,1.0,3,0,0,0,2,0,0,3.22,5,27,17,6,4,0,3,2,0,0,,0,0,0,1,0,5,0,0,0,0,0,0,1.25,-0.080,1.40,-0.05%,-0.50,4.45,9.00,5b --- 0 out d1,6b 12- 0 out tie,,SEA,3.0,L,6,8
23,70,2018-06-15,LAA,OAK,9-GF,,1,1.0,2,1,1,1,1,0,0,3.47,6,28,14,5,2,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.43,0.008,.36,0.00%,-0.51,0.45,3.00,9b --- 0 out a5,9b end a 4,,OAK,3.0,W,8,4
24,73,2018-06-18,LAA,ARI,6-7,,2,1.2,3,0,0,0,3,0,0,3.24,8,27,21,4,5,4,1,1,0,0,,1,0,0,0,0,8,0,0,0,0,0,0,.34,0.027,.21,0.01%,1.03,7.95,14.00,6t 1-- 1 out d4,7t 3 out d4,,LAA,2.5,L,4,7
25,74,2018-06-19,LAA,ARI,7-7,H(11),0,0.1,0,0,0,1,1,0,0,3.20,2,9,4,2,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.18,0.020,.63,0.01%,0.23,2.15,4.00,7t 1-- 2 out a3,7t 3 out a3,,LAA,10.0,W,5,4
26,75,2018-06-21,LAA,TOR,9-GF,S(3),1,1.0,1,0,0,0,1,0,0,3.08,3,17,9,3,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.81,0.033,.51,0.01%,0.50,3.65,6.00,9t --- 0 out a3,9t end a 3,,LAA,1.0,W,8,5
27,77,2018-06-23,LAA,TOR,9-9,L(1-2),1,0.2,3,3,3,1,0,1,0,4.00,5,28,15,5,4,0,4,3,0,0,,0,0,0,1,0,4,0,0,0,0,0,0,2.82,-0.461,2.19,-0.21%,-2.60,-6.90,-7.00,9t --- 0 out tie,9t --- 2 out d3,,LAA,20.0,L,1,4
28,81,2018-06-27,LAA,BOS,6-6,,3,1.0,0,0,0,0,0,0,0,3.86,3,8,5,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.40,0.032,.19,0.01%,0.53,2.25,3.00,6b --- 0 out d2,6b 3 out d2,,BOS,0.0,L,6,9
29,84,2018-06-30,LAA,BAL,7-8,W(2-2),2,1.1,0,0,0,0,1,0,0,3.68,4,20,11,2,1,2,1,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,.59,0.049,.18,0.01%,0.73,9.00,19.00,7b 1-- 2 out d1,8b 3 out a4,,BAL,0.0,W,6,2
30,87,2018-07-04,LAA,SEA,8-8,,3,1.0,2,1,1,0,3,0,0,3.86,5,24,16,5,6,0,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.92,0.008,.26,0.00%,-0.52,5.05,9.00,8b --- 0 out a4,8b 3 out a3,,SEA,2.0,W,7,4
31,89,2018-07-06,LAA,LAD,8-8,,1,1.0,0,0,0,0,1,0,0,3.73,3,13,8,1,4,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.68,0.052,.13,0.01%,0.50,4.25,6.00,8t --- 0 out d1,8t 3 out d1,,LAA,0.0,W,3,2
32,91,2018-07-08,LAA,LAD,9-GF,S(4),1,1.0,1,0,0,0,1,0,0,3.62,3,14,10,2,4,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.95,0.162,.54,0.02%,0.50,3.65,6.00,9t --- 0 out a1,9t end a 1,,LAA,1.0,W,4,3
33,95,2018-07-13,LAA,LAD,7-GF(8),,4,1.2,0,0,0,2,2,0,0,3.44,7,24,13,7,3,2,1,0,0,0,,1,0,0,0,0,5,0,0,1,0,0,0,.87,0.118,.18,0.02%,1.39,6.55,11.00,7b --3 1 out d1,8b end d 1,,LAD,1.6666666666666667,L,2,3
34,96,2018-07-14,LAA,LAD,7-7,H(12),0,0.2,0,0,0,0,1,0,0,3.38,2,7,6,3,1,0,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.21,0.111,.39,0.01%,0.50,3.50,5.00,7b 1-- 1 out a1,7b 3 out a1,,LAD,0.0,W,5,4
35,100,2018-07-22,LAA,HOU,7-7,H(13),7,0.1,0,0,0,0,0,0,0,3.34,1,1,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.90,0.026,.10,0.00%,0.32,0.75,1.00,7t -2- 2 out a3,7t 3 out a3,,LAA,0.0,W,14,5
36,101,2018-07-23,LAA,CHW,7-8,,0,1.2,0,0,0,1,1,0,0,3.19,6,22,14,4,2,3,1,1,0,0,,1,0,1,0,0,5,0,0,0,0,0,0,.70,0.064,.08,0.00%,1.03,5.15,8.00,7t 1-- 1 out d2,8t 3 out d2,,LAA,0.8333333333333334,L,3,5
37,104,2018-07-26,LAA,CHW,7-8,H(14),2,0.2,2,1,1,2,1,0,0,3.38,6,23,9,2,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.52,-0.017,.10,0.00%,-0.73,-0.90,2.00,7t --- 1 out a1,8t 12- 0 out a4,,LAA,20.0,W,12,8
38,107,2018-07-29,LAA,SEA,7-8,,2,1.2,1,0,0,1,1,0,0,3.23,6,22,11,3,2,3,1,1,0,0,,1,0,1,0,0,5,0,0,0,1,0,0,.29,0.020,.06,0.00%,1.18,4.55,8.00,7t -2- 1 out d6,8t 3 out d3,,LAA,1.6666666666666667,L,5,8
39,108,2018-07-31,LAA,TBR,8-GF(8),,1,1.0,2,0,0,0,0,0,0,3.15,4,21,11,2,4,2,2,1,1,0,,0,0,0,0,1,4,0,0,0,0,0,0,.07,0.003,.01,0.00%,0.50,1.05,3.00,8b --- 0 out d4,8b end d 4,,TBR,2.0,L,6,10
40,111,2018-08-03,LAA,CLE,7-7,W(3-2),2,1.0,0,0,0,0,1,0,0,3.07,3,12,7,2,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.090,.06,0.00%,0.53,8.25,18.00,7b --- 0 out tie,7b 3 out tie,,CLE,0.0,W,7,4
41,114,2018-08-06,LAA,DET,9-GF,,2,1.0,0,0,0,0,2,0,0,3.00,3,15,9,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.015,.00,0.00%,0.50,6.25,9.00,9t --- 0 out a4,9t end a 4,,LAA,0.0,W,6,2
42,117,2018-08-10,LAA,OAK,8-9,H(15),3,1.1,0,0,0,0,4,0,0,2.91,4,21,13,5,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.91,0.194,.12,0.01%,0.74,11.00,16.00,8t --- 0 out a1,9t --- 1 out a1,,LAA,0.0,W,4,3
43,120,2018-08-13,LAA,SDP,8-8,,2,0.2,0,0,0,0,1,0,0,2.86,2,10,5,2,2,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.88,0.102,.05,0.00%,0.48,3.50,5.00,8b 1-- 1 out tie,8b 3 out tie,,SDP,0.0,W,6,3
44,121,2018-08-14,LAA,SDP,9-GF,,0,1.0,0,0,0,0,2,0,0,2.80,3,14,8,4,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.015,.00,0.00%,0.45,6.25,9.00,9b --- 0 out a4,9b end a 4,,SDP,0.0,W,7,3
45,123,2018-08-16,LAA,TEX,8-8,BL(3-3),1,0.2,1,4,4,3,2,0,1,3.55,7,29,10,5,3,0,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,4.33,-0.455,.20,-0.01%,-2.25,-5.50,-4.00,8b --- 0 out a2,8b 123 2 out tie,,TEX,20.0,L,6,8
46,127,2018-08-21,LAA,ARI,8-8,,4,1.0,0,0,0,2,0,0,0,3.47,5,22,10,4,0,0,3,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.42,0.108,.04,0.00%,0.51,1.05,3.00,8b --- 0 out tie,8b 3 out tie,,ARI,2.0,L,4,5
47,130,2018-08-25,LAA,HOU,7-7,,3,1.0,0,0,0,0,0,0,1,3.40,4,18,11,3,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.20,0.056,.00,0.00%,0.50,1.65,3.00,7t --- 0 out d1,7t 3 out d1,,LAA,0.0,L,3,8
48,132,2018-08-27,LAA,COL,7-8,H(16),1,0.2,1,1,1,1,1,0,0,3.54,4,19,10,3,0,2,0,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,1.17,-0.046,.00,0.00%,-0.44,0.30,2.00,7t --3 1 out a3,8t 1-- 0 out a2,,LAA,10.0,W,10,7
49,134,2018-08-30,LAA,HOU,8-8,,2,1.0,0,0,0,1,0,0,0,3.47,3,14,6,3,0,1,1,0,1,0,,0,0,0,0,0,2,0,0,0,1,0,0,.34,0.015,.00,0.00%,0.51,1.65,3.00,8b --- 0 out a5,8b 3 out a5,,HOU,1.0,W,5,2
50,135,2018-08-31,LAA,HOU,7-7,H(17),0,1.0,0,0,0,0,1,0,0,3.40,3,12,9,2,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,1,1.49,0.055,.00,0.00%,0.51,4.25,6.00,7b --- 0 out a3,7b 3 out a3,,HOU,0.0,W,3,0
51,138,2018-09-03,LAA,TEX,7-7,H(18),2,0.1,0,0,0,1,1,0,0,3.38,2,12,6,2,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,4.40,0.111,.00,0.00%,0.64,2.15,4.00,7b -23 2 out a2,7b 3 out a2,,TEX,10.0,W,3,1
52,142,2018-09-08,LAA,CHW,8-8,H(19),4,1.0,0,0,0,1,1,0,0,3.31,3,14,8,3,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.03,0.051,.00,0.00%,0.50,3.65,6.00,8b --- 0 out a3,8b 3 out a3,,CHW,1.0,W,12,3
53,145,2018-09-11,LAA,TEX,6-6,H(20),2,1.0,0,0,0,0,1,0,0,3.25,3,19,11,2,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.05,0.080,.00,0.00%,0.50,4.25,6.00,6t --- 0 out a1,6t 3 out a1,,LAA,0.0,W,1,0
54,149,2018-09-15,LAA,SEA,6-6,H(21),3,1.0,2,1,1,1,1,0,0,3.35,6,20,10,3,1,3,1,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.53,-0.040,.00,0.00%,-0.50,0.45,3.00,6t --- 0 out a2,6t 3 out a1,,LAA,3.0,L,5,6
55,150,2018-09-16,LAA,SEA,8-8,H(22),0,1.0,1,0,0,0,0,0,0,3.29,3,11,5,2,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.23,0.121,.00,0.00%,0.50,1.65,3.00,8t --- 0 out a1,8t 3 out a1,,LAA,1.0,W,4,3
56,151,2018-09-18,LAA,OAK,8-8,,1,0.1,2,3,3,2,1,0,0,3.76,5,25,11,4,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.75,-0.119,.00,0.00%,-2.07,-5.65,-5.00,8b --- 0 out a5,8b 123 1 out a4,,OAK,40.0,W,9,7
57,155,2018-09-22,LAA,HOU,8-8,,3,0.1,0,2,2,2,0,0,0,4.07,3,13,3,1,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,.85,-0.033,.00,0.00%,-0.41,-4.45,-5.00,8b --- 0 out a4,8b 12- 1 out a4,,HOU,20.0,L,5,10
58,3,2019-03-30,LAA,OAK,6-7,,99,1.1,1,0,0,0,0,0,0,0.00,5,15,9,1,0,3,2,2,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.14,0.016,.15,0.01%,0.98,2.40,4.00,6b 12- 2 out d4,7b 3 out d4,,OAK,0.9090909090909091,L,2,4
59,5,2019-04-01,LAA,SEA,5-6,,1,1.0,1,0,0,2,1,0,0,0.00,6,20,8,1,1,1,2,1,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.55,0.019,1.56,0.01%,0.24,2.45,6.00,5b 12- 1 out d1,6b 1-3 1 out d1,,SEA,3.0,L,3,6
60,6,2019-04-02,LAA,SEA,7-7,,0,1.0,0,0,0,0,1,0,0,0.00,3,12,7,1,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.089,1.08,0.05%,0.51,4.25,6.00,7b --- 0 out tie,7b 3 out tie,,SEA,0.0,L,1,2
61,8,2019-04-05,LAA,TEX,5-6,W(1-0),2,1.1,0,0,0,1,1,0,0,0.00,5,26,12,2,2,1,2,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.16,0.110,.87,0.05%,0.79,8.40,19.00,5t 1-- 2 out tie,6t 3 out tie,,LAA,0.9090909090909091,W,3,1
62,10,2019-04-07,LAA,TEX,5-5,W(2-0),1,1.0,0,0,0,0,2,0,0,0.00,3,14,8,2,2,0,1,1,0,0,,3,0,0,0,0,3,0,0,0,0,0,0,3.44,0.284,3.03,0.15%,2.39,10.25,21.00,5t 123 0 out a2,5t 3 out a2,,LAA,0.0,W,7,2
63,24,2019-04-23,LAA,NYY,6-7,,15,1.0,2,2,2,1,3,0,0,2.70,6,26,15,3,7,1,1,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.42,-0.051,.27,-0.02%,-1.81,2.45,6.00,6t --- 0 out d3,7t 1-3 0 out d4,,LAA,3.0,L,5,7
64,26,2019-04-25,LAA,NYY,5-5,,1,1.0,1,0,0,0,1,0,0,2.35,4,21,15,0,2,0,3,2,1,0,,3,2,1,0,0,4,0,0,0,0,0,0,1.02,-0.008,.55,0.00%,0.39,3.65,6.00,5t 123 0 out d2,5t 3 out d4,,LAA,1.0,W,11,5
