Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
19,143,2018-09-09,STL,DET,7-7,H(9),3,0.1,0,0,0,1,0,0,0,3.26,2,9,4,1,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.54,0.032,2.61,0.03%,0.33,0.15,1.00,7b -2- 2 out a3,7b 3 out a3,,DET,10.0,W,5,2
20,148,2018-09-14,STL,LAD,7-7,,4,1.0,1,1,0,0,1,0,1,3.10,4,14,9,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.60,-0.093,3.71,-0.13%,-0.53,3.05,6.00,7t --- 0 out d1,7t 3 out d2,,STL,1.0,L,0,3
21,151,2018-09-17,STL,ATL,6-7,H(10),2,1.2,3,1,1,0,1,0,0,3.27,8,29,18,2,4,2,5,2,1,0,,2,2,0,0,0,7,1,0,0,0,1,0,1.76,-0.052,3.35,-0.06%,-1.12,1.95,5.00,6b -23 1 out a4,7b 3 out a1,,ATL,2.5,W,11,6
22,154,2018-09-21,STL,SFG,6-6,H(11),3,1.0,0,0,0,0,3,0,0,3.13,3,11,9,3,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.05,0.078,1.65,0.07%,0.47,8.25,12.00,6t --- 0 out a1,6t 3 out a1,,STL,0.0,W,5,3
23,155,2018-09-22,STL,SFG,7-8,,0,1.2,1,0,0,1,0,0,0,2.92,7,21,14,5,0,3,3,0,2,0,,2,1,0,0,0,6,0,0,0,0,0,0,1.38,0.084,2.20,0.08%,0.62,2.55,5.00,7t 1-3 1 out d1,8t 3 out tie,,STL,1.6666666666666667,W,5,4
24,157,2018-09-24,STL,MIL,6-6,,1,0.2,0,0,0,1,0,0,0,2.84,2,10,3,1,1,0,1,0,0,0,,3,2,0,0,0,0,0,0,0,0,1,0,3.20,-0.114,6.14,-0.13%,-0.47,0.90,2.00,6t 123 1 out tie,6t 3 out d2,,STL,5.0,L,4,6
25,159,2018-09-26,STL,MIL,5-6,,1,1.2,1,0,0,1,2,0,0,2.67,8,36,21,5,2,4,1,1,0,0,,1,1,0,0,0,7,0,0,0,0,0,1,1.11,-0.042,3.04,-0.07%,-0.04,6.55,11.00,5t 1-- 1 out tie,6t 3 out d1,,STL,1.6666666666666667,L,1,2
26,162,2018-09-30,STL,CHC,6-6,,3,0.1,1,0,0,1,1,0,0,2.63,4,14,9,3,1,2,0,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,1,.20,-0.033,.00,0.00%,-1.56,1.55,4.00,6b 12- 2 out d4,6b 3 out d6,,CHC,20.0,L,5,10
27,3,2019-03-30,STL,MIL,GS-5,L(0-1),99,4.1,7,4,3,2,6,3,0,6.23,23,88,51,17,9,10,5,2,0,0,39,,,0,0,0,21,0,0,0,0,0,1,.71,-0.245,.75,-0.15%,-2.27,10.35,22.00,1b start tie,5b 12- 1 out d2,,MIL,2.1951219512195124,L,2,4
28,6,2019-04-03,STL,PIT,10-GF(10),S(1),3,0.2,0,0,0,1,0,0,0,5.40,3,12,6,2,1,1,1,0,1,0,,3,1,0,0,0,2,0,0,0,0,0,0,9.03,0.332,9.42,0.21%,0.58,0.90,2.00,10b 123 1 out a2,10b end a 1,,PIT,5.0,W,5,4
29,11,2019-04-09,STL,LAD,GS-5,,5,4.2,6,0,0,4,4,0,0,2.79,23,100,59,23,12,9,6,4,1,0,52,,,0,0,0,19,1,0,1,0,0,0,1.21,0.175,1.18,0.10%,1.81,12.50,26.00,1t start tie,5t 123 2 out a3,,STL,2.380952380952381,W,4,0
30,16,2019-04-15,STL,MIL,GS-4,,5,3.2,8,6,6,3,3,2,0,6.08,21,79,47,12,7,9,6,6,0,0,21,,,0,0,0,18,1,0,1,1,0,0,.91,-0.429,1.19,-0.34%,-4.38,-4.35,2.00,1b start a 2,4b 1-3 2 out d3,,MIL,3.4375,L,7,10
31,21,2019-04-21,STL,NYM,GS-5,W(1-1),5,5.0,5,3,3,2,5,3,0,5.89,23,89,54,11,12,8,8,2,0,0,48,,,0,0,0,21,0,0,0,0,0,1,.96,0.020,1.01,0.01%,-0.41,15.05,33.00,1t start tie,5t 3 out a3,,STL,1.4,W,6,4
32,26,2019-04-27,STL,CIN,GS-6,W(2-1),5,5.2,7,3,3,1,1,0,0,5.63,23,79,47,12,5,10,11,8,0,0,43,,,0,0,0,20,1,0,0,1,1,0,1.10,0.004,1.46,0.00%,-0.22,7.95,23.00,1t start tie,6t -2- 2 out a2,,STL,1.5384615384615383,W,6,3
33,31,2019-05-02,STL,WSN,GS-6,L(2-2),4,6.0,4,2,1,2,7,0,0,4.80,24,98,60,16,15,9,6,2,3,0,63,,,0,0,0,22,0,0,0,1,0,1,.96,0.078,1.23,0.06%,1.37,21.90,36.00,1b start tie,6b 3 out d1,,WSN,1.0,L,1,2
34,36,2019-05-07,STL,PHI,GS-5,L(2-3),4,5.0,7,8,2,3,3,1,0,4.63,26,79,44,16,3,17,3,2,0,0,33,,,0,0,0,23,1,0,0,1,0,1,.63,-0.370,.79,-0.28%,-5.41,7.25,18.00,1t start tie,5t 3 out d8,,STL,2.0,L,1,11
35,41,2019-05-12,STL,PIT,GS-6,,4,6.0,9,3,3,2,2,0,1,4.61,28,84,61,17,4,14,9,5,1,0,42,,,0,0,0,25,1,0,0,1,0,0,1.00,0.010,1.20,0.01%,0.11,4.30,15.00,1t start tie,6t 3 out a3,,STL,1.8333333333333333,L,6,10
36,46,2019-05-18,STL,TEX,GS-6,W(3-3),5,6.0,5,2,2,2,5,0,0,4.40,25,87,54,14,10,10,8,3,1,0,57,,,0,0,0,23,1,0,0,0,0,0,.92,0.236,.87,0.13%,1.68,19.30,39.00,1b start tie,6b 3 out a5,,TEX,1.1666666666666667,W,8,2
37,51,2019-05-25,STL,ATL,GS-7,,6,6.1,5,2,2,2,2,0,0,4.22,24,74,43,11,5,15,5,3,1,0,55,,,0,0,0,22,2,0,1,2,0,0,1.11,0.153,1.04,0.09%,1.67,10.05,19.00,1t start tie,7t --3 1 out a1,,STL,1.1475409836065575,W,6,3
38,55,2019-05-30,STL,PHI,GS-6,W(4-3),4,6.0,4,1,1,3,4,0,0,3.94,23,82,52,14,7,9,7,3,1,0,61,,,0,0,0,20,2,0,2,1,0,0,1.48,0.281,1.22,0.14%,2.24,19.30,39.00,1b start tie,6b 3 out a1,,PHI,1.1666666666666667,W,5,3
39,60,2019-06-06,STL,CIN,GS-7,,6,6.1,5,1,1,4,3,0,0,3.70,28,93,59,15,9,13,8,6,1,0,58,,,1,0,0,23,3,0,1,0,1,0,1.24,0.177,1.35,0.12%,1.70,12.85,25.00,1t start tie,7t 12- 1 out tie,,STL,1.4754098360655739,W,3,1
40,65,2019-06-11,STL,MIA,GS-7,W(5-3),4,7.0,4,1,1,2,6,0,1,3.47,28,93,61,21,11,13,6,6,0,0,69,,,0,0,0,25,0,0,0,1,0,1,1.19,0.306,1.04,0.16%,2.48,25.55,48.00,1b start tie,7b 3 out a2,,MIA,0.8571428571428571,W,7,1
41,70,2019-06-16,STL,NYM,GS-6,,4,6.0,8,3,3,3,3,0,0,3.55,26,99,56,11,7,10,10,8,1,0,44,,,1,0,0,23,2,0,0,2,0,0,1.29,0.007,1.42,0.01%,-0.08,6.90,18.00,1b start a 2,6b 3 out tie,,NYM,1.8333333333333333,W,4,3
42,76,2019-06-22,STL,LAA,GS-7,W(6-3),5,7.0,5,1,1,1,6,1,0,3.36,27,112,70,23,9,13,7,5,1,0,68,,,0,0,0,26,0,0,0,0,0,0,1.05,0.351,1.29,0.26%,2.63,26.15,48.00,1t start tie,7t 3 out a3,,STL,0.8571428571428571,W,4,2
43,81,2019-06-29,STL,SDP,GS-2,L(6-4),6,1.2,5,7,1,1,2,2,1,3.40,13,52,33,9,6,5,4,1,0,0,30,,,0,0,0,11,1,0,0,0,0,1,1.40,-0.452,1.52,-0.30%,-6.10,1.55,8.00,1b start a 1,2b --- 2 out d6,,SDP,5.0,L,2,12
44,86,2019-07-05,STL,SFG,GS-5,W(7-4),5,5.0,6,3,3,3,6,1,0,3.51,23,95,60,16,16,5,9,7,0,0,46,,,0,0,0,20,0,0,0,1,0,0,1.43,-0.027,1.79,-0.02%,-0.52,15.85,36.00,1b start a 3,5b 3 out a3,,SFG,1.8,W,9,4
45,90,2019-07-13,STL,ARI,GS-6,W(8-4),7,6.0,3,2,2,4,5,1,1,3.48,26,94,53,13,13,10,6,3,0,0,59,,,0,0,0,21,0,0,0,0,0,0,1.11,0.155,1.29,0.11%,1.11,18.70,39.00,1t start tie,6t 3 out a2,,STL,1.1666666666666667,W,4,2
46,95,2019-07-18,STL,CIN,GS-5,W(9-4),4,5.0,6,3,3,2,3,1,1,3.57,23,83,52,9,6,7,10,3,1,0,44,,,1,0,0,19,2,0,0,0,1,0,.80,-0.067,1.13,-0.06%,-0.28,9.85,27.00,1b start tie,5b 3 out d1,,CIN,1.6,W,7,4
47,100,2019-07-23,STL,PIT,GS-7,W(10-4),4,6.1,6,3,3,3,5,1,0,3.61,27,84,54,11,8,8,11,7,2,0,51,,,0,0,0,24,2,0,0,1,0,0,1.24,0.131,2.00,0.13%,0.29,16.85,37.00,1b start tie,7b --- 1 out a1,,PIT,1.4754098360655739,W,4,3
48,105,2019-07-28,STL,HOU,GS-5,L(10-5),4,4.0,8,5,5,2,5,3,1,3.88,22,93,59,13,12,8,6,5,0,0,29,,,0,0,0,18,1,0,0,1,0,0,.84,-0.230,1.40,-0.23%,-3.93,2.40,12.00,1t start tie,5t 12- 0 out d5,,STL,2.5,L,2,6
49,109,2019-08-03,STL,OAK,GS-4,L(10-6),5,3.2,5,4,3,5,7,0,1,3.99,21,93,49,14,12,2,6,5,0,0,39,,,0,1,0,14,1,0,0,0,1,0,.95,-0.230,1.65,-0.24%,-2.14,9.65,23.00,1b start tie,4b 1-- 2 out d4,,OAK,3.125,L,3,8
50,114,2019-08-09,STL,PIT,GS-4,,5,4.0,6,2,2,0,0,0,1,4.01,17,49,31,5,2,8,8,5,0,0,42,,,0,0,0,14,3,0,0,2,2,0,1.15,-0.018,1.62,-0.02%,0.07,0.80,6.00,1t start tie,4t 3 out d1,,STL,1.5,W,6,2
51,118,2019-08-14,STL,KCR,GS-6,W(11-6),4,6.0,5,0,0,2,4,0,0,3.82,23,91,52,11,12,11,6,5,0,0,64,,,0,0,0,21,2,0,0,2,0,0,.96,0.372,1.78,0.41%,3.35,21.30,42.00,1b start tie,6b 3 out tie,,KCR,1.1666666666666667,W,6,0
52,123,2019-08-19,STL,MIL,GS-7,W(12-6),4,6.2,0,0,0,4,7,0,0,3.63,24,111,64,20,10,9,4,1,1,0,77,,,0,0,0,20,0,0,0,0,0,0,.81,0.378,1.97,0.55%,3.39,30.60,53.00,1t start tie,7t 1-- 2 out a3,,STL,0.6451612903225806,W,3,0
53,128,2019-08-24,STL,COL,GS-6,W(13-6),4,6.0,2,0,0,3,2,0,0,3.47,21,95,58,18,4,11,5,4,0,0,67,,,0,0,0,18,1,0,0,2,0,0,.71,0.227,1.39,0.27%,3.11,18.50,36.00,1t start tie,6t 3 out a5,,STL,0.8333333333333334,W,6,0
54,133,2019-08-31,STL,CIN,GS-8,W(14-6),6,7.2,4,4,4,2,8,1,1,3.53,30,112,71,19,11,7,12,5,3,0,61,,,0,0,0,27,2,0,0,0,0,0,.59,0.071,1.02,0.08%,1.70,25.05,47.00,1t start tie,8t 12- 2 out a6,1,STL,0.8333333333333333,W,10,6
55,140,2019-09-05,STL,SFG,GS-6,W(15-6),4,6.0,1,0,0,2,2,0,0,3.40,21,97,58,13,8,11,6,3,0,0,70,,,0,0,0,19,0,0,0,0,0,0,.50,0.155,.74,0.14%,3.11,19.70,36.00,1t start tie,6t 3 out a8,,STL,0.5,W,10,0
56,145,2019-09-11,STL,COL,GS-6,L(15-7),5,6.0,4,2,2,5,7,1,0,3.38,27,96,53,12,12,9,6,3,0,0,58,,,0,0,0,22,2,0,1,0,0,0,1.32,0.099,1.48,0.07%,1.75,18.10,33.00,1b start tie,6b 3 out d1,,COL,1.5,L,1,2
57,150,2019-09-16,STL,WSN,GS-7,W(16-7),4,7.0,5,2,2,2,1,1,0,3.35,27,96,56,18,7,13,11,4,1,0,58,,,0,0,0,24,0,0,0,0,0,0,1.11,0.185,2.24,0.22%,1.63,13.55,30.00,1t start tie,7t 3 out tie,,STL,1.0,W,4,2
58,155,2019-09-21,STL,CHC,GS-3,,4,3.0,3,3,3,4,2,0,0,3.45,15,62,32,8,2,3,6,3,0,0,39,,,0,0,0,10,3,0,0,0,1,0,1.21,-0.156,1.23,-0.10%,-1.38,0.55,6.00,1b start a 1,3b 3 out d1,,CHC,2.3333333333333335,W,9,8
59,160,2019-09-27,STL,CHC,GS-5,,5,5.0,2,0,0,5,10,0,0,3.35,22,97,59,15,15,5,2,2,0,0,68,,,0,0,0,17,2,0,1,0,0,0,1.11,0.287,2.37,0.37%,2.59,27.05,45.00,1t start tie,5t 3 out a1,,STL,1.4,L,2,8
