Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
20,40,2016-05-20,BAL,LAA,GS-6,,5,5.1,5,4,2,3,3,0,0,4.97,25,95,58,14,5,11,8,5,1,0,46,,,0,0,0,22,3,0,0,0,0,1,1.17,-0.115,1.53,-0.09%,-0.66,1b start a 2,6b 123 1 out a2,,LAA,1.5686274509803924,W,9,4,,
21,46,2016-05-27,BAL,CLE,GS-5,,6,4.2,6,3,3,2,4,1,0,5.05,21,99,60,14,6,4,11,6,2,0,42,,,0,0,0,18,2,0,0,1,1,0,1.30,-0.124,1.67,-0.10%,-0.87,1b start a 3,5b -23 2 out tie,,CLE,1.9047619047619047,W,6,4,,
22,51,2016-06-01,BAL,BOS,GS-3,,4,2.2,7,6,6,0,2,4,0,5.88,15,72,42,11,5,4,9,3,1,0,22,,,0,0,0,15,1,0,0,0,0,0,.82,-0.359,1.28,-0.34%,-3.68,1t start tie,3t 1-- 2 out tie,,BAL,3.1818181818181817,W,13,9,,
23,56,2016-06-06,BAL,KCR,GS-7,W(3-3),4,7.0,5,1,0,2,4,0,0,5.14,27,95,60,13,3,10,11,5,4,0,67,,,0,0,0,25,1,0,0,1,0,0,1.23,0.226,1.70,0.19%,2.63,1t start tie,7t 3 out d1,,BAL,1.0,W,4,1,,
24,61,2016-06-11,BAL,TOR,GS-6,,4,5.0,6,4,4,5,3,0,1,5.31,24,103,49,12,6,6,9,3,2,0,37,,,0,1,0,17,1,1,0,2,1,0,1.14,-0.090,1.79,-0.09%,-0.80,1b start tie,6b 1-- 0 out a1,,TOR,2.2,L,6,11,,
25,66,2016-06-17,BAL,TOR,GS-4,L(3-4),5,3.2,6,8,8,1,3,3,1,6.12,19,73,50,17,4,5,9,4,1,0,19,,,0,0,0,17,1,0,0,0,0,0,.59,-0.389,.99,-0.39%,-4.38,1t start tie,4t 12- 2 out d4,,BAL,2.1875,L,3,13,,
26,85,2016-07-08,BAL,LAA,2-6,,20,4.2,3,4,2,2,2,0,3,5.97,23,72,45,14,4,9,7,4,1,0,,2,1,0,0,0,16,0,0,0,1,2,2,.36,-0.077,.53,-0.07%,-1.73,2t 1-3 1 out d3,6t 3 out d7,,BAL,1.1904761904761905,L,5,9,,
27,127,2016-08-25,BAL,WSN,8-GF(8),,47,1.0,1,0,0,0,0,0,0,5.89,4,12,7,1,0,1,3,1,1,0,,2,2,0,0,0,4,1,0,0,0,0,0,.14,-0.011,.27,-0.01%,0.00,8b -23 0 out d2,8b end d 4,,WSN,1.0,L,0,4,,
28,128,2016-08-26,BAL,NYY,6-GF(8),,0,3.0,4,2,2,0,2,0,0,5.89,13,55,39,7,6,3,8,2,0,0,,0,0,0,0,0,13,2,0,0,0,0,0,.00,0.000,.00,0.00%,-0.43,6b --- 0 out d9,8b end d11,,NYY,1.3333333333333333,L,4,14,,
29,148,2016-09-17,BAL,TBR,9-GF,,21,1.0,0,0,0,0,0,0,0,5.81,3,9,6,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.009,.28,0.01%,0.52,9t --- 0 out d3,9t end d 3,,BAL,0.0,L,2,5,,
30,152,2016-09-21,BAL,BOS,9-GF,,3,0.1,0,0,0,0,0,0,0,5.79,1,2,2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.04,0.001,.09,0.00%,0.11,9t --- 2 out d4,9t end d 4,,BAL,0.0,L,1,5,,
31,51,2017-05-31,BAL,NYY,9-GF,,99,1.0,1,0,0,0,2,0,0,0.00,4,17,11,2,4,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.03,0.003,.04,0.00%,0.51,9t --- 0 out a6,9t end a 6,,BAL,1.0,W,10,4,,
32,52,2017-06-01,BAL,BOS,8-9,,0,1.2,3,3,3,0,3,0,0,10.13,8,26,20,9,5,3,2,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.06,0.005,.08,0.00%,-0.42,8t --- 0 out a6,9t 12- 2 out a5,,BAL,2.5,W,7,5,,
33,55,2017-06-04,BAL,BOS,7-9,,2,2.1,2,2,2,1,3,1,0,9.00,10,32,23,8,2,4,2,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.31,-0.041,.41,-0.03%,0.00,7t --- 0 out d2,9t 1-- 1 out d3,,BAL,1.4285714285714286,L,3,7,,
34,57,2017-06-07,BAL,PIT,3-6,,2,3.1,1,0,0,0,3,0,0,5.40,11,41,29,9,4,4,4,1,1,0,,2,0,0,0,0,11,0,0,0,0,0,0,.52,0.109,.58,0.07%,1.98,3t 12- 2 out d3,6t 3 out d3,,BAL,0.3225806451612903,W,9,6,,
35,60,2017-06-10,BAL,NYY,8-GF(8),,2,1.0,2,2,2,0,2,1,1,6.75,6,24,14,2,5,0,3,2,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,.00,0.00%,-1.45,8b --- 0 out d12,8b end d14,,NYY,2.0,L,3,16,,
36,64,2017-06-14,BAL,CHW,6-7,,3,2.0,2,0,0,0,1,0,0,5.56,7,27,17,5,1,2,4,3,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.46,0.046,.35,0.02%,1.03,6b --- 0 out a5,7b 3 out a5,,CHW,1.0,W,10,6,,
37,128,2017-08-25,BAL,BOS,9-GF,,71,1.0,1,0,0,0,1,0,1,5.11,5,18,12,3,1,0,3,1,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.56,9b --- 0 out a13,9b end a13,,BOS,1.0,W,16,3,,
