Name,first_season,last_season,games_played,games_started,teams,num_teams,key_mlbam,key_retro,key_bbref,key_fangraphs,pitcher_cleaned
Adam Ottavino,2010,2019,439,3,['Cardinals' 'Rockies' 'Yankees'],3,493603,ottaa001,ottavad01,1247,adamottavino
Adam Pettyjohn,2001,2008,19,10,['Tigers' 'Reds'],2,282562,petta002,pettyad01,489,adampettyjohn
Adam Plutko,2016,2019,40,32,['Indians'],1,592644,pluta001,plutkad01,15846,adamplutko
Adam Wainwright,2005,2019,383,316,['Cardinals'],1,425794,waina001,wainwad01,2233,adamwainwright
Adam Warren,2012,2019,323,21,['Yankees' '- - -' 'Padres'],3,476589,warra001,warread01,9029,adamwarren
Adam Wilk,2011,2017,13,5,['Tigers' 'Angels' '- - -'],3,573244,wilka001,wilkad01,8421,adamwilk
Adbert Alzolay,2019,2019,4,2,['Cubs'],1,640470,alzoa001,alzolad01,17859,adbertalzolay
Adrian Hernandez,2001,2004,14,5,['Yankees' 'Brewers'],2,406324,herna002,hernaad01,1504,adrianhernandez
Adrian Houser,2015,2019,44,18,['Brewers'],1,605288,housa001,housead01,12718,adrianhouser
Adrian Morejon,2019,2019,5,2,['Padres'],1,670970,morea001,morejad01,20039,adrianmorejon
Adrian Sampson,2016,2019,41,20,['Mariners' 'Rangers'],2,592716,sampa001,sampsad01,13339,adriansampson
Al Leiter,2000,2005,186,179,['Mets' '- - -'],2,117652,leita001,leiteal01,883,alleiter
Al Levine,2000,2005,295,6,['Angels' '- - -' 'Tigers' 'Giants'],4,117722,levia001,levinal01,20,allevine
Al Reyes,2000,2008,230,2,['- - -' 'Dodgers' 'Pirates' 'Yankees' 'Cardinals' 'Devil Rays' 'Rays'],7,121099,reyea001,reyesal01,1005,alreyes
Alan Benes,2000,2003,53,12,['Cardinals' 'Cubs' '- - -'],3,110853,benea002,benesal01,265,alanbenes
Alan Johnson,2011,2011,1,1,['Rockies'],1,489567,johna002,johnsal02,917,alanjohnson
Alay Soler,2006,2006,8,8,['Mets'],1,434057,solea001,soleral01,8542,alaysoler
Albert Suarez,2016,2017,40,12,['Giants'],1,544150,suara001,suareal01,6175,albertsuarez
Alberto Arias,2007,2009,63,2,['Rockies' '- - -' 'Astros'],3,464244,ariaa002,ariasal02,3087,albertoarias
Albie Lopez,2000,2003,123,61,['Devil Rays' '- - -' 'Braves' 'Royals'],4,117913,lopea002,lopezal02,102,albielopez
Alec Asher,2015,2018,38,18,['Phillies' 'Orioles' 'Brewers'],3,594742,ashea001,asheral01,13560,alecasher
Alec Mills,2016,2019,19,6,['Royals' 'Cubs'],2,621219,milla003,millsal02,13834,alecmills
Alex Claudio,2014,2019,291,2,['Rangers' 'Brewers'],2,592222,claua001,claudal01,12890,alexclaudio
Alex Cobb,2011,2019,146,146,['Rays' 'Orioles'],2,502171,cobba001,cobbal01,6562,alexcobb
Alex Colome,2013,2019,305,19,['Rays' '- - -' 'White Sox'],3,517008,coloa001,colomal01,6661,alexcolome
Alex Fernandez,2000,2000,8,8,['Marlins'],1,114073,ferna001,fernaal01,1003993,alexfernandez
Alex Graman,2004,2005,5,2,['Yankees'],1,407800,grama001,gramaal01,1910,alexgraman
Alex McRae,2018,2019,13,2,['Pirates'],1,656725,mcraa001,mcraeal01,16317,alexmcrae
Alex Meyer,2015,2017,22,19,['Twins' '- - -' 'Angels'],3,543542,meyea001,meyeral01,12833,alexmeyer
Alex Reyes,2016,2019,17,6,['Cardinals'],1,621052,reyea004,reyesal02,15015,alexreyes
Alex Sanabia,2010,2013,28,24,['Marlins'],1,502253,sanaa001,sanabal01,5350,alexsanabia
