Name,first_season,last_season,games_played,games_started,teams,num_teams,key_mlbam,key_retro,key_bbref,key_fangraphs,pitcher_cleaned
Brian Powell,2000,2004,41,18,['Astros' 'Tigers' 'Giants' 'Phillies'],4,150064,poweb001,powelbr01,490,brianpowell
Brian Reith,2001,2004,73,9,['Reds'],1,367944,reitb001,reithbr01,347,brianreith
Brian Rose,2000,2001,37,27,['- - -'],1,121450,roseb002,rosebr01,1011201,brianrose
Brian Sanches,2006,2012,195,2,['Phillies' 'Nationals' 'Marlins'],3,430083,sancb001,sanchbr01,2739,briansanches
Brian Sikorski,2000,2006,40,5,['Rangers' '- - -'],2,136920,sikob001,sikorbr01,7603,briansikorski
Brian Slocum,2006,2008,10,2,['Indians'],1,451497,slocb001,slocubr01,4705,brianslocum
Brian Stokes,2006,2010,173,5,['Devil Rays' 'Mets' 'Angels'],3,425530,stokb001,stokebr01,8653,brianstokes
Brian Sweeney,2003,2010,73,2,['Mariners' 'Padres'],2,425789,sweeb001,sweenbr01,1801,briansweeney
Brian Tallet,2002,2011,242,36,['Indians' 'Blue Jays' '- - -'],3,425226,tallb001,tallebr01,1646,briantallet
Brian Tollberg,2000,2003,53,52,['Padres'],1,328092,tollb001,tollbbr01,1055,briantollberg
Britt Reames,2000,2006,101,26,['Cardinals' 'Expos' 'Athletics' 'Pirates'],4,337392,reamb001,reamebr01,794,brittreames
Brock Burke,2019,2019,6,6,['Rangers'],1,656271,burkb001,burkebr01,17968,brockburke
Brock Stewart,2016,2019,46,11,['Dodgers' '- - -'],2,592779,stewb001,stewabr01,16727,brockstewart
Bronson Arroyo,2000,2017,419,383,['Pirates' 'Red Sox' 'Reds' 'Diamondbacks'],4,276520,arrob001,arroybr01,978,bronsonarroyo
Brooks Raley,2012,2013,14,5,['Cubs'],1,548384,raleb001,raleybr01,10061,brooksraley
Bruce Chen,2000,2015,380,216,['- - -' 'Orioles' 'Rangers' 'Royals' 'Indians'],5,136600,chenb001,chenbr01,769,brucechen
Bryan Augenstein,2009,2011,12,2,['Diamondbacks' 'Cardinals'],2,446248,augeb001,augenbr01,936,bryanaugenstein
Bryan Bullington,2005,2010,26,10,['Pirates' 'Indians' 'Blue Jays' 'Royals'],4,425860,bullb001,bullibr01,5066,bryanbullington
Bryan Mitchell,2014,2018,64,20,['Yankees' 'Padres'],2,571951,mitcb001,mitchbr01,11479,bryanmitchell
Bryan Rekar,2000,2002,57,54,['Devil Rays' 'Royals'],2,121057,rekab001,rekarbr01,625,bryanrekar
Bryse Wilson,2018,2019,9,5,['Braves'],1,669060,wilsb003,wilsobr02,19990,brysewilson
Buck Farmer,2014,2019,182,21,['Tigers'],1,571656,farmb001,farmebu01,14814,buckfarmer
Bud Norris,2009,2018,355,188,['Astros' '- - -' 'Orioles' 'Angels' 'Cardinals'],5,502032,norrb001,norribu01,9492,budnorris
Bud Smith,2001,2002,27,24,['Cardinals'],1,406873,smitb004,smithbu02,1182,budsmith
Buddy Boshers,2013,2019,128,1,['Angels' 'Twins' 'Blue Jays'],3,542953,boshb001,boshebu01,8490,buddyboshers
Buddy Carlyle,2000,2015,143,20,['Padres' 'Dodgers' 'Braves' 'Yankees' 'Mets'],5,234194,carlb001,carlybu01,2010,buddycarlyle
Burch Smith,2013,2019,65,13,['Padres' 'Royals' '- - -'],3,572143,smitb005,smithbu03,12784,burchsmith
Burke Badenhop,2008,2015,418,10,['Marlins' 'Rays' 'Brewers' 'Red Sox' 'Reds'],5,488674,badeb001,badenbu01,9736,burkebadenhop
Byung-Hyun Kim,2000,2007,369,87,['Diamondbacks' '- - -' 'Red Sox' 'Rockies'],4,218294,kim-b001,kimby01,61,byunghyunkim
C.J. Nitkowski,2000,2005,194,11,['Tigers' '- - -' 'Rangers' 'Nationals'],4,119809,nitkc001,nitkoc.01,570,cjnitkowski
C.J. Wilson,2005,2015,444,192,['Rangers' 'Angels'],2,450351,wilsc004,wilsocj01,3580,cjwilson
CC Sabathia,2001,2019,561,560,['Indians' '- - -' 'Yankees'],3,282332,sabac001,sabatc.01,404,ccsabathia
Cal Eldred,2000,2005,167,23,['White Sox' 'Cardinals'],2,113793,eldrc001,eldreca01,1653,caleldred
Cal Quantrill,2019,2019,23,18,['Padres'],1,615698,quanc001,quantca01,19312,calquantrill
Caleb Ferguson,2018,2019,75,5,['Dodgers'],1,657571,fergc001,ferguca01,19349,calebferguson
Caleb Smith,2017,2019,53,46,['Yankees' 'Marlins'],2,592761,smitc006,smithca03,14875,calebsmith
Calvin Maduro,2000,2002,49,24,['Orioles'],1,118130,maduc001,madurca01,151,calvinmaduro
Cam Bedrosian,2014,2019,274,7,['Angels'],1,592135,bedrc001,bedroca01,13360,cambedrosian
Carl Pavano,2000,2012,259,243,['Expos' '- - -' 'Marlins' 'Yankees' 'Twins'],5,134321,pavac001,pavanca01,790,carlpavano
Carlos Almanzar,2000,2005,153,1,['Padres' 'Yankees' 'Reds' 'Rangers'],4,110179,almac001,almanca01,308,carlosalmanzar
Carlos Carrasco,2009,2019,230,183,['Indians'],1,471911,carrc003,carraca01,6632,carloscarrasco
Carlos Frias,2014,2016,33,15,['Dodgers'],1,516910,friac001,friasca01,3547,carlosfrias
Carlos Hernandez,2001,2004,35,33,['Astros'],1,400056,hernc004,hernaca03,560,carloshernandez
Carlos Marmol,2006,2014,519,13,['Cubs' '- - -' 'Marlins'],3,461791,marmc001,marmoca01,2790,carlosmarmol
Carlos Martinez,2013,2019,253,118,['Cardinals'],1,593372,martc006,martica04,11682,carlosmartinez
Carlos Monasterios,2010,2010,32,13,['Dodgers'],1,467856,monac001,monasca01,2506,carlosmonasterios
Carlos Perez,2000,2000,30,22,['Dodgers'],1,120405,perec001,perezca01,1010179,carlosperez
Carlos Pulido,2003,2004,13,1,['Twins'],1,120800,pulic001,pulidca01,1815,carlospulido
Carlos Reyes,2000,2003,32,3,['- - -' 'Devil Rays'],2,121095,reyec001,reyesca01,1721,carlosreyes
Carlos Rodon,2015,2019,93,90,['White Sox'],1,607074,rodoc001,rodonca01,16137,carlosrodon
Carlos Silva,2002,2010,316,180,['Phillies' 'Twins' 'Mariners' 'Cubs'],4,400067,silvc001,silvaca01,973,carlossilva
Carlos Torres,2009,2019,362,16,['White Sox' 'Rockies' 'Mets' 'Brewers' 'Nationals' 'Tigers'],6,448614,torrc001,torreca01,7624,carlostorres
Carlos Villanueva,2006,2016,476,76,['Brewers' 'Blue Jays' 'Cubs' 'Cardinals' 'Padres'],5,453646,villc001,villaca01,4138,carlosvillanueva
Carlos Zambrano,2001,2012,354,302,['Cubs' 'Marlins'],2,407296,zambc001,zambrca01,305,carloszambrano
Carlton Loewer,2001,2003,7,7,['Padres'],1,133780,loewc001,loeweca01,1713,carltonloewer
Carson Fulmer,2016,2019,44,15,['White Sox'],1,608334,fulmc001,fulmeca01,18311,carsonfulmer
Casey Coleman,2010,2014,58,26,['Cubs' 'Royals'],2,488787,colec001,colemca01,8270,caseycoleman
Casey Crosby,2012,2012,3,3,['Tigers'],1,518582,crosc001,crosbca01,5261,caseycrosby
Casey Daigle,2004,2010,33,10,['Diamondbacks' 'Astros'],2,430664,daigc001,daiglca01,1880,caseydaigle
Casey Fossum,2001,2009,237,120,['Red Sox' 'Diamondbacks' 'Devil Rays' 'Tigers' 'Mets'],5,407154,fossc001,fossuca01,188,caseyfossum
Casey Janssen,2006,2015,437,22,['Blue Jays' 'Nationals'],2,445163,jansc001,janssca01,7355,caseyjanssen
Casey Kelly,2012,2018,26,12,['Padres' 'Braves' 'Giants'],3,543391,kellc001,kellyca01,9174,caseykelly
Casey Lawrence,2017,2018,38,2,['- - -' 'Mariners'],2,596271,lawrc001,lawreca01,11121,caseylawrence
Casey Sadler,2014,2019,42,2,['Pirates' '- - -'],2,594987,sadlc002,sadleca02,11209,caseysadler
Cesar Carrillo,2009,2009,3,3,['Padres'],1,460044,carrc002,carrice01,4697,cesarcarrillo
Cesar Jimenez,2006,2015,97,3,['Mariners' 'Phillies' '- - -'],3,462945,jimec002,jimence01,3762,cesarjimenez
Cesar Ramos,2009,2016,267,14,['Padres' 'Rays' 'Angels' 'Rangers'],4,459987,ramoc001,ramosce01,3357,cesarramos
Cesar Valdez,2010,2017,20,6,['Diamondbacks' '- - -'],2,491624,valdc003,valdece01,9013,cesarvaldez
Cesar Vargas,2016,2016,7,7,['Padres'],1,570714,vargc002,vargace01,14099,cesarvargas
Cha Seung Baek,2004,2008,59,44,['Mariners' '- - -'],2,430657,baekc001,baekch01,8214,chaseungbaek
Chad Bell,2017,2018,31,4,['Tigers'],1,518445,bellc003,bellch02,10297,chadbell
Chad Bettis,2013,2019,164,92,['Rockies'],1,518452,bettc001,bettich01,10587,chadbettis
Chad Billingsley,2006,2015,226,197,['Dodgers' 'Phillies'],2,451532,billc001,billich01,5842,chadbillingsley
Chad Durbin,2000,2013,455,75,['Royals' 'Indians' '- - -' 'Tigers' 'Phillies' 'Braves'],6,239795,durbc001,durbich01,1442,chaddurbin
Chad Gaudin,2003,2013,344,87,"['Devil Rays' 'Blue Jays' 'Athletics' '- - -' 'Nationals' 'Marlins'
 'Giants']",7,429985,gaudc001,gaudich01,1783,chadgaudin
Chad Green,2016,2019,169,24,['Yankees'],1,643338,greec003,greench03,15552,chadgreen
Chad Jenkins,2012,2015,46,6,['Blue Jays'],1,554432,jenkc001,jenkich01,10326,chadjenkins
Chad Kuhl,2016,2018,61,61,['Pirates'],1,641771,kuhlc001,kuhlch01,14975,chadkuhl
Chad Reineke,2008,2011,7,5,['Padres' 'Athletics' 'Reds'],3,448656,reinc001,reinech01,7641,chadreineke
Chad Zerbe,2000,2003,114,2,['Giants'],1,345792,zerbc001,zerbech01,1140,chadzerbe
Chan Ho Park,2000,2010,325,180,['Dodgers' 'Rangers' '- - -' 'Padres' 'Mets' 'Phillies'],6,120221,parkc002,parkch01,1267,chanhopark
Chance Adams,2018,2019,16,1,['Yankees'],1,664856,adamc002,adamsch01,18135,chanceadams
Chandler Shepherd,2019,2019,5,3,['Orioles'],1,605469,shepc001,shephch01,16166,chandlershepherd
Charles Nagy,2000,2003,50,31,['Indians' 'Padres'],2,119640,nagyc001,nagych01,397,charlesnagy
Charlie Furbush,2011,2015,247,12,['- - -' 'Mariners'],2,518703,furbc001,furbuch01,1370,charliefurbush
Charlie Haeger,2006,2010,34,10,['White Sox' 'Padres' 'Dodgers'],3,446624,haegc001,haegech01,3545,charliehaeger
Charlie Leesman,2013,2014,9,2,['White Sox'],1,489056,leesc001,leesmch01,9124,charlieleesman
Charlie Morton,2008,2019,250,249,['Braves' 'Pirates' 'Phillies' 'Astros' 'Rays'],5,450203,mortc002,mortoch02,4676,charliemorton
Charlie Zink,2008,2008,1,1,['Red Sox'],1,468402,zinkc001,zinkch01,4180,charliezink
Chase Anderson,2014,2019,166,160,['Diamondbacks' 'Brewers'],2,502624,andec001,anderch01,6895,chaseanderson
Chase De Jong,2017,2019,12,8,['Mariners' 'Twins'],2,608328,dejoc001,dejonch01,15036,chasedejong
Chase Whitley,2014,2018,75,17,['Yankees' 'Rays' 'Braves'],3,595032,whitc001,whitlch01,10982,chasewhitley
Chase Wright,2007,2007,3,2,['Yankees'],1,451657,wrigc001,wrighch01,3593,chasewright
Chi Chi Gonzalez,2015,2019,31,25,['Rangers' 'Rockies'],2,592346,gonzc002,gonzach01,14663,chichigonzalez
Chien-Ming Wang,2005,2016,174,126,['Yankees' 'Nationals' 'Blue Jays' 'Royals'],4,425426,wangc001,wangch01,2074,chienmingwang
Chin-hui Tsao,2003,2016,57,8,['Rockies' 'Dodgers'],2,425835,tsaoc001,tsaoch01,1776,chinhuitsao
Chris Archer,2012,2019,212,210,['Rays' '- - -' 'Pirates'],3,502042,archc001,archech01,6345,chrisarcher
Chris Bassitt,2014,2019,68,55,['White Sox' 'Athletics'],2,605135,bassc001,bassich01,12304,chrisbassitt
Chris Beck,2015,2018,103,1,['White Sox' '- - -'],2,571476,beckc002,beckch02,13418,chrisbeck
Chris Bootcheck,2003,2013,91,3,['Angels' 'Pirates' 'Yankees'],3,408052,bootc001,bootcch01,1842,chrisbootcheck
Chris Brock,2000,2002,109,5,['Phillies' 'Orioles'],2,111496,brocc001,brockch01,130,chrisbrock
Chris Capuano,2003,2016,316,225,['Diamondbacks' 'Brewers' 'Mets' 'Dodgers' '- - -' 'Yankees'],6,425626,capuc001,capuach01,1701,chriscapuano
Chris Carpenter,2000,2012,279,271,['Blue Jays' 'Cardinals'],2,112020,carpc002,carpech01,1292,chriscarpenter
Chris Devenski,2016,2019,221,7,['Astros'],1,606965,devec001,devench02,12763,chrisdevenski
Chris Flexen,2017,2019,27,11,['Mets'],1,623167,flexc001,flexech01,13896,chrisflexen
Chris Fussell,2000,2000,20,9,['Royals'],1,136728,fussc001,fussech01,1004410,chrisfussell
Chris George,2001,2004,47,44,['Royals'],1,150203,georc002,georgch02,601,chrisgeorge
Chris Gissell,2004,2004,5,1,['Rockies'],1,277414,gissc001,gissech01,2015,chrisgissell
Chris Heston,2014,2017,41,33,['Giants' '- - -'],2,518790,hestc001,hestoch01,10302,chrisheston
Chris Holt,2000,2001,64,54,['Astros' 'Tigers'],2,116108,holtc001,holtch01,1005983,chrisholt
Chris Jakubauskas,2009,2011,69,15,['Mariners' 'Pirates' 'Orioles'],3,499856,jakuc001,jakubch01,7831,chrisjakubauskas
Chris Lambert,2008,2009,14,3,['Tigers' '- - -'],2,461836,lambc001,lambech01,8047,chrislambert
Chris Mears,2003,2003,29,3,['Tigers'],1,277407,mearc001,mearsch01,1756,chrismears
Chris Michalak,2001,2006,56,24,['- - -' 'Rangers' 'Reds'],3,136422,michc001,michach01,1415,chrismichalak
Chris Narveson,2006,2016,118,65,['Cardinals' 'Brewers' 'Marlins'],3,429780,narvc001,narvech01,2141,chrisnarveson
Chris O'Grady,2017,2018,21,6,['Marlins'],1,622217,ograc001,ogradch01,13818,chriso'grady
Chris Paddack,2019,2019,26,26,['Padres'],1,663978,paddc001,paddach01,20099,chrispaddack
Chris Peters,2000,2001,31,6,['Pirates' 'Expos'],2,120454,petec001,peterch01,1010225,chrispeters
Chris Reitsma,2001,2007,338,53,['Reds' 'Braves' 'Mariners'],3,277410,reitc001,reitsch01,348,chrisreitsma
Chris Rowley,2017,2018,8,3,['Blue Jays'],1,635903,rowlc001,rowlech01,18820,chrisrowley
Chris Rusin,2012,2019,188,49,['Cubs' 'Rockies'],2,543734,rusic001,rusinch01,9895,chrisrusin
Chris Saenz,2004,2004,1,1,['Brewers'],1,430609,saenc001,saenzch01,1913,chrissaenz
Chris Sale,2010,2019,312,232,['White Sox' 'Red Sox'],2,519242,salec001,salech01,10603,chrissale
Chris Sampson,2006,2010,174,33,['Astros'],1,448200,sampc001,sampsch01,2651,chrissampson
Chris Schwinden,2011,2012,7,6,['Mets'],1,452737,schwc001,schwich01,7851,chrisschwinden
Chris Seddon,2007,2012,38,6,['Marlins' 'Mariners' 'Indians'],3,434629,seddc001,seddoch01,3833,chrisseddon
Chris Smith,2008,2017,77,9,['Red Sox' 'Brewers' 'Athletics'],3,434672,smitc002,smithch08,4544,chrissmith
Chris Stratton,2016,2019,83,41,['Giants' '- - -'],2,608717,strac001,stratch01,13761,chrisstratton
Chris Tillman,2009,2018,210,205,['Orioles'],1,501957,tillc001,tillmch01,5279,christillman
Chris Volstad,2008,2018,170,126,['Marlins' 'Cubs' 'Rockies' 'Pirates' 'White Sox'],5,458690,volsc001,volstch01,9901,chrisvolstad
Chris Waters,2008,2009,16,12,['Orioles'],1,425561,watec001,waterch01,7015,chriswaters
Chris Young,2004,2017,271,221,['Rangers' 'Padres' 'Mets' 'Mariners' 'Royals'],5,432934,younc003,youngch03,3196,chrisyoung
Christian Bergman,2014,2018,71,25,['Rockies' 'Mariners'],2,548357,bergc001,bergmch01,10925,christianbergman
Christian Friedrich,2012,2016,124,42,['Rockies' 'Padres'],2,543184,friec001,friedch01,7942,christianfriedrich
Christian Parker,2001,2001,1,1,['Yankees'],1,150409,parkc003,parkech01,1009998,christianparker
Chuck Finley,2000,2002,88,88,['Indians' '- - -'],2,114133,finlc001,finlech01,384,chuckfinley
Chuck James,2005,2011,72,55,['Braves' 'Twins'],2,460580,jamec002,jamesch03,4886,chuckjames
Chuck McElroy,2000,2001,92,7,['Orioles' '- - -'],2,118660,mcelc001,mcelrch01,1008477,chuckmcelroy
Chuck Smith,2000,2001,34,34,['Marlins'],1,276540,smitc001,smithch07,1012114,chucksmith
Claudio Vargas,2003,2010,217,114,['Expos' '- - -' 'Diamondbacks' 'Brewers' 'Mets'],5,282567,vargc001,vargacl01,1695,claudiovargas
Clay Buchholz,2007,2019,236,218,['Red Sox' 'Phillies' 'Diamondbacks' 'Blue Jays'],4,453329,buchc001,buchhcl01,3543,claybuchholz
Clay Condrey,2002,2009,179,9,['Padres' 'Phillies'],2,424925,condc001,condrcl01,1579,claycondrey
Clay Hensley,2005,2012,271,49,['Padres' 'Marlins' 'Giants'],3,454535,hensc002,henslcl01,4593,clayhensley
Clay Holmes,2018,2019,46,4,['Pirates'],1,605280,holmc001,holmecl01,13649,clayholmes
Clayton Andrews,2000,2000,8,2,['Blue Jays'],1,150467,andrc001,andrecl01,1000247,claytonandrews
Clayton Kershaw,2008,2019,347,344,['Dodgers'],1,477132,kersc001,kershcl01,2036,claytonkershaw
Clayton Mortensen,2009,2013,74,13,['- - -' 'Athletics' 'Rockies' 'Red Sox'],4,489150,mortc003,mortecl01,3166,claytonmortensen
Clayton Richard,2008,2019,275,210,['White Sox' '- - -' 'Padres' 'Cubs' 'Blue Jays'],5,453385,richc002,richacl01,3551,claytonrichard
Cliff Lee,2002,2014,328,324,['Indians' '- - -' 'Phillies'],3,424324,lee-c003,leecl02,1636,clifflee
Cliff Politte,2000,2006,309,8,['Phillies' '- - -' 'Blue Jays' 'White Sox'],4,131700,polic001,politcl01,967,cliffpolitte
Clint Nageotte,2004,2006,16,5,['Mariners'],1,425788,nagec001,nageocl01,2156,clintnageotte
Cody Anderson,2015,2019,39,26,['Indians'],1,594736,andec002,anderco01,12799,codyanderson
Cody Martin,2015,2017,35,4,['- - -' 'Mariners'],2,592533,martc008,martico01,12182,codymartin
Cody Reed,2016,2019,42,18,['Reds'],1,642003,reedc002,reedco01,15232,codyreed
Cody Stashak,2019,2019,18,1,['Twins'],1,664054,stasc001,stashco01,18088,codystashak
Colby Lewis,2002,2016,233,195,['Rangers' 'Tigers' 'Athletics'],3,407890,lewic001,lewisco01,1259,colbylewis
Cole DeVries,2012,2013,21,18,['Twins'],1,453301,devrc001,devrico01,8201,coledevries
Cole Hamels,2006,2019,422,421,['Phillies' '- - -' 'Rangers' 'Cubs'],4,430935,hamec001,hamelco01,4972,colehamels
Cole Irvin,2019,2019,16,3,['Phillies'],1,608344,irvic001,irvinco01,19244,coleirvin
Colin Rea,2015,2016,26,25,['Padres' '- - -'],2,607067,rea-c001,reaco01,12317,colinrea
Collin Balester,2008,2015,88,22,['Nationals' 'Tigers' 'Reds'],3,444446,balec001,balesco01,6883,collinbalester
Collin McHugh,2012,2019,210,119,['Mets' '- - -' 'Astros'],3,543521,mchuc001,mchugco01,7531,collinmchugh
Conner Menez,2019,2019,8,3,['Giants'],1,669214,menec001,menezco01,19199,connermenez
Connor Sadzeck,2018,2019,33,2,['Rangers' 'Mariners'],2,592712,sadzc001,sadzeco01,13483,connorsadzeck
Corbin Burnes,2018,2019,62,4,['Brewers'],1,669203,burnc002,burneco01,19361,corbinburnes
Corbin Martin,2019,2019,5,5,['Astros'],1,656686,martc009,martico02,19884,corbinmartin
Corey Kluber,2011,2019,208,203,['Indians'],1,446372,klubc001,klubeco01,2429,coreykluber
Corey Oswalt,2018,2019,19,12,['Mets'],1,621261,oswac001,oswalco01,13677,coreyoswalt
Corey Thurman,2002,2003,49,4,['Blue Jays'],1,407903,thurc001,thurmco01,1324,coreythurman
Cory Gearrin,2011,2019,336,2,['Braves' 'Giants' '- - -'],3,518715,gearc001,gearrco01,7947,corygearrin
Cory Lidle,2000,2006,218,196,['Devil Rays' 'Athletics' 'Blue Jays' '- - -' 'Phillies'],5,117756,lidlc001,lidleco01,926,corylidle
Cory Luebke,2010,2016,64,25,['Padres' 'Pirates'],2,458537,luebc001,luebkco01,1984,coryluebke
Cory Rasmus,2013,2016,84,8,['- - -' 'Angels'],2,474284,rasmc002,rasmuco02,2413,coryrasmus
Cory Vance,2002,2003,11,4,['Rockies'],1,425246,vancc001,vanceco01,1647,coryvance
Craig Breslow,2005,2017,576,2,['Padres' 'Red Sox' '- - -' 'Athletics' 'Marlins'],5,444520,bresc001,breslcr01,4363,craigbreslow
Craig Stammen,2009,2019,438,38,['Nationals' 'Padres'],2,489334,stamc001,stammcr01,7274,craigstammen
Curt Schilling,2000,2007,243,221,['- - -' 'Diamondbacks' 'Red Sox'],3,121811,schic002,schilcu01,73,curtschilling
D.J. Carrasco,2003,2012,290,24,['Royals' 'White Sox' '- - -' 'Mets'],4,425647,carrd001,carradj01,1666,djcarrasco
D.J. Houlton,2005,2007,53,19,['Dodgers'],1,434885,hould001,houltdj01,3566,djhoulton
Daisuke Matsuzaka,2007,2014,158,132,['Red Sox' 'Mets'],2,493137,matsd001,matsuda01,7775,daisukematsuzaka
Dakota Hudson,2018,2019,59,32,['Cardinals'],1,641712,hudsd002,hudsoda02,19206,dakotahudson
Dallas Beeler,2014,2015,5,5,['Cubs'],1,542923,beeld001,beeleda01,11471,dallasbeeler
Dallas Braden,2007,2011,94,79,['Athletics'],1,460284,bradd002,bradeda01,8099,dallasbraden
Dallas Keuchel,2012,2019,211,202,['Astros' 'Braves'],2,572971,keucd001,keuchda01,9434,dallaskeuchel
Damian Moss,2001,2004,74,61,['Braves' '- - -' 'Devil Rays'],3,150305,mossd001,mossda01,107,damianmoss
Dan Giese,2007,2009,35,4,['Giants' 'Yankees' 'Athletics'],3,435500,giesd001,gieseda01,2656,dangiese
Dan Haren,2003,2015,391,380,"['Cardinals' 'Athletics' 'Diamondbacks' '- - -' 'Angels' 'Nationals'
 'Dodgers']",7,429717,hared001,harenda01,1757,danharen
Dan Jennings,2012,2019,390,1,['Marlins' 'White Sox' '- - -' 'Brewers' 'Nationals'],5,543359,jennd003,jennida01,8073,danjennings
Dan Meyer,2004,2010,103,7,['Braves' 'Athletics' 'Marlins'],3,434159,meyed002,meyerda02,4402,danmeyer
Dan Reichert,2000,2003,116,43,['Royals' 'Blue Jays'],2,150209,reicd001,reichda01,624,danreichert
Dan Runzler,2009,2017,97,1,['Giants' 'Pirates'],2,502130,runzd001,runzlda01,4080,danrunzler
Dan Serafini,2000,2007,27,15,['- - -' 'Reds' 'Rockies'],3,122007,serad001,serafda01,1812,danserafini
Dan Straily,2012,2019,156,140,['Athletics' '- - -' 'Astros' 'Reds' 'Marlins' 'Orioles'],6,573185,strad003,straida01,9460,danstraily
Dan Wheeler,2000,2012,584,3,['Devil Rays' 'Mets' '- - -' 'Astros' 'Rays' 'Red Sox' 'Indians'],7,235095,wheed001,wheelda01,120,danwheeler
Dan Wright,2001,2004,70,64,['White Sox'],1,216106,wrigd001,wrighda02,258,danwright
Dana Eveland,2005,2016,187,61,"['Brewers' 'Diamondbacks' 'Athletics' '- - -' 'Dodgers' 'Orioles' 'Mets'
 'Braves' 'Rays']",9,445968,eveld001,evelada01,5508,danaeveland
Daniel Bard,2009,2013,211,10,['Red Sox'],1,453268,bardd001,bardda01,7115,danielbard
Daniel Barone,2007,2007,16,6,['Marlins'],1,458524,barod001,baronda01,7652,danielbarone
Daniel Cabrera,2004,2009,162,155,['Orioles' '- - -'],2,425555,cabrd001,cabreda01,1931,danielcabrera
Daniel Corcino,2014,2018,7,3,['Reds' 'Dodgers'],2,542289,corcd001,corcida01,9266,danielcorcino
Daniel Garibay,2000,2000,30,8,['Cubs'],1,150133,garid001,garibda01,1004536,danielgaribay
Daniel Gossett,2017,2018,23,23,['Athletics'],1,605254,gossd001,gosseda01,16164,danielgossett
Daniel Hudson,2009,2019,379,61,['White Sox' '- - -' 'Diamondbacks' 'Pirates' 'Dodgers'],5,543339,hudsd001,hudsoda01,7146,danielhudson
Daniel McCutchen,2009,2014,109,15,['Pirates' 'Rangers'],2,445216,mccud001,mccutda01,263,danielmccutchen
Daniel Mengden,2016,2019,56,47,['Athletics'],1,596043,mengd001,mengdda01,16980,danielmengden
Daniel Norris,2014,2019,97,82,['Blue Jays' '- - -' 'Tigers'],3,596057,norrd002,norrida01,13475,danielnorris
Daniel Ponce de Leon,2018,2019,24,12,['Cardinals'],1,594965,poncd001,ponceda01,16110,danielponcedeleon
Daniel Wright,2016,2017,14,9,['- - -' 'Angels'],2,642229,wrigd003,wrighda04,15179,danielwright
Danny Duffy,2011,2019,209,181,['Royals'],1,518633,duffd001,duffyda01,3542,dannyduffy
Danny Graves,2000,2006,351,30,['Reds' '- - -' 'Indians'],3,115056,gravd001,graveda01,326,dannygraves
Danny Salazar,2013,2019,109,105,['Indians'],1,517593,salad001,salazda01,5867,dannysalazar
Danys Baez,2001,2011,533,26,['Indians' 'Devil Rays' '- - -' 'Orioles' 'Phillies'],5,276056,baezd001,baezda01,367,danysbaez
Dario Agrazal,2019,2019,15,14,['Pirates'],1,642607,agrad001,agrazda01,15821,darioagrazal
Darrell May,2002,2005,120,93,['Royals' '- - -'],2,118469,may-d002,mayda02,613,darrellmay
Darrell Rasner,2005,2008,41,30,['Nationals' 'Yankees'],2,434480,rasnd001,rasneda01,4770,darrellrasner
Darren Dreifort,2000,2004,118,58,['Dodgers'],1,113554,dreid001,dreifda01,647,darrendreifort
Darren Oliver,2000,2013,583,101,['Rangers' 'Red Sox' 'Rockies' '- - -' 'Mets' 'Angels' 'Blue Jays'],7,119984,olivd001,oliveda02,206,darrenoliver
Darryl Kile,2000,2002,82,82,['Cardinals'],1,117046,kiled001,kileda01,1163,darrylkile
Darwinzon Hernandez,2019,2019,29,1,['Red Sox'],1,650382,hernd004,hernada02,19848,darwinzonhernandez
Daryl Thompson,2008,2011,4,3,['Reds'],1,444354,thomd003,thompda02,6603,darylthompson
Dave Borkowski,2000,2008,164,9,['Tigers' 'Orioles' 'Astros'],3,150185,borkd001,borkoda01,2002,daveborkowski
Dave Burba,2000,2004,167,82,['Indians' '- - -' 'Brewers'],3,111692,burbd001,burbada01,1239,daveburba
Dave Bush,2004,2013,211,187,['Blue Jays' 'Brewers' 'Rangers'],3,433657,bushd001,bushda01,4635,davebush
Dave Coggin,2000,2002,60,29,['Phillies'],1,150102,coggd001,coggida01,951,davecoggin
Dave Eiland,2000,2000,17,10,['Devil Rays'],1,113782,eilad001,eilanda01,1003714,daveeiland
Dave Gassner,2005,2005,2,2,['Twins'],1,434559,gassd001,gassnda01,3546,davegassner
Dave Manning,2003,2003,2,2,['Brewers'],1,425857,mannd001,mannida01,1785,davemanning
Dave Mlicki,2000,2002,80,66,['Tigers' '- - -' 'Astros'],3,119211,mlicd001,mlickda01,569,davemlicki
Dave Pember,2002,2002,4,1,['Brewers'],1,424926,pembd001,pembeda01,1618,davepember
Dave Williams,2001,2007,82,72,['Pirates' '- - -' 'Mets'],3,400063,willd002,willida07,1013,davewilliams
David Buchanan,2014,2015,35,35,['Phillies'],1,571527,buchd001,buchada01,11176,davidbuchanan
David Cone,2000,2003,60,58,['Yankees' 'Red Sox' 'Mets'],3,112552,coned001,coneda01,1680,davidcone
David Hale,2013,2019,90,20,['Braves' 'Rockies' '- - -' 'Yankees'],4,571735,haled001,haleda02,9756,davidhale
David Hernandez,2009,2019,547,27,['Orioles' 'Diamondbacks' 'Phillies' '- - -' 'Reds'],5,456696,hernd002,hernada01,4259,davidhernandez
David Hess,2018,2019,44,33,['Orioles'],1,605276,hessd001,hessda01,16130,davidhess
