Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year,WHIP
Blue Jays,87,75,4.37,644,162,6,1,42,87.0,20.0,1428.1,6151,1447,754,694,185,504,56,59,53,13,1076,2006,1.3661508297738254
Yankees,97,65,4.43,651,162,5,1,43,83.0,17.0,1443.2,6215,1463,767,710,170,496,41,59,46,7,1019,2006,1.35740022172949
Indians,78,84,4.43,539,162,13,6,24,40.0,23.0,1423.1,6190,1583,782,701,166,429,35,51,46,2,948,2006,1.4138149111095497
Diamondbacks,76,86,4.49,623,162,8,4,34,75.0,20.0,1459.2,6341,1503,788,728,168,536,44,61,53,4,1115,2006,1.3973410087719298
Reds,80,82,4.53,638,162,9,3,36,49.0,24.0,1445.2,6319,1576,801,728,213,464,55,60,40,9,1053,2006,1.4115693329642955
Cardinals,83,78,4.54,630,161,6,3,38,73.0,19.0,1429.2,6196,1475,762,721,193,504,35,80,35,3,970,2006,1.3846907360761265
Pirates,67,95,4.55,667,162,2,1,39,72.0,21.0,1435.0,6354,1545,797,725,156,620,62,70,61,6,1060,2006,1.5087108013937283
Braves,79,83,4.6,684,162,6,2,38,56.0,29.0,1441.1,6350,1529,805,736,183,572,69,55,39,2,1049,2006,1.4579140934008745
Mariners,78,84,4.6,591,162,6,2,47,72.0,20.0,1446.2,6294,1500,792,739,183,560,50,53,47,6,1067,2006,1.4244226248098464
Rangers,80,82,4.61,651,162,3,1,42,79.0,23.0,1431.1,6237,1558,784,733,162,496,18,66,34,4,972,2006,1.4352595905247711
Phillies,85,77,4.61,662,162,4,2,42,85.0,22.0,1460.1,6366,1561,812,748,211,512,63,62,58,4,1138,2006,1.4197657694678447
White Sox,90,72,4.61,560,162,5,2,46,64.0,17.0,1449.0,6232,1534,794,743,200,433,59,58,51,1,1012,2006,1.357487922705314
Giants,76,85,4.64,599,161,7,3,37,68.0,22.0,1429.2,6225,1422,790,737,153,584,37,70,50,7,992,2006,1.4035824237335572
Rockies,76,86,4.66,661,162,5,4,34,76.0,25.0,1447.1,6318,1549,812,749,155,553,81,66,43,2,952,2006,1.4525602929997927
Cubs,66,96,4.74,704,162,2,1,29,68.0,17.0,1439.0,6366,1396,834,758,210,687,44,67,68,4,1250,2006,1.4475330090340515
Red Sox,86,76,4.83,616,162,3,1,46,80.0,23.0,1441.1,6292,1570,825,773,181,509,25,68,52,3,1070,2006,1.4426479772396088
Brewers,75,87,4.83,589,162,7,5,43,59.0,24.0,1425.2,6210,1454,833,765,177,514,34,74,57,2,1145,2006,1.3808588268313218
Devil Rays,61,101,4.97,606,162,3,2,33,47.0,21.0,1420.1,6374,1600,856,784,180,606,39,63,70,8,979,2006,1.5534117315681994
Nationals,71,91,5.03,679,162,1,1,32,62.0,23.0,1436.1,6424,1535,872,803,193,584,93,92,47,10,960,2006,1.4755239885801825
Orioles,70,92,5.35,634,162,5,1,35,58.0,21.0,1419.0,6327,1579,899,844,216,613,26,48,59,4,1016,2006,1.5447498238195914
Royals,62,100,5.67,635,162,3,2,35,66.0,31.0,1426.1,6434,1648,971,899,213,637,45,60,85,9,904,2006,1.6022719304396607
Twins,96,66,3.95,583,162,1,0,40,68.0,10.0,1439.1,6066,1490,683,632,182,356,25,36,40,3,1164,2006,1.2827461607949413
Tigers,95,67,3.85,552,162,3,1,46,75.0,16.0,1448.0,6145,1420,675,620,160,489,35,53,44,2,1003,2006,1.3183701657458564
Padres,89,74,3.72,648,163,1,0,45,76.0,22.0,1484.2,6254,1406,666,614,119,474,48,48,42,6,1136,2007,1.266675650181916
Devil Rays,66,96,5.53,645,162,2,1,28,58.0,21.0,1429.2,6403,1649,944,879,199,568,31,63,55,2,1194,2007,1.551217464315701
Blue Jays,83,79,4.0,582,162,11,2,44,64.0,25.0,1448.2,6108,1383,699,644,157,479,34,55,42,3,1067,2007,1.285734014638862
Cubs,85,77,4.04,640,162,2,1,39,67.0,14.0,1446.2,6186,1340,690,650,165,573,46,59,42,3,1211,2007,1.3227769326510856
Indians,96,66,4.05,557,162,9,4,49,71.0,14.0,1462.2,6206,1519,704,659,146,410,42,56,42,2,1047,2007,1.3192449733278622
Braves,84,78,4.11,690,162,1,1,36,64.0,15.0,1456.1,6263,1442,733,665,172,537,89,42,48,5,1106,2007,1.3591099512396128
Diamondbacks,90,72,4.13,631,162,7,4,51,85.0,15.0,1441.0,6216,1446,732,662,169,546,38,61,48,9,1088,2007,1.3823733518390007
Twins,79,83,4.18,600,162,5,3,38,65.0,14.0,1436.2,6133,1505,725,667,185,420,33,51,46,5,1094,2007,1.3403425706726082
Giants,71,91,4.2,658,162,5,0,37,86.0,23.0,1453.2,6299,1442,720,678,133,593,41,47,49,4,1057,2007,1.400357830993669
Dodgers,82,80,4.2,645,162,4,0,43,73.0,17.0,1450.0,6196,1443,727,677,146,518,34,38,44,5,1184,2007,1.3524137931034483
Angels,94,68,4.23,558,162,5,3,43,74.0,14.0,1435.0,6161,1480,731,674,151,477,22,51,69,5,1156,2007,1.3637630662020905
Mets,88,74,4.27,661,162,2,2,39,78.0,17.0,1452.1,6293,1415,750,689,165,570,40,61,36,3,1134,2007,1.3669857447834173
Athletics,76,86,4.3,608,162,4,1,36,66.0,25.0,1448.0,6247,1468,758,692,138,530,60,43,52,4,1036,2007,1.3798342541436464
Rockies,90,73,4.32,692,163,4,1,39,80.0,29.0,1472.0,6293,1497,758,706,164,504,61,59,35,8,967,2007,1.359375
Brewers,83,79,4.44,654,162,3,0,49,95.0,20.0,1444.1,6285,1513,776,713,161,507,37,52,57,2,1174,2007,1.3987950972924315
Yankees,94,68,4.5,684,162,1,0,34,71.0,21.0,1450.2,6308,1498,777,725,150,578,33,60,59,6,1009,2007,1.4315266859743483
Royals,69,93,4.5,610,162,2,0,36,74.0,18.0,1437.1,6253,1547,778,719,168,520,54,41,56,4,993,2007,1.438313269779417
Nationals,73,89,4.58,750,162,0,0,46,95.0,27.0,1446.2,6333,1502,783,736,187,580,44,42,52,4,931,2007,1.4396349052689807
Tigers,88,74,4.58,605,162,1,1,44,73.0,21.0,1447.1,6345,1498,797,737,174,566,41,68,75,8,1047,2007,1.4263008776173036
Cardinals,78,84,4.67,678,162,2,0,34,63.0,11.0,1435.2,6283,1514,829,745,168,509,25,73,39,6,945,2007,1.4095596432552955
Astros,73,89,4.7,638,162,2,1,38,65.0,25.0,1464.2,6417,1566,813,765,206,510,62,63,40,3,1109,2007,1.4178390930200793
Rangers,75,87,4.76,629,162,0,0,42,80.0,14.0,1430.0,6389,1525,844,756,155,668,38,70,66,4,976,2007,1.5335664335664336
Phillies,89,73,4.76,660,162,5,2,42,90.0,21.0,1458.1,6385,1555,821,772,198,558,62,72,46,3,1050,2007,1.4491461490981414
Mariners,88,74,4.77,618,162,6,4,43,74.0,15.0,1434.1,6313,1578,813,760,147,546,39,62,59,10,1020,2007,1.4810682658113103
White Sox,72,90,4.77,625,162,9,4,42,73.0,23.0,1440.2,6293,1556,839,764,174,499,50,59,45,0,1015,2007,1.4268851548396055
Pirates,68,94,4.94,657,162,4,2,32,68.0,19.0,1447.2,6374,1627,846,795,174,518,55,76,45,3,997,2007,1.4821724709784412
Reds,72,90,4.95,684,162,6,2,34,59.0,28.0,1449.2,6354,1605,853,798,198,482,47,73,54,5,1068,2007,1.4401048854540435
Marlins,71,91,4.96,722,162,0,0,40,106.0,24.0,1443.2,6544,1617,891,795,176,661,60,76,67,9,1142,2007,1.5784368070953436
Orioles,69,93,5.19,652,162,4,1,30,78.0,25.0,1438.2,6418,1491,868,829,161,696,37,72,55,8,1087,2007,1.5206508135168961
Red Sox,96,66,3.87,613,162,5,3,45,78.0,11.0,1438.2,6071,1350,657,618,151,482,20,62,33,0,1149,2007,1.2738144903351412
Rangers,79,83,5.37,619,162,6,2,36,73.0,28.0,1442.0,6506,1647,967,860,176,625,44,72,62,9,963,2008,1.5755894590846047
Blue Jays,86,76,3.49,583,162,15,5,44,72.0,12.0,1446.2,6067,1330,610,561,134,467,42,67,51,4,1184,2008,1.242566726593832
Royals,75,87,4.5,601,162,2,0,44,59.0,16.0,1445.2,6214,1473,781,723,159,515,15,41,68,5,1085,2008,1.3755881538887351
Pirates,67,95,5.1,659,162,3,2,34,65.0,22.0,1455.0,6528,1631,884,824,176,657,31,49,64,9,963,2008,1.572508591065292
Tigers,74,88,4.91,602,162,1,0,34,60.0,28.0,1445.0,6411,1541,857,788,172,644,63,68,65,7,991,2008,1.5121107266435987
Rockies,74,88,4.77,647,162,3,1,36,59.0,23.0,1446.0,6338,1547,822,766,148,562,49,53,61,7,1041,2008,1.45850622406639
Mariners,61,101,4.73,631,162,4,0,36,57.0,31.0,1435.1,6368,1544,811,754,161,626,37,53,60,5,1016,2008,1.5120897498432166
Nationals,59,102,4.66,678,161,2,0,28,66.0,28.0,1434.0,6310,1496,825,743,190,588,44,51,59,8,1063,2008,1.4532775453277544
Reds,74,88,4.55,669,162,2,1,34,58.0,21.0,1442.1,6352,1542,800,729,201,557,40,67,52,7,1227,2008,1.455516261008252
Braves,72,90,4.47,707,162,2,1,26,76.0,18.0,1440.2,6244,1439,778,715,156,586,80,42,42,5,1076,2008,1.406054714622969
Indians,81,81,4.46,561,162,10,5,31,51.0,20.0,1437.0,6164,1530,761,712,170,444,28,51,44,5,986,2008,1.3736951983298538
Marlins,84,77,4.44,672,161,2,1,36,87.0,24.0,1435.1,6271,1421,767,708,161,586,66,58,59,4,1127,2008,1.3985088147167446
Padres,63,99,4.41,653,162,3,0,30,55.0,26.0,1458.1,6286,1466,764,714,165,561,61,38,43,4,1100,2008,1.3901652835882314
Astros,86,75,4.39,649,161,4,3,48,80.0,17.0,1425.1,6125,1453,743,695,197,492,53,50,22,9,1095,2008,1.3648165041049751
Giants,72,90,4.38,640,162,4,2,41,56.0,19.0,1442.0,6341,1416,759,701,147,652,59,70,77,7,1240,2008,1.434119278779473
Yankees,89,73,4.28,637,162,1,0,42,79.0,9.0,1441.2,6175,1478,727,686,143,489,37,51,55,5,1141,2008,1.364834859839023
Orioles,68,93,5.15,653,161,4,1,35,56.0,24.0,1422.0,6414,1538,869,814,184,687,44,80,72,7,922,2008,1.5646976090014064
Twins,88,75,4.18,648,163,5,2,42,75.0,23.0,1459.0,6221,1568,745,677,183,406,38,31,45,4,995,2008,1.3529814941740919
Cardinals,86,76,4.2,668,162,2,1,42,106.0,31.0,1454.0,6264,1517,725,679,163,496,21,51,50,2,957,2008,1.3844566712517195
Dodgers,84,78,3.68,623,162,5,4,35,61.0,20.0,1447.1,6127,1381,648,592,123,480,58,48,47,4,1205,2008,1.2860203164950592
Rays,97,65,3.82,610,162,7,5,52,80.0,16.0,1457.2,6145,1349,671,618,166,526,29,46,52,3,1143,2008,1.286714246500137
Brewers,90,72,3.87,607,162,12,6,45,68.0,26.0,1455.2,6209,1415,689,626,175,528,32,42,53,5,1110,2008,1.33521165475536
Phillies,92,70,3.89,630,162,4,3,47,80.0,15.0,1449.2,6229,1444,680,627,160,533,64,57,34,3,1081,2008,1.3642009384487992
Diamondbacks,82,80,3.99,606,162,6,2,39,68.0,23.0,1434.2,6119,1403,706,636,147,451,41,68,59,3,1229,2008,1.2927067354622785
Cubs,97,64,3.87,639,161,2,1,44,74.0,24.0,1450.2,6194,1329,671,624,160,548,45,65,48,7,1264,2008,1.2943042338987725
Angels,100,62,4.0,545,162,7,1,66,74.0,23.0,1451.1,6161,1455,697,645,160,457,32,63,50,2,1106,2008,1.3176211150161947
Red Sox,95,67,4.01,628,162,5,2,47,66.0,22.0,1446.1,6180,1369,694,645,147,548,17,68,43,2,1185,2008,1.3256344651130627
Athletics,75,86,4.01,602,161,4,1,33,68.0,19.0,1435.0,6112,1364,690,640,135,576,45,54,30,4,1061,2008,1.3519163763066202
Mets,89,73,4.07,719,162,5,2,43,99.0,29.0,1464.1,6338,1415,715,663,163,590,53,70,55,4,1181,2008,1.3694419780069669
White Sox,89,74,4.11,626,163,4,0,34,74.0,18.0,1457.2,6218,1471,729,665,156,460,42,48,54,3,1147,2008,1.325144111995608
Mets,70,92,4.46,673,162,3,2,39,75.0,21.0,1426.0,6284,1452,757,707,158,616,60,55,41,10,1031,2009,1.450210378681627
Rangers,87,75,4.38,598,162,8,3,45,77.0,13.0,1434.2,6172,1432,740,699,171,531,14,70,45,8,1016,2009,1.3687072932645377
Diamondbacks,70,92,4.44,645,162,4,1,36,46.0,19.0,1447.2,6267,1470,782,714,168,525,27,53,79,2,1158,2009,1.378524046434494
Angels,97,65,4.45,596,162,9,6,51,79.0,19.0,1445.0,6252,1513,761,715,180,523,35,58,67,2,1062,2009,1.4089965397923876
Padres,75,87,4.37,689,162,2,1,45,92.0,23.0,1450.2,6273,1422,769,705,167,603,58,45,52,8,1187,2009,1.3963591228796028
Blue Jays,75,87,4.47,607,162,10,4,25,50.0,16.0,1451.0,6281,1509,771,720,181,551,26,58,43,4,1181,2009,1.419710544452102
Indians,65,97,5.07,607,162,5,2,25,49.0,18.0,1434.0,6354,1570,865,808,183,598,31,45,49,7,986,2009,1.511854951185495
Astros,74,88,4.54,659,162,5,1,39,83.0,26.0,1430.0,6237,1521,770,722,176,546,56,50,43,4,1144,2009,1.4454545454545455
Pirates,62,99,4.59,617,161,5,2,28,62.0,17.0,1418.1,6144,1491,768,724,152,563,37,47,52,3,919,2009,1.4484168958465553
Royals,65,97,4.83,588,162,10,5,34,50.0,22.0,1426.0,6265,1486,842,765,166,600,28,51,89,6,1153,2009,1.4628330995792427
Brewers,80,82,4.84,674,162,1,0,44,89.0,22.0,1435.0,6352,1498,818,772,207,607,60,65,61,1,1104,2009,1.4668989547038327
Nationals,59,103,5.02,694,162,6,1,33,62.0,25.0,1424.1,6349,1533,874,794,173,629,59,48,74,5,911,2009,1.5181518151815183
Rays,84,78,4.36,672,162,3,3,41,79.0,22.0,1427.1,6146,1421,754,691,183,515,22,46,46,5,1125,2009,1.3565972952140706
Twins,87,76,4.5,643,163,4,1,48,82.0,16.0,1453.0,6274,1542,765,726,185,466,20,58,43,3,1052,2009,1.381968341362698
Red Sox,95,67,4.35,625,162,8,2,41,72.0,18.0,1436.2,6283,1494,736,695,167,530,24,68,42,5,1230,2009,1.4092744743071994
Giants,88,74,3.55,619,162,11,3,41,70.0,17.0,1446.0,6103,1268,611,571,140,584,49,41,71,3,1302,2009,1.280774550484094
Marlins,87,75,4.32,692,162,5,1,45,93.0,24.0,1446.1,6299,1425,766,694,160,601,60,45,59,5,1248,2009,1.4010096120600235
Athletics,75,87,4.29,650,162,2,2,38,68.0,12.0,1447.1,6243,1486,761,690,156,523,30,36,43,2,1124,2009,1.3882938290373852
Yankees,103,59,4.28,623,162,3,1,51,74.0,15.0,1450.0,6247,1386,753,689,181,574,28,71,66,5,1260,2009,1.3517241379310345
Rockies,92,70,4.24,646,162,5,2,45,73.0,16.0,1438.1,6171,1427,715,677,141,528,51,46,48,5,1154,2009,1.3594325846603157
Reds,78,84,4.18,640,162,6,4,41,80.0,12.0,1458.1,6253,1420,723,677,188,577,36,65,45,1,1069,2009,1.3695905630615186
Phillies,93,69,4.16,621,162,8,5,44,81.0,22.0,1455.2,6263,1479,709,673,189,489,31,75,28,2,1153,2009,1.3523914238592634
White Sox,79,83,4.16,577,162,4,1,36,55.0,18.0,1439.2,6155,1438,732,665,169,507,41,41,55,5,1119,2009,1.351445247359644
Mariners,85,77,3.87,572,162,4,2,49,82.0,28.0,1452.2,6159,1359,692,625,172,534,13,43,61,5,1043,2009,1.3035394573750172
Cubs,83,78,3.84,641,161,3,2,40,75.0,18.0,1445.1,6177,1329,672,617,160,586,46,59,60,6,1272,2009,1.3251678084561622
Cardinals,91,71,3.66,643,162,8,4,43,72.0,14.0,1440.2,6087,1407,640,586,123,460,23,53,43,5,1049,2009,1.2963477294820163
Braves,86,76,3.57,650,162,3,0,38,71.0,21.0,1462.2,6208,1399,641,581,119,530,59,49,40,6,1232,2009,1.3192449733278622
Orioles,64,98,5.16,646,162,2,0,31,61.0,22.0,1429.0,6359,1633,876,820,218,546,45,51,31,7,933,2009,1.5248425472358293
Dodgers,95,67,3.41,688,162,1,1,44,77.0,26.0,1473.1,6182,1265,611,559,127,584,68,57,76,2,1272,2009,1.2551761591202228
Tigers,86,77,4.34,602,163,4,1,42,67.0,24.0,1447.0,6240,1449,745,698,182,594,42,41,48,6,1102,2009,1.4118866620594333
Diamondbacks,65,97,4.81,616,162,3,1,35,48.0,24.0,1432.0,6260,1503,836,765,210,548,38,58,82,4,1070,2010,1.4322625698324023
Orioles,66,96,4.59,616,162,3,0,35,71.0,27.0,1436.1,6262,1508,785,733,186,520,45,59,45,5,1007,2010,1.4121579277209109
Mets,79,83,3.73,653,162,8,4,36,62.0,16.0,1453.0,6245,1438,652,602,135,545,55,52,48,5,1106,2010,1.364762560220234
Royals,67,95,4.97,603,162,7,1,44,64.0,21.0,1436.2,6333,1553,845,794,176,551,28,47,55,7,1035,2010,1.4649770226987884
Giants,92,70,3.36,638,162,6,3,57,65.0,16.0,1461.0,6159,1279,583,546,134,578,58,51,74,4,1331,2010,1.271047227926078
Padres,90,72,3.41,661,162,2,2,49,111.0,15.0,1456.1,6058,1305,581,551,139,517,51,28,29,5,1295,2010,1.2512876862852826
Braves,91,71,3.57,652,162,2,0,41,77.0,17.0,1439.1,6052,1326,629,571,126,505,64,49,42,3,1241,2010,1.2723229796400528
Cardinals,86,76,3.57,617,162,7,3,32,59.0,11.0,1453.2,6137,1412,641,577,133,477,32,48,42,4,1094,2010,1.299889898155794
Athletics,81,81,3.58,585,162,7,3,38,65.0,13.0,1431.2,6011,1315,626,570,153,512,29,38,42,8,1070,2010,1.2765511458915595
Phillies,97,65,3.68,613,162,14,6,40,61.0,19.0,1456.1,6095,1402,640,596,168,416,42,57,26,5,1183,2010,1.248540622210013
Pirates,57,105,5.0,679,162,1,1,31,67.0,17.0,1411.2,6300,1567,866,785,167,538,40,66,56,10,1026,2010,1.4916383219954648
Rays,96,66,3.78,653,162,6,3,51,79.0,16.0,1453.2,6103,1347,649,611,175,478,34,46,60,9,1189,2010,1.2558491604734379
Rangers,90,72,3.93,643,162,7,0,46,83.0,20.0,1455.1,6213,1355,687,636,162,551,24,63,56,4,1181,2010,1.3098756099237168
Mariners,61,101,3.95,520,162,11,2,38,36.0,17.0,1438.0,6091,1402,698,631,157,452,33,40,73,11,973,2010,1.2892906815020861
Dodgers,80,82,4.01,637,162,4,4,41,70.0,18.0,1441.2,6141,1323,692,643,134,539,75,58,58,8,1274,2010,1.2919789064668332
Reds,91,71,4.02,664,162,4,2,43,74.0,20.0,1453.0,6182,1404,685,649,158,524,32,50,48,6,1130,2010,1.3269098417068135
Twins,94,68,3.95,627,162,9,3,40,75.0,18.0,1452.2,6106,1493,671,638,155,383,19,47,41,4,1048,2010,1.291833080842859
Yankees,95,67,4.06,592,162,3,0,39,76.0,18.0,1442.1,6102,1349,693,650,179,540,37,62,69,6,1154,2010,1.3098952915886555
Brewers,77,85,4.59,657,162,3,3,35,86.0,21.0,1439.0,6324,1487,804,734,173,582,42,48,71,3,1258,2010,1.4378040305767894
Indians,69,93,4.3,632,162,10,2,34,73.0,16.0,1433.0,6224,1477,752,684,147,572,36,66,54,3,967,2010,1.42986741102582
Tigers,81,81,4.29,578,162,6,1,32,60.0,13.0,1444.1,6198,1445,743,688,142,537,29,65,75,9,1056,2010,1.372481130115643
Angels,80,82,4.04,572,162,10,3,39,63.0,17.0,1449.1,6252,1422,702,651,148,565,33,46,80,6,1130,2010,1.3711959147056794
Blue Jays,85,77,4.23,617,162,5,2,45,69.0,17.0,1440.2,6165,1407,728,677,150,539,35,60,69,3,1184,2010,1.3512012220524927
Red Sox,89,73,4.19,605,162,3,1,44,65.0,25.0,1456.2,6267,1402,744,678,152,580,30,53,58,3,1207,2010,1.361076775168246
Cubs,75,87,4.24,644,162,1,0,40,68.0,14.0,1436.2,6298,1409,767,677,154,605,42,65,46,6,1268,2010,1.402311655758251
Nationals,69,93,4.13,656,162,2,1,37,73.0,20.0,1435.0,6214,1469,742,659,151,512,57,46,33,7,1068,2010,1.3804878048780487
White Sox,88,74,4.09,569,162,6,2,43,57.0,14.0,1446.1,6180,1471,704,658,136,490,41,34,59,9,1149,2010,1.3560611299356893
Marlins,80,82,4.09,643,162,5,2,39,86.0,25.0,1438.1,6217,1433,717,654,134,549,42,51,49,4,1168,2010,1.3782073569292819
Astros,76,86,4.09,669,162,4,2,45,82.0,15.0,1439.1,6221,1446,729,654,140,548,39,40,57,9,1210,2010,1.3855882148565075
Rockies,83,79,4.14,675,162,6,2,35,82.0,21.0,1442.0,6143,1405,717,663,139,525,54,56,77,12,1234,2010,1.3384188626907074
Mets,77,85,4.19,676,162,6,2,43,75.0,24.0,1448.0,6316,1482,742,674,147,514,48,70,46,7,1126,2011,1.3784530386740332
Tigers,95,67,4.04,583,162,4,2,52,60.0,10.0,1440.0,6108,1406,711,647,149,492,34,52,69,5,1115,2011,1.3180555555555555
Pirates,72,90,4.05,711,162,5,3,43,92.0,22.0,1449.1,6317,1513,712,652,152,535,65,62,60,6,1031,2011,1.4132910082119938
White Sox,79,83,4.1,572,162,6,4,42,72.0,20.0,1460.0,6188,1463,706,665,147,439,50,44,55,4,1220,2011,1.3027397260273972
Reds,79,83,4.16,663,162,4,2,39,73.0,22.0,1467.2,6259,1414,720,678,185,539,47,59,51,13,1112,2011,1.3311068702290076
Red Sox,90,72,4.2,606,162,2,1,36,75.0,16.0,1457.1,6242,1366,737,680,156,540,11,90,58,7,1213,2011,1.3080776885594676
Marlins,72,90,3.95,670,162,7,4,40,69.0,19.0,1459.2,6200,1403,702,641,149,500,72,37,43,10,1218,2011,1.304139254385965
Blue Jays,81,81,4.33,636,162,7,3,33,50.0,26.0,1458.2,6286,1433,761,701,179,540,28,77,73,3,1169,2011,1.3530379920449869
Cubs,71,91,4.34,657,162,4,1,40,86.0,24.0,1434.1,6262,1439,756,692,162,580,45,53,51,5,1224,2011,1.4078516142528417
Rockies,73,89,4.44,679,162,5,2,41,97.0,23.0,1447.2,6215,1471,774,714,176,522,47,48,65,7,1118,2011,1.3771420674405748
Royals,71,91,4.45,582,162,2,0,37,58.0,22.0,1451.1,6280,1487,762,717,163,557,42,58,69,7,1080,2011,1.4085865894838399
Astros,56,106,4.51,665,162,2,0,25,50.0,26.0,1435.0,6268,1477,796,719,188,560,59,53,39,9,1191,2011,1.4195121951219511
Indians,80,82,4.24,645,162,2,0,38,78.0,16.0,1453.1,6235,1482,760,685,153,463,34,60,42,3,1024,2011,1.3385176519165922
Mariners,67,95,3.91,513,162,12,3,39,39.0,16.0,1433.0,6014,1369,675,623,145,436,27,51,68,6,1088,2011,1.2595952547103977
Phillies,102,60,3.02,556,162,18,7,47,56.0,10.0,1477.0,6069,1320,529,496,120,404,41,47,23,6,1299,2011,1.167230873392011
Rangers,96,66,3.79,579,162,10,7,38,65.0,20.0,1441.1,6021,1327,677,607,170,461,21,46,43,6,1179,2011,1.2407188952883215
Cardinals,90,72,3.79,630,162,7,5,47,68.0,26.0,1462.0,6211,1461,692,615,136,448,44,46,48,3,1098,2011,1.3057455540355678
Yankees,97,65,3.73,627,162,5,3,47,95.0,16.0,1458.1,6216,1423,657,605,152,507,43,58,67,3,1222,2011,1.323640353885193
Athletics,74,88,3.71,622,162,6,1,39,65.0,18.0,1447.2,6159,1380,679,597,136,519,24,41,53,3,1160,2011,1.3121890547263682
Brewers,96,66,3.64,596,162,1,1,47,74.0,19.0,1441.2,6048,1348,638,583,147,440,16,33,70,5,1257,2011,1.240632805995004
Rays,91,71,3.58,600,162,15,5,32,51.0,12.0,1449.0,6010,1263,614,577,161,504,38,46,45,3,1143,2011,1.2194616977225672
Nationals,80,81,3.58,664,161,3,2,49,98.0,28.0,1449.1,6141,1403,643,577,129,477,43,52,49,6,1049,2011,1.2973569801946037
Angels,86,76,3.57,548,162,12,6,39,58.0,25.0,1465.0,6124,1388,633,581,142,476,34,36,55,4,1058,2011,1.2723549488054609
Dodgers,82,79,3.56,622,161,7,2,40,63.0,13.0,1432.0,5997,1287,612,567,132,507,48,43,50,7,1265,2011,1.2527932960893855
Braves,89,73,3.49,672,162,3,2,52,99.0,25.0,1479.2,6220,1332,605,573,125,521,73,53,61,5,1332,2011,1.2527041644131962
Padres,71,91,3.43,651,162,0,0,44,82.0,18.0,1449.1,6065,1324,611,552,125,521,56,37,45,6,1139,2011,1.2732040576909807
Giants,86,76,3.21,642,162,3,2,52,81.0,14.0,1468.0,6130,1260,578,523,96,559,46,50,42,4,1316,2011,1.2391008174386922
Twins,63,99,4.6,619,162,7,3,32,59.0,20.0,1421.2,6210,1564,804,726,161,480,37,54,47,5,940,2011,1.4382212215029553
Diamondbacks,94,68,3.8,625,162,5,1,58,75.0,13.0,1443.1,6102,1414,662,609,159,442,16,53,39,7,1058,2011,1.2861201579932091
Orioles,69,93,4.92,640,162,3,1,32,59.0,19.0,1446.2,6332,1568,860,791,210,535,42,45,32,4,1044,2011,1.454155718434518
Red Sox,69,93,4.72,651,162,6,2,35,76.0,22.0,1443.0,6209,1449,806,757,190,529,33,66,42,11,1176,2012,1.3707553707553708
Rockies,64,98,5.22,737,162,0,0,36,73.0,27.0,1422.0,6384,1637,890,824,198,566,61,47,94,6,1144,2012,1.549226441631505
Blue Jays,73,89,4.64,657,162,5,4,29,72.0,15.0,1443.2,6216,1439,784,745,204,574,20,55,56,7,1142,2012,1.3948170731707317
Astros,55,107,4.57,703,162,3,2,31,70.0,19.0,1423.1,6238,1493,794,722,173,540,40,48,75,6,1170,2012,1.4285714285714286
Cubs,61,101,4.51,655,162,1,0,28,56.0,21.0,1413.2,6140,1399,759,708,175,573,36,65,44,5,1128,2012,1.3954146617605434
Royals,72,90,4.3,662,162,2,1,44,78.0,20.0,1451.1,6251,1504,746,693,163,542,44,60,49,8,1177,2012,1.4099648542485013
Brewers,83,79,4.22,674,162,0,0,44,81.0,29.0,1453.2,6245,1458,733,682,169,525,20,31,57,5,1402,2012,1.3645747316267547
Marlins,69,93,4.1,645,162,5,3,38,88.0,22.0,1440.2,6186,1448,724,657,133,495,61,55,36,4,1113,2012,1.349118178030829
Mets,74,88,4.09,667,162,7,5,36,66.0,19.0,1434.0,6086,1368,709,652,161,488,29,40,40,3,1240,2012,1.294281729428173
White Sox,85,77,4.02,628,162,6,2,37,65.0,21.0,1445.2,6098,1365,676,646,186,503,29,68,66,9,1246,2012,1.2925546637143648
Rangers,93,69,4.02,590,162,7,2,43,61.0,9.0,1442.0,6067,1378,707,644,175,446,15,41,53,8,1286,2012,1.2649098474341194
Angels,89,73,4.02,606,162,6,5,38,80.0,22.0,1433.1,6034,1339,699,640,186,483,20,40,38,2,1157,2012,1.27136975786756
Padres,76,86,4.01,691,162,4,3,43,98.0,17.0,1434.2,6151,1356,710,640,162,539,48,48,49,8,1205,2012,1.32129410124111
Diamondbacks,81,81,3.94,623,162,4,2,39,68.0,20.0,1433.2,6063,1432,688,628,155,417,18,51,52,10,1200,2012,1.2901200111638291
Twins,66,96,4.77,661,162,3,1,35,63.0,14.0,1438.2,6214,1536,832,762,198,465,43,57,60,2,943,2012,1.3913224864413851
Indians,68,94,4.79,656,162,2,1,43,81.0,13.0,1442.0,6283,1503,845,767,174,543,27,55,67,6,1086,2012,1.418862690707351
Phillies,81,81,3.86,602,162,5,4,42,78.0,19.0,1451.1,6072,1387,680,622,178,409,33,44,30,3,1385,2012,1.2376817586658397
Yankees,95,67,3.85,647,162,6,2,51,87.0,13.0,1445.1,6085,1401,668,619,190,431,32,49,53,9,1318,2012,1.2677323368625009
