Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year,WHIP
Padres,76,86,4.52,605,162,5,0,46,,,1459.1,6414,1443,815,733,191,649,50,68,65,7,1071,2000,1.4337605373175246
Yankees,87,74,4.76,543,161,9,2,40,,,1424.1,6256,1458,814,753,177,577,23,52,49,6,1040,2000,1.4289726845024928
Mets,82,80,4.08,559,162,6,3,48,,,1445.2,6107,1418,713,655,186,438,60,43,53,7,1191,2001,1.2842513146969277
Angels,75,87,4.2,546,162,6,0,43,,,1437.2,6195,1452,730,671,168,525,47,64,46,2,947,2001,1.3755914277762316
Giants,90,72,4.19,601,162,3,1,47,,,1463.1,6294,1437,748,682,145,579,49,33,50,3,1080,2001,1.3778962476932541
Red Sox,82,79,4.18,585,161,3,2,48,,,1448.0,6272,1412,745,672,146,544,50,93,54,7,1259,2001,1.350828729281768
Phillies,86,76,4.16,635,162,8,3,47,,,1445.1,6198,1417,719,668,170,527,60,70,40,6,1086,2001,1.345235623832261
Mariners,116,46,3.54,553,162,8,4,56,,,1465.0,6096,1293,627,576,160,465,28,64,40,1,1051,2001,1.2
Cardinals,93,69,3.96,646,162,8,4,38,,,1435.1,6121,1389,684,631,196,526,36,72,45,6,1083,2001,1.3344017838478155
Diamondbacks,92,70,3.88,583,162,12,5,34,,,1459.2,6090,1352,677,629,195,461,30,59,45,6,1297,2001,1.2424616228070176
Braves,88,74,3.59,573,162,5,5,41,,,1447.1,6089,1363,643,578,153,499,77,33,41,8,1133,2001,1.2867113537419668
Athletics,102,60,3.59,578,162,13,6,44,,,1463.1,6115,1384,645,583,153,440,49,46,42,3,1117,2001,1.24666803362723
Dodgers,86,76,4.25,570,162,3,1,46,,,1450.2,6201,1387,744,685,184,524,37,72,44,11,1212,2001,1.3177492759619363
Yankees,95,65,4.04,523,161,7,3,57,,,1451.1,6174,1429,713,651,158,465,29,55,54,6,1266,2001,1.3052167321342432
Marlins,76,86,4.32,592,162,5,3,32,,,1438.0,6227,1397,744,691,151,617,53,70,40,3,1119,2001,1.400556328233658
Cubs,88,74,4.03,614,162,8,2,41,,,1437.0,6159,1357,701,643,164,550,43,50,48,5,1344,2001,1.3270702853166318
Blue Jays,80,82,4.28,633,162,7,5,41,,,1462.2,6305,1553,753,696,165,490,60,76,33,8,1041,2001,1.3972096840377513
Astros,93,69,4.39,567,162,7,1,48,,,1454.2,6236,1453,769,709,221,486,22,70,42,3,1228,2001,1.3333791775546693
Rockies,73,89,5.29,636,162,8,4,26,,,1430.0,6306,1522,906,841,239,598,71,64,38,1,1058,2001,1.4825174825174825
Pirates,62,100,5.05,572,162,8,2,36,,,1416.1,6222,1493,858,794,167,549,74,80,49,4,908,2001,1.4419885601299345
Tigers,66,96,5.01,553,162,16,1,34,,,1429.1,6361,1624,876,795,180,553,56,73,40,4,859,2001,1.5233363655447485
Devil Rays,62,100,4.96,532,162,1,1,30,,,1423.2,6288,1513,887,784,207,569,21,75,75,7,1030,2001,1.4629005059021922
Royals,65,97,4.87,558,162,5,0,30,,,1440.0,6289,1537,858,779,209,576,26,61,73,2,911,2001,1.4673611111111111
Reds,66,96,4.78,623,162,2,1,35,,,1442.2,6324,1572,850,766,198,515,46,48,53,4,943,2001,1.4470947164054915
Rangers,73,89,5.71,572,162,4,1,37,,,1438.1,6469,1670,968,913,222,596,33,63,70,9,951,2001,1.5756901467213686
Expos,68,94,4.69,653,162,5,3,28,,,1431.1,6250,1509,812,746,190,525,40,61,55,4,1103,2001,1.4212843267416673
Brewers,68,94,4.65,651,162,3,2,28,,,1436.1,6338,1452,806,742,197,667,107,72,58,3,1057,2001,1.4755239885801825
Indians,91,71,4.65,645,162,3,0,42,,,1446.2,6312,1512,821,747,148,573,44,49,58,11,1218,2001,1.4417093071497717
White Sox,83,79,4.55,568,162,8,3,51,,,1433.1,6200,1465,795,725,181,500,38,88,57,5,921,2001,1.3711534435838393
Padres,79,83,4.52,584,162,5,1,46,,,1440.2,6278,1519,812,724,219,476,54,56,46,5,1088,2001,1.3852242744063323
Orioles,63,98,4.7,554,162,10,2,31,,,1432.1,6273,1504,829,748,194,528,28,74,37,5,938,2001,1.41889532853851
Twins,85,77,4.51,564,162,12,5,45,,,1441.1,6187,1494,766,723,192,445,16,56,58,2,965,2001,1.3454999653042816
Cubs,67,95,4.3,552,162,11,3,23,32.0,25.0,1441.1,6236,1373,759,689,167,606,53,58,44,2,1333,2002,1.3732565401429464
Marlins,79,83,4.36,623,162,11,6,36,68.0,19.0,1456.1,6340,1449,763,706,151,631,46,58,55,7,1104,2002,1.428473319140169
Orioles,67,95,4.46,569,162,8,1,31,58.0,15.0,1450.2,6258,1491,773,719,208,549,34,54,54,1,967,2002,1.406702523789822
White Sox,81,81,4.57,585,162,7,4,35,60.0,11.0,1423.0,6131,1422,798,723,190,528,31,60,54,6,945,2002,1.370344342937456
Padres,66,96,4.66,622,162,5,2,40,60.0,23.0,1436.1,6333,1522,815,743,177,582,61,66,51,4,1108,2002,1.4650790334934893
Indians,74,88,4.91,583,162,9,2,34,51.0,19.0,1424.2,6271,1508,837,777,142,603,38,57,52,8,1058,2002,1.4822356410616486
Blue Jays,78,84,4.81,623,162,6,2,41,69.0,29.0,1438.1,6338,1504,828,768,177,590,56,71,57,4,991,2002,1.4560878937486963
Tigers,55,106,4.94,533,161,11,4,33,32.0,21.0,1414.0,6215,1593,864,776,163,463,34,62,59,8,794,2002,1.454031117397454
Rangers,72,90,5.16,649,162,4,2,33,65.0,33.0,1439.2,6446,1528,882,826,194,669,32,76,84,11,1030,2002,1.5265425236242356
Royals,62,100,5.21,583,162,12,4,30,40.0,24.0,1441.0,6386,1587,891,834,212,572,48,52,68,6,909,2002,1.498265093684941
Reds,78,84,4.29,624,162,2,1,42,67.0,15.0,1453.2,6296,1502,774,693,173,550,63,56,52,2,980,2002,1.412056151940545
Brewers,56,106,4.76,608,162,7,3,32,52.0,10.0,1432.1,6339,1468,821,757,199,666,82,62,64,8,1026,2002,1.4901194050694784
Pirates,72,89,4.24,619,161,2,1,47,96.0,19.0,1412.2,6131,1447,730,665,163,572,93,55,34,5,920,2002,1.4296841807109475
